contracts,mode,sharpe,cagr_%,maxdd_%,avg_exposure
1,ensemble W2-30,0.445,5.12,-18.4,0.152
1,single W=8,1.022,20.51,-23.3,0.555
2,ensemble W2-30,0.69,9.68,-19.1,0.375
2,single W=8,1.022,20.51,-23.3,0.555
3,ensemble W2-30,0.733,11.25,-19.8,0.441
3,single W=8,1.022,20.51,-23.3,0.555
5,ensemble W2-30,0.837,13.8,-20.9,0.498
5,single W=8,1.022,20.51,-23.3,0.555
8,ensemble W2-30,0.803,13.72,-22.3,0.528
8,single W=8,1.022,20.51,-23.3,0.555
10,ensemble W2-30,0.844,14.57,-22.1,0.536
10,single W=8,1.022,20.51,-23.3,0.555
20,ensemble W2-30,0.84,14.87,-23.8,0.557
20,single W=8,1.022,20.51,-23.3,0.555
50,ensemble W2-30,0.835,14.97,-24.6,0.569
50,single W=8,1.022,20.51,-23.3,0.555
100,ensemble W2-30,0.835,15.01,-24.7,0.572
100,single W=8,1.022,20.51,-23.3,0.555
9999,ensemble W2-30,0.834,15.06,-24.9,0.576
9999,single W=8,1.022,20.51,-23.3,0.555
