strategy,total_ret_%,cagr_%,sharpe,max_dd_%,hit_rate_%,t_stat,IS_sharpe,OOS_sharpe,OOS_cagr_%,trades/yr
momentum W=1,-85.08,-18.98,-0.92,-86.2,47.8,-2.76,-0.98,-0.83,-17.95,132.0
contrarian W=1,157.82,11.05,0.46,-27.84,50.62,1.37,0.51,0.39,9.76,132.0
long/flat W=1,-12.37,-1.45,-0.1,-33.26,36.24,-0.3,0.06,-0.29,-4.45,66.0
momentum W=5,-60.07,-9.66,-0.44,-71.69,48.35,-1.33,-0.39,-0.5,-11.26,54.0
contrarian W=5,69.04,5.98,0.25,-37.3,50.9,0.76,0.19,0.33,8.16,54.0
long/flat W=5,41.98,3.95,0.27,-35.13,44.92,0.82,0.49,-0.05,-0.63,27.0
momentum W=20,-66.7,-11.45,-0.53,-79.2,47.63,-1.59,-0.66,-0.36,-8.27,27.0
contrarian W=20,146.98,10.52,0.44,-27.91,51.75,1.31,0.56,0.28,6.77,27.0
long/flat W=20,28.79,2.84,0.2,-39.24,48.64,0.6,0.28,0.08,1.03,14.0
buy & hold,414.83,19.87,0.79,-35.56,56.4,2.38,1.06,0.45,11.28,0.0
