date,W,mode,train_sharpe
2019-10-28,9,long-only contra,1.2567412468300267
2020-05-07,13,long-only contra,1.3253572389240318
2020-11-02,9,L/S contrarian,1.408707401391499
2021-04-29,13,long-only contra,1.5172184431509175
2021-10-22,13,long-only contra,1.5387947814084528
2022-04-20,20,long-only contra,1.2410331831115902
2022-10-13,4,L/S contrarian,0.9988831395769365
2023-04-11,28,L/S contrarian,1.1291508651709816
2023-10-04,5,L/S contrarian,1.1281281419093834
2024-04-02,3,L/S contrarian,0.8454601166221642
2024-09-25,2,long-only contra,0.7501521527839274
2025-03-24,2,long-only contra,0.7469429031001802
2025-09-17,7,long-only contra,1.4318114361634566
