sym,n_entry,fast,slow,mode,atr,stop,targ,n,exp,excess,z,p,pf,wr,sel
NAS,10,5,20,state,none,1.0,2.0,1441,-3.082214608765939,-0.2587307959618581,-0.40040695421587025,0.66,0.7283160568506747,0.3102012491325468,0.9232961586121438
NAS,10,5,20,state,none,1.5,2.0,1441,-3.3152604147940283,-0.5264399781817475,-0.6144287211338135,0.74,0.7591557941365497,0.39902845246356694,0.9232961586121438
NAS,10,5,20,state,none,2.0,3.0,1441,-3.1574316116655754,-0.8875759811453543,-0.8234355427064959,0.8066666666666666,0.8180053885344464,0.39555863983344897,0.9232961586121438
NAS,10,5,20,state,pct<0.8,1.0,2.0,1251,-3.038177375724029,-0.17056418740871537,-0.2159248357891304,0.6066666666666667,0.7148475275076012,0.3085531574740208,0.5742255266418835
NAS,10,5,20,state,pct<0.8,1.5,2.0,1251,-3.130404837415273,-0.3259539475419033,-0.3605344129802006,0.6266666666666667,0.7586447936321239,0.39888089528377296,0.5742255266418835
NAS,10,5,20,state,pct<0.8,2.0,3.0,1251,-2.7383169315355027,-0.6393614240062111,-0.5042411991331492,0.6933333333333334,0.8333996780575148,0.3964828137490008,0.5742255266418835
NAS,10,5,20,state,pct0.2-0.8,1.0,2.0,1223,-3.341218784396797,-0.5414834805472366,-0.6257086468898069,0.74,0.6995412773863879,0.30335241210139,0.5346964064436184
NAS,10,5,20,state,pct0.2-0.8,1.5,2.0,1223,-3.5501369177319697,-0.6822784844869281,-0.7328616721267592,0.7733333333333333,0.7391266812393991,0.3949304987735078,0.5346964064436184
NAS,10,5,20,state,pct0.2-0.8,2.0,3.0,1223,-3.2546871018111925,-0.9336925588002369,-0.7898675369553105,0.7733333333333333,0.8097042329066672,0.3973834832379395,0.5346964064436184
NAS,10,5,20,state,exp>1.2,1.0,2.0,1331,-2.4280203425329936,0.3611968026319583,0.41882683323305053,0.3,0.8067150014410819,0.34335086401202103,0.6400247831474597
NAS,10,5,20,state,exp>1.2,1.5,2.0,1331,-3.0899342437777104,-0.5940338613148,-0.608733187651443,0.7266666666666667,0.7950364068027214,0.4222389181066867,0.6400247831474597
NAS,10,5,20,state,exp>1.2,2.0,3.0,1331,-3.1304868282061658,-1.1302283919305207,-0.9221930396770469,0.8533333333333334,0.8246081542822343,0.41773102930127726,0.6400247831474597
NAS,10,5,20,cross4,none,1.0,2.0,1000,-2.331723271223723,0.39487752327334746,0.470156404456334,0.2866666666666667,0.7970176423517301,0.323,0.3864931846344486
NAS,10,5,20,cross4,none,1.5,2.0,1000,-2.553374171399027,0.25180675307036093,0.23756890377974457,0.37333333333333335,0.8128134429374432,0.401,0.3864931846344486
NAS,10,5,20,cross4,none,2.0,3.0,1000,-2.3919178339332228,-0.10728955595361933,-0.0765475538700013,0.5333333333333333,0.8551172117319721,0.411,0.3864931846344486
NAS,10,5,20,cross4,pct<0.8,1.0,2.0,710,-2.1633153015450466,0.7442381131383016,0.781591595208775,0.18666666666666668,0.79214663205081,0.31408450704225355,0.2204460966542751
NAS,10,5,20,cross4,pct<0.8,1.5,2.0,710,-1.9308803835480024,0.8336710885320824,0.6705348552704463,0.24,0.8443994394111546,0.4028169014084507,0.2204460966542751
NAS,10,5,20,cross4,pct<0.8,2.0,3.0,710,-1.139217648914149,1.0461635660560984,0.6259739278614256,0.23333333333333334,0.9261535378383149,0.4169014084507042,0.2204460966542751
NAS,10,5,20,cross4,pct0.2-0.8,1.0,2.0,676,-2.2927194309875807,0.4302918258864681,0.4073859551606168,0.36666666666666664,0.78631559272174,0.3180473372781065,0.20594795539033459
NAS,10,5,20,cross4,pct0.2-0.8,1.5,2.0,676,-2.1719513871615987,0.5438107396719429,0.3904841360387192,0.35333333333333333,0.8313490597963554,0.40828402366863903,0.20594795539033459
NAS,10,5,20,cross4,pct0.2-0.8,2.0,3.0,676,-1.4314461692294098,0.6021197503084585,0.37094803464416265,0.37333333333333335,0.9102114112969808,0.4245562130177515,0.20594795539033459
NAS,10,5,20,cross4,exp>1.2,1.0,2.0,823,-0.945759250345203,1.5353469625283345,1.3585298209983678,0.06,0.9219197108202252,0.353584447144593,0.2815365551425031
NAS,10,5,20,cross4,exp>1.2,1.5,2.0,823,-2.1004761729648527,0.15361561683567526,0.13107215102843225,0.41333333333333333,0.8560292971308676,0.4204131227217497,0.2815365551425031
NAS,10,5,20,cross4,exp>1.2,2.0,3.0,823,-2.329984487653871,-0.07913746259958954,-0.05180401769407798,0.49333333333333335,0.8631781637590108,0.4204131227217497,0.2815365551425031
NAS,10,5,20,cross8,none,1.0,2.0,1089,-2.9983782988401733,-0.18968905920468915,-0.22805313818085146,0.5866666666666667,0.7410866590006101,0.30945821854912764,0.5346964064436184
NAS,10,5,20,cross8,none,1.5,2.0,1089,-3.1089363847461655,-0.47406975095974957,-0.4546440147891065,0.7,0.7744320596735829,0.3957759412304867,0.5346964064436184
NAS,10,5,20,cross8,none,2.0,3.0,1089,-2.9318857690499853,-0.6135751650991361,-0.45785985177755534,0.6666666666666666,0.8261806195168375,0.3985307621671258,0.5346964064436184
NAS,10,5,20,cross8,pct<0.8,1.0,2.0,817,-3.349495403626171,-0.4622128185088812,-0.47506133970719283,0.6533333333333333,0.6904715260971998,0.29865361077111385,0.3107806691449814
NAS,10,5,20,cross8,pct<0.8,1.5,2.0,817,-3.209336159334405,-0.5543855697010414,-0.4800286816456974,0.72,0.7529404415391603,0.39412484700122397,0.3107806691449814
NAS,10,5,20,cross8,pct<0.8,2.0,3.0,817,-2.930506483386793,-0.5457166596564789,-0.3618912733850867,0.6333333333333333,0.8211824531040749,0.397796817625459,0.3107806691449814
NAS,10,5,20,cross8,pct0.2-0.8,1.0,2.0,784,-3.2501685080075107,-0.40806892204314105,-0.4196538587888438,0.6933333333333334,0.7102482004495005,0.30357142857142855,0.29008674101610904
NAS,10,5,20,cross8,pct0.2-0.8,1.5,2.0,784,-3.314429548882181,-0.6538572811409198,-0.5247052069451508,0.7066666666666667,0.7562356123269591,0.3979591836734694,0.29008674101610904
NAS,10,5,20,cross8,pct0.2-0.8,2.0,3.0,784,-2.918410984474928,-0.8159382512348499,-0.5048684274169207,0.66,0.8274953351513817,0.40688775510204084,0.29008674101610904
NAS,10,5,20,cross8,exp>1.2,1.0,2.0,952,-1.735675971637548,0.9087153649175816,0.8907987729002163,0.17333333333333334,0.8586370031822571,0.35084033613445376,0.38438661710037175
NAS,10,5,20,cross8,exp>1.2,1.5,2.0,952,-3.1440293755114332,-0.6067523577424514,-0.5825969617351062,0.6733333333333333,0.7901749846190605,0.41911764705882354,0.38438661710037175
NAS,10,5,20,cross8,exp>1.2,2.0,3.0,952,-3.0077057616272853,-0.7311967205327146,-0.5041020960301493,0.6533333333333333,0.8274460894021413,0.4254201680672269,0.38438661710037175
NAS,10,5,20,sep0.25,none,1.0,2.0,1409,-2.519381457625064,0.35511346580800707,0.5041875079389307,0.26,0.7769195359443662,0.31653655074520937,0.8359355638166047
NAS,10,5,20,sep0.25,none,1.5,2.0,1409,-2.743070120411779,0.0627503075602931,0.07015563606717758,0.47333333333333333,0.7989779544541425,0.4024130589070263,0.8359355638166047
NAS,10,5,20,sep0.25,none,2.0,3.0,1409,-2.6311593939313105,-0.28231580558741287,-0.26533084219501174,0.5666666666666667,0.8462614310609025,0.3988644428672818,0.8359355638166047
NAS,10,5,20,sep0.25,pct<0.8,1.0,2.0,1172,-2.445672253074579,0.30713361199939326,0.411321124561024,0.36666666666666664,0.7668855675804255,0.31399317406143346,0.519454770755886
NAS,10,5,20,sep0.25,pct<0.8,1.5,2.0,1172,-2.263821376213051,0.5381658576301298,0.505685605938886,0.30666666666666664,0.8203868399176838,0.4052901023890785,0.519454770755886
NAS,10,5,20,sep0.25,pct<0.8,2.0,3.0,1172,-1.849140978070478,0.4693585353466052,0.4126274301897758,0.3,0.8849635573836641,0.4044368600682594,0.519454770755886
NAS,10,5,20,sep0.25,pct0.2-0.8,1.0,2.0,1140,-3.0054543417091466,-0.218403083030291,-0.2743246430560267,0.5933333333333334,0.728268252968946,0.3078947368421053,0.4838909541511772
NAS,10,5,20,sep0.25,pct0.2-0.8,1.5,2.0,1140,-2.9457649719641306,-0.036874662465773866,-0.03499170164540002,0.5133333333333333,0.7797328443143178,0.4017543859649123,0.4838909541511772
NAS,10,5,20,sep0.25,pct0.2-0.8,2.0,3.0,1140,-2.6399934896787265,-0.4016083091573166,-0.3632936398207538,0.6666666666666666,0.843361459465811,0.4026315789473684,0.4838909541511772
NAS,10,5,20,sep0.25,exp>1.2,1.0,2.0,1279,-2.295344548626971,0.37422232590949234,0.40985352606850173,0.35333333333333333,0.812746214213553,0.344800625488663,0.5816604708798018
NAS,10,5,20,sep0.25,exp>1.2,1.5,2.0,1279,-2.864098568326455,-0.3176609466019631,-0.33157580080423155,0.58,0.8048376091991243,0.418295543393276,0.5816604708798018
NAS,10,5,20,sep0.25,exp>1.2,2.0,3.0,1279,-2.7088465746458024,-0.47770893491054034,-0.4200712867653066,0.68,0.8426615459626403,0.4104769351055512,0.5816604708798018
NAS,10,5,20,sep0.5,none,1.0,2.0,1291,-2.379682347201589,0.3762252120078542,0.5232743938854386,0.32666666666666666,0.7891336618025612,0.33462432223082883,0.7028500619578687
NAS,10,5,20,sep0.5,none,1.5,2.0,1291,-2.7570122223258435,-0.06529144118888519,-0.07009979418722735,0.4866666666666667,0.7989112560234487,0.412858249419055,0.7028500619578687
NAS,10,5,20,sep0.5,none,2.0,3.0,1291,-2.81763231610963,-0.6610729801803301,-0.5800695312336411,0.7466666666666667,0.8362215589495171,0.4058869093725794,0.7028500619578687
NAS,10,5,20,sep0.5,pct<0.8,1.0,2.0,1021,-1.9518234443859195,0.8553087867791558,0.9761962050633578,0.19333333333333333,0.8103992920796648,0.33202742409402547,0.43382899628252786
NAS,10,5,20,sep0.5,pct<0.8,1.5,2.0,1021,-1.8084781687525644,1.0593682039115273,0.942425713766688,0.14666666666666667,0.8542875675507586,0.4201762977473066,0.43382899628252786
