study,block,n,obs,boot,sd,lo,hi,p_pos,mdd,mdd95
NAS|A,research,1389,-2.913861099368232,-2.926642514409962,0.9065740991222494,-4.703663920881431,-1.1173106433252984,0.0004,4331.709548592169,4833.708762785598
NAS|A,locked,750,-2.4258839819365265,-2.430720956614713,1.925180699214086,-6.205830770033134,1.3696684460039796,0.1006,2562.0646425046916,3320.594551383763
NAS|B,research,373,2.3575794695805197,2.345646173857099,1.6635219589020875,-0.8857021102456736,5.63028633742908,0.9206,425.5926840872744,664.0053039060513
NAS|B,locked,209,-3.371457800648739,-3.404336494334999,3.458042029905736,-10.251442077113627,3.3087653381666904,0.1609,1114.3026480040553,1506.1391828778972
NAS|D,research,618,0.010907750732679036,0.0009926306179097988,1.4332402427940873,-2.738033860620806,2.8290948771965345,0.502,937.1672751918359,1417.682315111787
NAS|D,locked,342,-1.6077305996075197,-1.6039075633440527,3.4881388821073536,-8.576622975202394,5.049520521553569,0.3286,1491.8491335602803,2146.761864338332
NAS|E,research,698,1.1427459237807398,1.1489271589160848,1.4189077631266325,-1.6860250573608764,3.9147444047388262,0.7953,806.9522699396352,1301.1231563229667
NAS|E,locked,433,-3.9697849893405373,-3.9712471467938792,2.8854594643344513,-9.689251384075332,1.7107792774245787,0.0847,2271.1714161324417,2884.408032869584
US30|A,research,1325,-5.350063763653477,-5.337729637098498,2.029216576528173,-9.3291891253153,-1.349570403949703,0.0037,7770.512304511314,8858.987357061296
US30|A,locked,733,-5.964703851600959,-6.058117538945912,2.9090442601806012,-11.744176907327814,-0.3341909819133206,0.0194,5054.436031943533,6060.113151468784
US30|B,research,346,-1.7061225660687405,-1.6462879009921183,3.4799680686480405,-8.531409897220371,5.243884771489816,0.3178,1520.8248987461575,2215.368981221889
US30|B,locked,199,-6.286721168938335,-6.326497925615644,5.765567714265093,-17.582215450468855,5.074022236846649,0.1364,1850.0981412041783,2500.236716785755
US30|D,research,538,2.517359505866709,2.501897259969634,3.088241713627578,-3.5345650381323845,8.563835919460193,0.7928,1365.2585360309895,2175.0763954409645
US30|D,locked,329,-11.893786273745933,-11.95125751466684,5.401991243188062,-22.786925584412266,-1.5807224686611936,0.0108,4374.1192584579985,5180.565098280132
US30|E,research,662,0.4097603049436256,0.438885472740293,2.930935965713645,-5.305781672189668,6.179177328550826,0.5622,1928.9260213109083,2971.6243084740904
US30|E,locked,397,-3.3247998316096607,-3.3206054592277323,4.5686889769345225,-12.189759104984596,5.6470720065917375,0.2347,2540.94807213907,3540.578463305704
