
      #   tf momentum            ADX   CHOP     n   RES PF    RES R  RES Shp  |     n  LOCK PF   LOCK R  LOCK Shp
      1  30m rsi14>=65          >=20   <=50    27    1.769  +0.2736     0.82  |     0      nan     +nan       nan
      2  30m rsi14>=65          >=20    off    29    1.674  +0.2378     0.76  |     0      nan     +nan       nan
      3  15m slope50>=0.2        off   <=40    47    1.595  +0.2351     0.79  |    27    0.503  -0.3088     -1.35
      4  30m cmo14>=40          >=20   <=50    25    1.548  +0.2423     0.65  |     0      nan     +nan       nan
      5  30m macdh>=0.2         >=20    off    40    1.547  +0.2551     0.80  |     0      nan     +nan       nan
      6  30m ao>=0.75           >=20   <=45    25    1.541  +0.2281     0.64  |     0      nan     +nan       nan
      7  30m ao>=0.75           >=20   <=50    33    1.538  +0.2283     0.74  |     0      nan     +nan       nan
      8  30m cmo14>=40          >=20    off    26    1.506  +0.2228     0.62  |     0      nan     +nan       nan
      9  15m slope50>=0.2        off   <=50    64    1.491  +0.2025     0.82  |    37    0.527  -0.3013     -1.51
     10  30m cci21>=100         >=20   <=45    43    1.476  +0.2006     0.70  |    25    1.466  +0.2236      0.82
     11  30m tsmom20>=0.75      >=20   <=45    26    1.454  +0.1932     0.54  |     0      nan     +nan       nan
     12  15m aroon21>=80        >=20    off    54    1.453  +0.2402     0.82  |     0      nan     +nan       nan
     13  30m cci21>=100         >=20   <=50    65    1.451  +0.2001     0.86  |    41    1.195  +0.1045      0.48
     14  30m slope50>=0.05       off   <=40   164    1.450  +0.2043     1.31  |    94    1.147  +0.0727      0.54
     15  15m slope50>=0.2        off    off    69    1.448  +0.1812     0.78  |    43    0.726  -0.1585     -0.81
     16  15m cci21>=0           >=25   <=50    27    1.446  +0.2314     0.60  |     0      nan     +nan       nan
     17  15m aroon21>=0         >=25   <=50    27    1.446  +0.2314     0.60  |     0      nan     +nan       nan
     18  15m cmo14>=0           >=25   <=50    27    1.446  +0.2314     0.60  |     0      nan     +nan       nan
     19  15m stoch14>=50        >=25   <=50    27    1.446  +0.2314     0.60  |     0      nan     +nan       nan
     20  15m off                >=25   <=50    27    1.446  +0.2314     0.60  |     0      nan     +nan       nan
     21  15m macdh>=0           >=25   <=50    27    1.446  +0.2314     0.60  |     0      nan     +nan       nan
     22  30m rsi14>=65           off   <=40   254    1.429  +0.2024     1.62  |   138    1.049  +0.0252      0.22
     23  30m tsi>=5              off   <=40   259    1.417  +0.1970     1.59  |   144    1.140  +0.0700      0.64
     24  30m aroon21>=40        >=20   <=50    28    1.417  +0.1921     0.57  |     0      nan     +nan       nan
     25  30m ao>=0.25            off   <=40   258    1.416  +0.1970     1.58  |   143    1.276  +0.1322      1.18
     26  30m tsmom20>=0.3       >=20   <=45    44    1.411  +0.1878     0.64  |     0      nan     +nan       nan
     27  15m ao>=0.25           >=20    off   106    1.410  +0.2214     1.08  |    49    1.205  +0.1065      0.56
     28  30m slope50>=0          off   <=40   225    1.407  +0.1921     1.46  |   123    1.183  +0.0881      0.74
     29  30m ao>=0.25           >=20   <=45    33    1.405  +0.1796     0.57  |     0      nan     +nan       nan
     30  30m agree20_60>=0.3     off   <=40   205    1.401  +0.1864     1.37  |   123    1.049  +0.0240      0.21
     31  30m tsi>=15             off   <=40   235    1.401  +0.1878     1.48  |   128    1.105  +0.0526      0.45
