A. HMA CROSS, EVERY CELL -- against the no-MA baseline at the same timeframe and CHOP
==============================================================================================================================
   `edge` = locked PF minus that baseline. It is the only column that isolates what the
   Hull crossover contributed; a raw PF is mostly the base plus the CHOP filter.

   NQ 15m
      pair        CHOP     n   RES PF  RES DD  |     n  LOCK PF   LOCK R  LOCK DD  ret/DD  baseline    edge
      9/21         off   531    1.026    39.2  |   261    1.223  +0.1315     17.7    1.94     1.158  +0.065
      9/21        <=50   387    1.096    26.2  |   199    0.997  -0.0020     27.0   -0.02     1.114  -0.117
      9/21        <=45   287    1.254    17.6  |   159    0.698  -0.2006     45.8   -0.70     1.072  -0.374
      9/21        <=40   174    1.210    11.7  |    99    0.854  -0.0929     23.6   -0.39     1.027  -0.173
      5/20         off   592    0.983    58.4  |   293    1.131  +0.0819     33.4    0.72     1.158  -0.027
      5/20        <=50   427    1.044    25.9  |   228    1.053  +0.0326     37.5    0.20     1.114  -0.061
      5/20        <=45   319    1.126    17.8  |   171    0.923  -0.0485     32.7   -0.25     1.072  -0.149
      5/20        <=40   194    1.034    13.2  |   109    0.803  -0.1217     29.3   -0.45     1.027  -0.224
      10/30        off   478    1.037    43.0  |   245    1.302  +0.1867     17.7    2.59     1.158  +0.143
      10/30       <=50   353    1.098    29.7  |   192    1.112  +0.0718     31.3    0.44     1.114  -0.001
      10/30       <=45   262    1.259    21.6  |   153    0.914  -0.0577     37.7   -0.23     1.072  -0.158
      10/30       <=40   169    1.313    13.5  |   104    0.736  -0.1793     32.8   -0.57     1.027  -0.291
      12/26        off   484    1.029    44.0  |   241    1.351  +0.2128     17.6    2.92     1.158  +0.193
      12/26       <=50   358    1.085    27.5  |   189    1.138  +0.0875     30.9    0.53     1.114  +0.024
      12/26       <=45   270    1.211    20.2  |   151    0.836  -0.1098     36.3   -0.46     1.072  -0.236
      12/26       <=40   171    1.316    13.5  |   101    0.756  -0.1656     32.1   -0.52     1.027  -0.271
      20/50        off   377    1.058    33.9  |   193    1.450  +0.2528     16.0    3.05     1.158  +0.292
      20/50       <=50   312    1.062    42.2  |   163    1.436  +0.2498     13.1    3.11     1.114  +0.323
      20/50       <=45   244    1.147    30.5  |   130    1.246  +0.1495     15.1    1.29     1.072  +0.174
      20/50       <=40   161    1.118    20.5  |    94    0.993  -0.0045     24.4   -0.02     1.027  -0.034
      13/48        off   406    1.045    37.0  |   210    1.359  +0.2054     16.7    2.59     1.158  +0.200
      13/48       <=50   321    1.043    39.4  |   178    1.365  +0.2128     13.9    2.71     1.114  +0.252
      13/48       <=45   249    1.123    29.6  |   141    1.036  +0.0234     26.7    0.12     1.072  -0.035
      13/48       <=40   166    1.138    26.9  |    95    0.998  -0.0016     25.3   -0.01     1.027  -0.029
      50/200       off   187    1.254    13.6  |   109    1.179  +0.1026     19.4    0.58     1.158  +0.021
      50/200      <=50   158    1.289    11.6  |    85    1.124  +0.0676     13.3    0.43     1.114  +0.010
      50/200      <=45   132    1.315    12.2  |    66    1.210  +0.1086     13.4    0.54     1.072  +0.138
      50/200      <=40    99    1.450     7.4  |    50    1.068  +0.0383     11.2    0.17     1.027  +0.041
      9/50         off   442    1.021    45.1  |   229    1.407  +0.2420     15.3    3.62     1.158  +0.248
      9/50        <=50   337    0.964    52.9  |   187    1.333  +0.2023     17.1    2.21     1.114  +0.219
      9/50        <=45   258    1.076    39.5  |   149    0.994  -0.0036     35.2   -0.02     1.072  -0.077
      9/50        <=40   167    1.099    33.0  |    97    0.704  -0.2091     37.1   -0.55     1.027  -0.323
      21/55        off   353    0.969    33.9  |   180    1.634  +0.3428     10.5    5.90     1.158  +0.476
      21/55       <=50   298    0.959    42.2  |   157    1.511  +0.2907     11.9    3.83     1.114  +0.397
      21/55       <=45   232    1.037    31.3  |   129    1.253  +0.1554     15.9    1.26     1.072  +0.181
      21/55       <=40   157    1.077    18.3  |    95    1.020  +0.0129     26.0    0.05     1.027  -0.007

   NQ 30m
      pair        CHOP     n   RES PF  RES DD  |     n  LOCK PF   LOCK R  LOCK DD  ret/DD  baseline    edge
      9/21         off   297    1.187    18.7  |   150    1.047  +0.0280     21.6    0.19     1.156  -0.109
      9/21        <=50   233    1.216    13.1  |   117    0.934  -0.0417     25.7   -0.19     1.123  -0.189
      9/21        <=45   175    1.232    17.5  |    90    0.893  -0.0643     22.1   -0.26     1.116  -0.223
      9/21        <=40   111    1.108    15.6  |    58    0.912  -0.0514     13.6   -0.22     1.318  -0.406
      5/20         off   334    1.187    26.1  |   177    0.995  -0.0033     34.7   -0.02     1.156  -0.161
      5/20        <=50   257    1.224    16.4  |   136    0.832  -0.1139     39.2   -0.39     1.123  -0.291
      5/20        <=45   195    1.202    15.1  |   100    0.813  -0.1244     29.6   -0.42     1.116  -0.303
      5/20        <=40   124    1.142    12.1  |    64    0.755  -0.1665     20.3   -0.53     1.318  -0.563
      10/30        off   263    1.024    18.4  |   141    1.149  +0.0869     11.9    1.03     1.156  -0.007
      10/30       <=50   203    1.136    14.2  |   108    1.070  +0.0436     19.4    0.24     1.123  -0.052
      10/30       <=45   158    1.066    18.6  |    81    1.199  +0.1136     13.0    0.71     1.116  +0.083
      10/30       <=40    98    1.059    14.5  |    56    1.264  +0.1487     11.0    0.76     1.318  -0.054
      12/26        off   263    0.967    19.5  |   142    1.153  +0.0887     11.6    1.08     1.156  -0.003
      12/26       <=50   203    1.084    15.4  |   111    1.085  +0.0515     17.0    0.34     1.123  -0.038
      12/26       <=45   157    1.000    21.1  |    83    1.194  +0.1106     11.9    0.77     1.116  +0.078
      12/26       <=40    99    1.042    15.4  |    55    1.391  +0.2088      9.0    1.28     1.318  +0.073
      20/50        off   198    1.084    15.7  |   102    0.969  -0.0172     24.0   -0.07     1.156  -0.186
      20/50       <=50   160    1.104    13.8  |    85    1.144  +0.0756     15.1    0.43     1.123  +0.021
      20/50       <=45   134    1.047    12.2  |    72    1.187  +0.0912     10.8    0.61     1.116  +0.071
      20/50       <=40    99    1.017    12.6  |    58    0.734  -0.1381     10.9   -0.74     1.318  -0.584
      13/48        off   219    1.041    16.7  |   117    1.096  +0.0537     22.2    0.28     1.156  -0.059
      13/48       <=50   179    1.096    15.6  |    96    1.284  +0.1492     13.6    1.06     1.123  +0.161
      13/48       <=45   146    1.047    14.9  |    76    1.375  +0.1842     10.0    1.41     1.116  +0.259
      13/48       <=40   106    1.106     9.8  |    60    1.443  +0.2108      9.4    1.35     1.318  +0.125
      50/200       off    83    1.207    11.6  |    49    1.028  +0.0145     10.8    0.07     1.156  -0.127
      50/200      <=50    70    1.088    17.5  |    42    0.932  -0.0355      7.3   -0.21     1.123  -0.191
      50/200      <=45    58    1.405    12.2  |    35    0.739  -0.1263      4.8   -0.92     1.116  -0.377
      50/200      <=40    48    1.415     7.9  |    30    0.810  -0.0893      4.7   -0.58     1.318  -0.508
      9/50         off   255    1.117    23.4  |   127    1.052  +0.0301     21.2    0.18     1.156  -0.103
      9/50        <=50   206    1.033    19.1  |   101    1.174  +0.0988     15.9    0.63     1.123  +0.051
      9/50        <=45   160    1.048    18.6  |    79    1.333  +0.1740     10.5    1.31     1.116  +0.217
      9/50        <=40   109    1.053    13.6  |    54    1.357  +0.1824     10.1    0.98     1.318  +0.039
      21/55        off   183    1.304    17.4  |   102    0.922  -0.0439     21.0   -0.21     1.156  -0.234
      21/55       <=50   149    1.325    13.7  |    86    0.933  -0.0359     17.7   -0.17     1.123  -0.189
      21/55       <=45   128    1.099    11.2  |    72    1.062  +0.0319     12.2    0.19     1.116  -0.054
      21/55       <=40    92    1.005     9.7  |    59    0.879  -0.0600      8.7   -0.41     1.318  -0.439

   HMA CROSS cells that beat their own no-MA baseline on locked: 29 of 72 = 40%.  Chance is 50%.
   mean edge -0.048 PF   |   mean locked drawdown 19.9 R against the baseline's 1.135 PF
   best HMA CROSS cell on RESEARCH: {'tf': 15, 'pair': '50/200', 'chop': '<=40', 'n': 99, 'pf': 1.4498546778102845, 'n_lk': 50, 'pf_lk': 1.0682917813536315, 'R_lk': 0.03828939271442323, 'dd_lk': 11.20391220093826, 'retdd_lk': 0.17087510160610114, 'base': 1.0268904762697462, 'edge': 0.04140130508388529}
