     #   tf crossover              CHOP    n  RES PF  RES DD  |    n  LOCK PF   LOCK R  LOCK DD  ret/DD    edge
     1  30m KAMA 50/200 CROSS       off   44   3.190     6.1  |    0      nan     +nan      nan     nan    +nan
     2  30m TEMA 50/200 CROSS      <=40   51   2.805     6.9  |   32    1.352  +0.1486      4.6    1.02  +0.034
     3  30m KAMA 50/200 CROSS      <=50   39   2.137     7.8  |    0      nan     +nan      nan     nan    +nan
     4  30m TEMA 50/200 CROSS      <=45   69   2.052     8.5  |   38    1.314  +0.1459      3.3    1.66  +0.198
     5  30m SMA 50/200 CROSS        off   31   2.029     9.0  |    0      nan     +nan      nan     nan    +nan
     6  15m WMA 50/200 CROSS       <=40   54   1.919     7.9  |   39    0.858  -0.0762      8.5   -0.35  -0.169
     7  30m TEMA 50/200 CROSS      <=50   83   1.889     7.1  |   49    1.291  +0.1433      7.0    1.00  +0.168
     8  30m EMA 21/55 CROSS        <=40   58   1.729    10.7  |   42    1.398  +0.1789      4.2    1.78  +0.080
     9  15m TEMA 50/200 CROSS      <=40  102   1.661     6.1  |   58    1.146  +0.0816     11.4    0.42  +0.119
    10  15m EMA 20/50 CROSS        <=40  114   1.608     9.7  |   74    0.569  -0.2615     19.6   -0.99  -0.458
    11  30m TEMA 50/200 CROSS       off   98   1.599    10.9  |   63    1.132  +0.0689     12.1    0.36  -0.023
    12  30m KAMA 20/50 CROSS        off  123   1.581    13.4  |   73    0.842  -0.0785     12.5   -0.46  -0.314
    13  30m KAMA 21/55 CROSS        off  119   1.581     8.9  |   62    1.184  +0.0831      9.1    0.56  +0.028
    14  30m EMA 21/55 CROSS        <=45   86   1.569     8.7  |   53    1.430  +0.1788      6.2    1.52  +0.314
    15  30m TEMA 50/200 STATE      <=40  156   1.565     8.8  |   89    1.319  +0.1569     10.3    1.36  +0.001
    16  15m TEMA 50/200 CROSS      <=45  142   1.553     8.2  |   79    1.403  +0.2145     11.4    1.48  +0.331
    17  30m KAMA 21/55 CROSS       <=45   94   1.538     7.6  |   55    1.136  +0.0634      8.2    0.43  +0.020
    18  30m KAMA 21/55 CROSS       <=40   83   1.481    10.2  |   39    1.676  +0.2533      5.0    1.98  +0.358
    19  30m EMA 20/50 CROSS        <=45   93   1.473     9.6  |   56    1.294  +0.1257      6.2    1.13  +0.178
    20  15m EMA 50/200 CROSS        off   69   1.470    12.7  |   43    1.643  +0.2474      5.1    2.07  +0.484
    21  15m SMA 20/50 CROSS        <=40  119   1.467     9.8  |   72    1.043  +0.0269     15.2    0.13  +0.016
    22  30m DEMA 50/200 CROSS      <=40   50   1.463     6.5  |    0      nan     +nan      nan     nan    +nan
    23  30m EMA 21/55 CROSS        <=50  103   1.463    12.0  |   65    1.229  +0.1015      7.9    0.83  +0.106
    24  30m TEMA 50/200 STATE      <=45  199   1.463    10.3  |  109    1.333  +0.1750      9.0    2.13  +0.217
    25  15m HMA 50/200 CROSS       <=40   99   1.450     7.4  |   50    1.068  +0.0383     11.2    0.17  +0.041
    26  15m KAMA 50/200 CROSS      <=40   63   1.440     7.6  |   30    1.488  +0.2516      8.6    0.88  +0.461
    27  30m SMA 20/50 CROSS        <=40   66   1.436    13.1  |   38    1.444  +0.1708      7.4    0.88  +0.126
    28  30m KAMA 20/50 CROSS       <=40   80   1.433    14.5  |   45    1.444  +0.1818      5.0    1.63  +0.126
    29  30m KAMA 9/21 CROSS        <=45  131   1.428    11.3  |   75    1.539  +0.2323      7.0    2.48  +0.424
    30  30m KAMA 13/48 CROSS       <=50  129   1.419     9.4  |   83    1.082  +0.0395      9.6    0.34  -0.041
    31  15m WMA 5/20 CROSS         <=45  241   1.418    18.9  |  125    0.871  -0.0812     29.2   -0.35  -0.201
    32  30m HMA 50/200 CROSS       <=40   48   1.415     7.9  |   30    0.810  -0.0893      4.7   -0.58  -0.508
    33  30m KAMA 20/50 CROSS       <=50  110   1.409    15.0  |   71    0.817  -0.0918     11.8   -0.55  -0.305
    34  30m SMA 21/55 CROSS        <=50  105   1.408    14.8  |   63    0.779  -0.1233     12.1   -0.64  -0.344
    35  30m HMA 50/200 CROSS       <=45   58   1.405    12.2  |   35    0.739  -0.1263      4.8   -0.92  -0.377
    36  30m SMA 21/55 CROSS        <=40   61   1.404    13.6  |   38    1.014  +0.0059      6.6    0.03  -0.304
    37  30m EMA 20/50 CROSS        <=50  110   1.396    11.2  |   68    1.053  +0.0255      7.9    0.22  -0.069
    38  30m SMA 20/50 CROSS         off  135   1.391    15.3  |   82    1.118  +0.0600     10.3    0.48  -0.038
    39  15m EMA 20/50 CROSS        <=45  166   1.389    13.4  |  107    1.101  +0.0611     13.1    0.50  +0.029
    40  30m DEMA 50/200 STATE      <=40  154   1.385     7.2  |   95    1.064  +0.0334     20.0    0.16  -0.254

   Of these 40, 22 of 36 beat their own no-MA baseline out of sample. Chance is 50%.
   Mean research PF 1.623 -> mean locked PF 1.167.  That gap is the selection premium.
