      #   tf condition                           CHOP    n    rPF   rShp  |    n  LOCK PF  LOCK Shp   LOCK R     DD     ePF   eShp
      1  30m LR 13/34 VALUE cross r2>=0.2        <=40  104  1.571   0.93  |   60    1.411      0.80  +0.2185    9.5  +0.092  -0.18
      2  30m LR 13/34 VALUE cross r2>=0.6         off  143  1.553   1.03  |   85    0.881     -0.39  -0.0741   22.5  -0.275  -1.06
      3  30m LR 13/34 SLOPE cross r2>=0.2        <=40  106  1.551   0.92  |   60    1.295      0.60  +0.1623    9.1  -0.023  -0.38
      4  30m LR 13/34 SLOPE cross r2>=0.6        <=40   76  1.519   0.70  |   43    0.686     -0.77  -0.1943   15.9  -0.632  -1.76
      5  30m LR 13/34 SLOPE cross                <=40  118  1.490   0.89  |   64    1.185      0.41  +0.1037   11.6  -0.133  -0.57
      6  30m LR 13/34 VALUE cross r2>=0.6        <=40   75  1.481   0.65  |   47    1.022      0.05  +0.0130   11.5  -0.296  -0.93
      7  30m LR 13/34 VALUE cross                <=40  113  1.469   0.84  |   66    1.270      0.58  +0.1458   12.3  -0.048  -0.40
      8  30m LR 9/21 VALUE cross r2>=0.4         <=40  113  1.447   0.84  |   59    0.928     -0.19  -0.0427   10.6  -0.390  -1.17
      9  30m LR 9/21 VALUE cross r2>=0.6         <=40   98  1.415   0.73  |   52    0.853     -0.36  -0.0876   11.1  -0.465  -1.34
     10  30m LR 9/21 VALUE cross r2>=0.2         <=40  122  1.414   0.83  |   64    0.899     -0.28  -0.0628   14.2  -0.419  -1.26
     11  30m LR 13/34 SLOPE cross r2>=0.6         off  142  1.412   0.76  |   78    0.689     -1.07  -0.2056   27.7  -0.466  -1.75
     12  30m LR 21/55 VALUE state r2>=0.2        <=40  195  1.382   0.93  |  111    1.390      1.07  +0.1800   10.2  +0.072  +0.09
     13  30m LR 7/17 VALUE cross r2>=0.2         <=40  133  1.381   0.84  |   69    0.938     -0.17  -0.0376   14.5  -0.380  -1.15
     14  15m LR 11/26 SLOPE cross                <=40  203  1.378   0.97  |  113    0.980     -0.06  -0.0119   25.3  -0.047  -0.18
     15  30m LR 21/55 VALUE cross r2>=0.4        <=40   57  1.377   0.61  |   38    0.436     -1.84  -0.3414   14.4  -0.882  -2.82
     16  30m LR 7/17 VALUE cross r2>=0.4         <=40  127  1.362   0.78  |   64    0.968     -0.08  -0.0184   13.4  -0.350  -1.06
     17  15m LR 11/26 SLOPE cross r2>=0.4        <=40  179  1.357   0.85  |  104    0.990     -0.03  -0.0057   20.7  -0.036  -0.15
     18  15m LR 13/34 VALUE cross r2>=0.6        <=40  127  1.355   0.68  |   81    0.720     -0.87  -0.2117   25.4  -0.307  -0.99
     19  30m LR 21/55 VALUE cross r2>=0.6        <=40   33  1.353   0.49  |    0      nan       nan     +nan    nan    +nan   +nan
     20  30m LR 13/34 SLOPE cross r2>=0.4        <=40   94  1.353   0.59  |   53    1.232      0.45  +0.1313   11.1  -0.086  -0.53
     21  30m LR 21/55 VALUE state r2>=0.4        <=40  182  1.351   0.81  |  106    1.110      0.35  +0.0533   11.4  -0.208  -0.63
     22  30m LR 13/34 VALUE cross r2>=0.4        <=40   94  1.351   0.60  |   55    1.384      0.72  +0.2093   10.1  +0.066  -0.26
     23  30m LR 13/34 VALUE cross r2>=0.2         off  228  1.347   0.98  |  115    1.222      0.70  +0.1241   13.1  +0.066  +0.02
     24  30m LR 21/55 VALUE state                <=40  209  1.345   0.90  |  116    1.408      1.16  +0.1854   10.2  +0.090  +0.18
     25  30m LR 7/17 VALUE cross                 <=40  135  1.341   0.77  |   70    0.929     -0.20  -0.0427   14.9  -0.389  -1.18
     26  30m LR 21/55 FORECAST state r2>=0.2     <=40  198  1.341   0.85  |  111    1.397      1.09  +0.1832   10.2  +0.079  +0.11
     27  30m LR 21/55 VALUE cross r2>=0.2        <=40   78  1.338   0.65  |   47    0.802     -0.56  -0.0965    8.4  -0.516  -1.54
     28  30m LR 9/21 SLOPE cross r2>=0.4         <=40  117  1.336   0.67  |   63    1.213      0.47  +0.1174   10.3  -0.105  -0.52
     29  30m LR 9/21 SLOPE cross r2>=0.2         <=40  128  1.332   0.71  |   69    1.119      0.30  +0.0703   14.0  -0.199  -0.68
     30  15m LR 11/26 SLOPE cross r2>=0.6        <=40  157  1.329   0.76  |   90    0.973     -0.08  -0.0163   20.8  -0.054  -0.19
     31  30m LR 5/13 VALUE cross r2>=0.6         <=40  148  1.321   0.69  |   84    0.990     -0.03  -0.0055   11.8  -0.328  -1.01
     32  30m LR 7/17 VALUE cross r2>=0.6         <=40  110  1.318   0.61  |   51    1.114      0.24  +0.0638    8.3  -0.204  -0.74
     33  30m LR 13/34 VALUE cross r2>=0.4         off  194  1.312   0.82  |  105    1.026      0.09  +0.0160   22.3  -0.129  -0.59
     34  30m LR 21/55 FORECAST state             <=40  212  1.310   0.83  |  116    1.415      1.17  +0.1884   10.2  +0.097  +0.19
     35  30m LR 9/21 VALUE cross                 <=40  128  1.309   0.67  |   66    0.853     -0.43  -0.0933   15.4  -0.465  -1.41
     36  15m LR 13/34 VALUE cross r2>=0.2        <=40  173  1.297   0.69  |  117    0.612     -1.61  -0.2896   44.2  -0.415  -1.73
     37  15m LR 13/34 VALUE cross                <=40  184  1.295   0.72  |  119    0.677     -1.25  -0.2316   37.7  -0.350  -1.37
     38  15m LR 11/26 SLOPE cross r2>=0.2        <=40  194  1.294   0.77  |  111    1.067      0.20  +0.0388   20.4  +0.040  +0.08
     39  30m LR 21/55 FORECAST state r2>=0.4     <=40  186  1.293   0.71  |  106    1.117      0.37  +0.0566   11.1  -0.201  -0.61
     40  15m LR 9/21 VALUE cross                 <=40  219  1.293   0.84  |  116    0.858     -0.52  -0.0862   27.8  -0.169  -0.64
     41  30m LR 13/34 VALUE state r2>=0.6        <=40  184  1.290   0.72  |  108    1.232      0.70  +0.1073    9.4  -0.086  -0.28
     42  30m LR 13/34 FORECAST state r2>=0.6     <=40  184  1.287   0.72  |  108    1.232      0.70  +0.1072    9.4  -0.086  -0.28
     43  30m LR 9/21 FORECAST state r2>=0.2      <=40  217  1.283   0.78  |  119    1.364      1.08  +0.1774   11.4  +0.046  +0.10
     44  30m LR 21/55 SLOPE state r2>=0.2        <=40  204  1.281   0.74  |  111    1.497      1.32  +0.2254   10.2  +0.179  +0.34
     45  30m LR 13/34 VALUE state r2>=0.2        <=40  215  1.281   0.77  |  117    1.447      1.27  +0.2098   11.3  +0.129  +0.29
     46  30m LR 11/26 VALUE cross                <=40  122  1.278   0.57  |   61    0.985     -0.04  -0.0090   14.5  -0.333  -1.02
     47  30m LR 9/21 SLOPE cross r2>=0.6         <=40  101  1.278   0.52  |   54    1.150      0.30  +0.0831   10.8  -0.168  -0.68
     48  30m LR 13/34 SLOPE state r2>=0.6        <=40  185  1.272   0.69  |  107    1.250      0.75  +0.1150    9.4  -0.068  -0.23
