market,side,entry1,exit1,atr_len,atr_mult,pyr_step,max_units,adx_max,ext_max,ao_min,skip_win,res_sharpe,res_pf,res_n,res_R,res_dd,lk_sharpe,lk_pf,lk_n,lk_R,lk_dd
NQ,long,15,33,19,3.9000000000000004,1.5,3,35.0,8.0,0.0,False,-2.7473961524666044,0.5456710593724063,290,-0.1629073515526657,47.306968911939116,-2.8428881458760187,0.5099668082272002,155,-0.18474848022420085,32.35821613958834
NQ,long,63,29,19,1.8,0.7000000000000001,2,22.0,8.0,-0.5,True,-1.57427498348659,0.628372225575683,166,-0.20411561541686302,39.98285444497848,-1.4142634771910143,0.6575578921807996,84,-0.19531992245994986,26.066615755983833
NQ,long,39,5,11,3.9000000000000004,0.8,3,45.0,0.0,-0.5,True,-2.006923232648045,0.5992264802993247,261,-0.10593477856477615,30.73695601520012,-2.282831984970635,0.5515715847610472,131,-0.12801536262860705,22.778133869747716
NQ,long,39,21,26,4.2,0.8,2,30.0,2.5,0.0,True,-1.4889011706001205,0.5321604080987348,84,-0.14122721771371152,15.425410688790627,-0.14013402336554617,0.9354981096242556,38,-0.014674603777082108,3.124697431313654
NQ,long,10,20,19,1.2,0.8,3,18.0,3.5,-0.5,False,-2.4976119322087875,0.4826883970570956,192,-0.35258537571127385,66.89703243176014,-1.4741110441826388,0.6285491587082891,90,-0.24565799660766624,32.406130018924806
NQ,long,61,35,13,3.7,1.2000000000000002,3,26.0,5.0,0.5,False,-2.312634208636368,0.39745156389649605,103,-0.22681294153403053,23.997456384157566,-1.9217705311750655,0.43116308401831666,49,-0.19416546557208644,11.789200993284556
NQ,long,75,21,26,4.5,0.9,4,30.0,8.0,-0.5,False,-2.490787639236089,0.4847596181566779,182,-0.1505336303064844,28.81798274906258,-2.861909733513441,0.42636716307218236,93,-0.1717352944165196,18.452909677180163
NQ,long,68,27,25,1.7000000000000002,0.4,1,22.0,8.0,1.0,False,-0.5262241284264313,0.8350551126471271,117,-0.09703033814958854,21.92698021811497,-0.2047002818421298,0.9375002305675874,75,-0.03343205466694753,14.868227013467976
NQ,long,69,8,23,2.2,1.2000000000000002,3,18.0,5.0,0.5,True,-1.65721815532161,0.4973457245099786,79,-0.23922806624324414,18.95451286724663,-2.365425083006084,0.3474507882951361,40,-0.3308015863700053,16.078018286114478
NQ,long,33,7,15,4.9,0.6000000000000001,1,35.0,1.5,1.0,False,-0.40246274230325607,0.8112255342334552,54,-0.040842092309445466,4.674756365430474,,,0,,
