,as-written,EMA50,EMA144,pull10,pull25,stop1.0,stop2.5,targ1.5,targ5.0,arm10,arm25,off4,off14,reset4,reset16,notrail
as-written,1.0,0.8637137952632773,0.8511329609042465,0.990444773482879,0.9682672745647146,0.8816846373726683,0.8519787985926002,0.9709135286374154,0.9823777895315531,0.9536598737736248,0.8760057815873866,0.9940041360471482,0.9775892647621984,0.9197004957256859,0.8946667892782193,0.5796630812074883
EMA50,0.8637137952632773,1.0,0.6959382475303869,0.8539636947787187,0.8300307836243083,0.7786201778626135,0.726879988822949,0.8337748427471781,0.8460178519516469,0.8187273920678468,0.7690796201720546,0.8531511414494387,0.8458843565000795,0.7733856848621736,0.7699461179833773,0.4532971208629369
EMA144,0.8511329609042465,0.6959382475303869,1.0,0.8421074934296426,0.8236943212996132,0.7435392100689082,0.7366601042290655,0.8225612473157898,0.835393107274893,0.824582277193421,0.746192159601833,0.8461659491516025,0.8322704722403764,0.795867636596723,0.7511232189358065,0.5077047860612851
pull10,0.990444773482879,0.8539636947787187,0.8421074934296426,1.0,0.9572934631504614,0.8727283048889347,0.8452625407274172,0.9614000697669233,0.972883557293353,0.9449075777310578,0.8684567428372543,0.9845373427579158,0.9678838759982243,0.909624640795134,0.8851478368370036,0.5755248795070622
pull25,0.9682672745647146,0.8300307836243083,0.8236943212996132,0.9572934631504614,1.0,0.8630363281445993,0.8319898202995969,0.9467801785833544,0.9498475161431402,0.9294915698913058,0.846808141661594,0.9627506836966352,0.9449960065021664,0.8963885072014285,0.866763937258196,0.5605545599196965
stop1.0,0.8816846373726683,0.7786201778626135,0.7435392100689082,0.8727283048889347,0.8630363281445993,1.0,0.7514789883554275,0.8653230904637181,0.8582946009626563,0.8696620245950872,0.7654887837035048,0.870989701299706,0.8481195573582453,0.8090637931491642,0.7877740080958812,0.49157689889686795
stop2.5,0.8519787985926002,0.726879988822949,0.7366601042290655,0.8452625407274172,0.8319898202995969,0.7514789883554275,1.0,0.8316409518683439,0.8350061335806965,0.8323942571918332,0.7508686264497435,0.8465521738638165,0.8288572671494215,0.7879693908108693,0.772401100019907,0.4932940867953319
targ1.5,0.9709135286374154,0.8337748427471781,0.8225612473157898,0.9614000697669233,0.9467801785833544,0.8653230904637181,0.8316409518683439,1.0,0.9465211878874562,0.9363053072876721,0.8475883534000944,0.9689014225785482,0.9493546969776412,0.8959005574401057,0.8694797862925325,0.5750182703396185
targ5.0,0.9823777895315531,0.8460178519516469,0.835393107274893,0.972883557293353,0.9498475161431402,0.8582946009626563,0.8350061335806965,0.9465211878874562,1.0,0.9291922215924495,0.8617086523662623,0.976655283695355,0.9616225714485,0.9101960160521071,0.8833659355065524,0.562425029057437
arm10,0.9536598737736248,0.8187273920678468,0.824582277193421,0.9449075777310578,0.9294915698913058,0.8696620245950872,0.8323942571918332,0.9363053072876721,0.9291922215924495,1.0,0.8425708021503718,0.9493057069974844,0.9326108675165389,0.8816437654825695,0.8486495218272779,0.569523313853545
arm25,0.8760057815873866,0.7690796201720546,0.746192159601833,0.8684567428372543,0.846808141661594,0.7654887837035048,0.7508686264497435,0.8475883534000944,0.8617086523662623,0.8425708021503718,1.0,0.8704255434153435,0.8852719435611215,0.8142875773321211,0.7831720885442459,0.6311054453506117
off4,0.9940041360471482,0.8531511414494387,0.8461659491516025,0.9845373427579158,0.9627506836966352,0.870989701299706,0.8465521738638165,0.9689014225785482,0.976655283695355,0.9493057069974844,0.8704255434153435,1.0,0.9721241773865752,0.9203879348285604,0.889182719906529,0.5805835467089528
off14,0.9775892647621984,0.8458843565000795,0.8322704722403764,0.9678838759982243,0.9449960065021664,0.8481195573582453,0.8288572671494215,0.9493546969776412,0.9616225714485,0.9326108675165389,0.8852719435611215,0.9721241773865752,1.0,0.9002939250182594,0.8725198555763265,0.59945841525007
reset4,0.9197004957256859,0.7733856848621736,0.795867636596723,0.909624640795134,0.8963885072014285,0.8090637931491642,0.7879693908108693,0.8959005574401057,0.9101960160521071,0.8816437654825695,0.8142875773321211,0.9203879348285604,0.9002939250182594,1.0,0.8291770655819328,0.543570069162204
reset16,0.8946667892782193,0.7699461179833773,0.7511232189358065,0.8851478368370036,0.866763937258196,0.7877740080958812,0.772401100019907,0.8694797862925325,0.8833659355065524,0.8486495218272779,0.7831720885442459,0.889182719906529,0.8725198555763265,0.8291770655819328,1.0,0.4970299849932252
notrail,0.5796630812074883,0.4532971208629369,0.5077047860612851,0.5755248795070622,0.5605545599196965,0.49157689889686795,0.4932940867953319,0.5750182703396185,0.562425029057437,0.569523313853545,0.6311054453506117,0.5805835467089528,0.59945841525007,0.543570069162204,0.4970299849932252,1.0
