sym,dropped,n,net,excess,p,worth
NAS,trend gate (close vs EMA89),4024,-0.5644263663191583,0.26149825956210326,0.36,0.4420629432802184
NAS,pullback depth >= 1.15 ATR,1525,-0.043047465587088614,0.7680835240262136,0.19,-0.07931595745185133
NAS,touch of fast/slow EMA,1592,0.16519773469262025,0.9616242179539113,0.095,-0.2875611577315602
NAS,StochRSI reset (20/80),2404,-0.642800456715376,0.1781757088320992,0.455,0.520437033676436
NAS,StochRSI %K/%D cross,4523,-0.9003485923244133,-0.04919222939078838,0.52,0.7779851692854733
NAS,session window,5616,-0.4199540299713934,0.3726056301441394,0.33,0.2975906069324535
US30,trend gate (close vs EMA89),3931,-3.2124650802153916,-0.8052067941605325,0.74,-1.4609184663916377
US30,pullback depth >= 1.15 ATR,1538,-4.575535278933754,-2.4642989659725933,0.935,-0.09784826767327548
US30,touch of fast/slow EMA,1598,-4.260222528015237,-2.070896908480582,0.92,-0.41316101859179266
US30,StochRSI reset (20/80),2344,-2.4322716214787055,-0.1949097627144103,0.55,-2.241111925128324
US30,StochRSI %K/%D cross,4254,-3.2653523111929212,-1.0556917793764269,0.805,-1.408031235414108
US30,session window,5358,-2.643556887513825,-0.6642362219295952,0.635,-2.0298266590932044
