sym,feature,n,net,ex_crisis
NAS,"baseline (all off, as tested)",1507,-0.12236342303893995,-0.697977460953352
NAS,early exit: StochRSI fade,1584,-0.39238041941210466,-1.2765987259734697
NAS,early exit: slow-EMA break,1543,-0.9709560359921094,-1.3024543155766934
NAS,early exit: trend-EMA break,1527,-0.5478543804139241,-0.7674887572930685
NAS,early exit: fade + EMA break,1590,-0.6334246723816195,-1.341400288679684
NAS,quick scalp 8 pts / 6 bars,1546,-2.0172380402049157,-1.7758735516262076
NAS,quick scalp 0.5 ATR / 6 bars,1557,-2.296018871735215,-1.8646042551581175
NAS,quick scalp 1.0 ATR / 12 bars,1539,-1.4766965119226472,-1.3095940844446847
NAS,volume thrust filter 1.2x,906,-0.056927293466901396,-0.2360584612159543
NAS,volume thrust filter 1.5x,627,1.551021862321358,1.0274624121486717
NAS,MACD momentum confirm,249,1.1285872052952575,0.8213868935793068
NAS,volume + MACD,199,0.2514386031942807,1.6435320265542972
