sym,feature,n,net,ex_crisis
US30,"baseline (all off, as tested)",1511,-4.673383546607029,-2.1590591373128123
US30,early exit: StochRSI fade,1599,-4.179292398353747,-1.919962015401695
US30,early exit: slow-EMA break,1538,-3.795801395365446,-1.7683523333172937
US30,early exit: trend-EMA break,1531,-3.208925673056605,-1.671108891713346
US30,early exit: fade + EMA break,1601,-3.9094311416219756,-1.9642199184671156
US30,quick scalp 8 pts / 6 bars,1593,-5.5702350400587015,-4.872054912138111
US30,quick scalp 0.5 ATR / 6 bars,1577,-5.152274320231241,-4.441458208603624
US30,quick scalp 1.0 ATR / 12 bars,1549,-4.893469583077996,-3.0330337880466223
US30,volume thrust filter 1.2x,730,-5.190658813948476,0.7264345895091022
US30,volume thrust filter 1.5x,462,-5.559924552663482,-0.1787992830577491
US30,MACD momentum confirm,271,1.7009852830791898,-0.6131877519597366
US30,volume + MACD,202,1.9299727433059721,2.0661504208625376
