param,value,n,exp_barclose,exp_intrabar
trend_ema,34.0,992,0.1111417255361023,5.154427565509259
trend_ema,50.0,1081,-0.3819442672329398,4.262099179554059
trend_ema,89.0,1228,-1.3088423877062936,2.7496296404061615
trend_ema,144.0,1379,-1.3332273977177993,2.583434361266055
trend_ema,200.0,1462,-0.8556485411215909,2.95447835466865
min_pullback,5.0,1505,-1.335300295680114,2.0005800027071885
min_pullback,10.0,1387,-1.3570091307567256,2.2489795145392812
min_pullback,15.0,1228,-1.3088423877062936,2.7496296404061615
min_pullback,20.0,1074,-1.043569778032226,3.5401562000715954
min_pullback,30.0,855,-0.8290865507469836,4.805802726238677
atr_stop,1.0,1264,-1.328656684006024,1.889610460677337
atr_stop,1.25,1248,-1.4873440936926965,2.2617968945484104
atr_stop,1.5,1228,-1.3088423877062936,2.7496296404061615
atr_stop,2.0,1198,-1.2011181170669374,3.639179730167242
atr_stop,2.5,1166,-1.441475463392687,3.703938008178
atr_target,1.5,1237,-1.5631876637600948,1.678271829866007
atr_target,2.0,1231,-1.2690396281813512,2.3833503944833683
atr_target,2.5,1228,-1.3088423877062936,2.7496296404061615
atr_target,3.5,1225,-1.0638737173067596,3.13308215875339
atr_target,5.0,1223,-0.8855414494822557,3.4054940996008183
trail_arm,8.0,1242,-1.4031953335961975,3.0194315441642248
trail_arm,12.0,1231,-1.238171479389878,2.94518928379104
trail_arm,15.0,1228,-1.3088423877062936,2.7496296404061615
trail_arm,20.0,1214,-1.1344949791115897,2.3400642828750544
trail_arm,30.0,1199,-0.9156557408494007,1.7305524813741657
trail_offset,4.0,1228,-1.1473427173872102,3.9829157709089036
trail_offset,6.0,1228,-1.1635481434396906,3.38181975463238
trail_offset,8.0,1228,-1.3088423877062936,2.7496296404061615
trail_offset,12.0,1228,-1.2175811389014466,2.000951701819123
trail_offset,16.0,1228,-1.4099450388196542,1.1487324942042239
reset_lookback,4.0,1069,-1.8252313081194806,2.3722576689344184
reset_lookback,6.0,1113,-1.6576303937668275,2.35860173908713
reset_lookback,8.0,1228,-1.3088423877062936,2.7496296404061615
reset_lookback,12.0,1432,-1.4586328001936564,2.5155571025114187
reset_lookback,16.0,1568,-1.45794337739534,2.4783144557355885
pullback_lookback,5.0,1108,-1.173838137645153,3.2965162129368903
pullback_lookback,8.0,1195,-1.2457323649132297,2.913971637208013
pullback_lookback,10.0,1228,-1.3088423877062936,2.7496296404061615
pullback_lookback,15.0,1266,-1.3422370035269229,2.598055214660341
pullback_lookback,20.0,1290,-1.3513708326148703,2.5375840765150977
