sym,rsi,stoch,k,d,os,ob,reset,n,net,ex_crisis
NAS,7,7,1,3,10,90,4,2860,-2.1737783859486735,-1.4487800106236488
NAS,7,7,1,3,10,90,8,3502,-1.6739408510910028,-0.9925996757067916
NAS,7,7,1,3,10,90,16,3925,-1.4218275694570541,-0.7554344196486302
NAS,7,7,1,3,20,80,4,3064,-2.1280389279549445,-1.3203903454587251
NAS,7,7,1,3,20,80,8,3646,-1.5849796975001382,-0.8973492551670718
NAS,7,7,1,3,20,80,16,3951,-1.4888768745147056,-0.8211087208637237
NAS,7,7,1,3,30,70,4,3230,-2.0617654329541613,-1.405441247357134
NAS,7,7,1,3,30,70,8,3746,-1.538147697173384,-0.8885865761895083
NAS,7,7,1,3,30,70,16,3959,-1.4637004978554011,-0.8321012521316986
NAS,7,7,3,3,10,90,4,1340,-1.518480644636836,-1.2356013689649805
NAS,7,7,3,3,10,90,8,1533,-1.368812238472801,-1.1201605354798945
NAS,7,7,3,3,10,90,16,2062,-0.8682955870114891,-0.6998875838290893
NAS,7,7,3,3,20,80,4,1795,-1.0049441263447467,-0.8284394893288215
NAS,7,7,3,3,20,80,8,2005,-0.718595942214554,-0.6600300591423723
NAS,7,7,3,3,20,80,16,2396,-0.6382889916877544,-0.648417929984071
NAS,7,7,3,3,30,70,4,2059,-1.1321471005470518,-0.896633237018745
NAS,7,7,3,3,30,70,8,2247,-0.7736564410681691,-0.6708732825885932
NAS,7,7,3,3,30,70,16,2492,-0.7018128634336839,-0.6167379401665187
NAS,7,7,5,3,10,90,4,677,0.012574497092466212,-1.4255313956095874
NAS,7,7,5,3,10,90,8,735,0.21499764184384987,-1.064605444940881
NAS,7,7,5,3,10,90,16,1102,-0.01763534916863025,-0.5310856129195832
NAS,7,7,5,3,20,80,4,1169,-0.5062261946988393,-1.074382421091191
NAS,7,7,5,3,20,80,8,1258,-0.0395495573273773,-0.8303401717402471
NAS,7,7,5,3,20,80,16,1668,-0.3190212814348845,-0.4977824308049531
NAS,7,7,5,3,30,70,4,1492,-0.47382341592646293,-0.8889673942062979
NAS,7,7,5,3,30,70,8,1610,-0.273636179218473,-0.7807934672076565
NAS,7,7,5,3,30,70,16,1923,-0.3109893835169619,-0.4837099253096604
NAS,7,14,1,3,10,90,4,1948,-1.4673380072917335,-1.355771014983658
NAS,7,14,1,3,10,90,8,2499,-1.1100329982000716,-1.079872151213297
NAS,7,14,1,3,10,90,16,3346,-1.2240100020217721,-0.8238843885576286
NAS,7,14,1,3,20,80,4,2255,-1.3084790970833646,-1.213980318061579
NAS,7,14,1,3,20,80,8,2791,-1.109457006170752,-1.0342145637525555
NAS,7,14,1,3,20,80,16,3576,-1.0711385371263433,-0.8659388267553778
NAS,7,14,1,3,30,70,4,2574,-1.3177774408767997,-1.371621874756164
NAS,7,14,1,3,30,70,8,3082,-1.0590551948910512,-0.8841998235304984
NAS,7,14,1,3,30,70,16,3742,-1.0487653514484219,-0.8353377940400625
NAS,7,14,3,3,10,90,4,936,-1.8240435522719765,-1.8632472681776129
NAS,7,14,3,3,10,90,8,1099,-1.2938121874784878,-1.1589403088367165
NAS,7,14,3,3,10,90,16,1562,-0.5141444875528998,-0.3669136280801208
NAS,7,14,3,3,20,80,4,1361,-1.4617038585329702,-1.1640591646355454
NAS,7,14,3,3,20,80,8,1558,-0.9683127806500319,-0.6472021491319331
NAS,7,14,3,3,20,80,16,2026,-0.749151216334758,-0.4508559245855532
NAS,7,14,3,3,30,70,4,1613,-1.0144907253028392,-1.0247989636005046
NAS,7,14,3,3,30,70,8,1832,-0.5163720210149173,-0.6427228699092108
NAS,7,14,3,3,30,70,16,2246,-0.8757553066006838,-0.7055991015483962
NAS,7,14,5,3,10,90,4,514,-1.1020809748645282,-2.0836165663822674
NAS,7,14,5,3,10,90,8,564,-0.6907873690381638,-1.5103859892864717
