sym,rsi,stoch,k,d,os,ob,reset,n,net,ex_crisis
US30,7,7,1,3,10,90,4,2744,-2.3761007914288292,-1.41045207826449
US30,7,7,1,3,10,90,8,3336,-1.8860637233027466,-1.0636864656347982
US30,7,7,1,3,10,90,16,3707,-2.261539510183712,-0.8242166745553088
US30,7,7,1,3,20,80,4,2919,-2.2578894964945646,-1.0328834772465207
US30,7,7,1,3,20,80,8,3473,-1.859104565961109,-0.799053918697942
US30,7,7,1,3,20,80,16,3737,-2.248088856422578,-0.8674439777925916
US30,7,7,1,3,30,70,4,3057,-2.302551765879735,-1.1267730725388072
US30,7,7,1,3,30,70,8,3572,-2.0801694372183404,-1.0631983752836645
US30,7,7,1,3,30,70,16,3751,-2.3638745584026064,-1.0618722491629744
US30,7,7,3,3,10,90,4,1283,0.401357416935499,1.126857027648203
US30,7,7,3,3,10,90,8,1463,-1.2924951336967532,0.45519724198598155
US30,7,7,3,3,10,90,16,1949,-1.5666760146290053,0.6247368864919918
US30,7,7,3,3,20,80,4,1733,-1.0469856786454108,0.22133097886121064
US30,7,7,3,3,20,80,8,1949,-0.9572214576639811,0.26346021039503115
US30,7,7,3,3,20,80,16,2282,-2.0558904817161254,0.1140913137150945
US30,7,7,3,3,30,70,4,1988,-2.4908239085267403,-0.3707631908840368
US30,7,7,3,3,30,70,8,2194,-2.365590916532892,-0.294258730189203
US30,7,7,3,3,30,70,16,2392,-2.9639235285949455,-0.3728260077630711
US30,7,7,5,3,10,90,4,676,-3.3087061868936507,-2.73540952545496
US30,7,7,5,3,10,90,8,729,-3.816232999099576,-3.199429809661902
US30,7,7,5,3,10,90,16,1077,-2.1011762560573093,-1.545929639639722
US30,7,7,5,3,20,80,4,1172,-2.366454351979744,-1.3415573070054336
US30,7,7,5,3,20,80,8,1270,-2.5320028975620894,-1.7388671471499262
US30,7,7,5,3,20,80,16,1679,-1.82098237510201,-1.0509011675653648
US30,7,7,5,3,30,70,4,1467,-1.2874571391643586,-0.7495398003415593
US30,7,7,5,3,30,70,8,1587,-1.270238106488668,-1.1017241368987338
US30,7,7,5,3,30,70,16,1899,-2.225031120363951,-0.5254470902670748
US30,7,14,1,3,10,90,4,1864,-2.445503233642322,-1.840371584007189
US30,7,14,1,3,10,90,8,2414,-2.112594792672563,-1.333217909316768
US30,7,14,1,3,10,90,16,3204,-1.6672959547969213,-0.3072208169633363
US30,7,14,1,3,20,80,4,2179,-2.2318767347911854,-1.2234436750798414
US30,7,14,1,3,20,80,8,2726,-1.9911721677024452,-0.8845355987451223
US30,7,14,1,3,20,80,16,3429,-1.2418671021938705,-0.05895549220365615
US30,7,14,1,3,30,70,4,2486,-1.3682553527804946,-0.4598382275220022
US30,7,14,1,3,30,70,8,2994,-2.0225064524347083,-0.7356672434624301
US30,7,14,1,3,30,70,16,3569,-1.5471894124066607,-0.29287347566501715
US30,7,14,3,3,10,90,4,923,-4.754931453728485,-2.24333151208642
US30,7,14,3,3,10,90,8,1088,-4.950305582965341,-1.8178746778725672
US30,7,14,3,3,10,90,16,1484,-3.007925433627889,0.05489927169200723
US30,7,14,3,3,20,80,4,1325,-5.098365669414878,-2.1582209494752163
US30,7,14,3,3,20,80,8,1533,-3.4652789982228636,-1.3886028311359138
US30,7,14,3,3,20,80,16,1958,-2.828569222970634,-0.6711266100500323
US30,7,14,3,3,30,70,4,1601,-3.343796365811332,-1.3257723816817908
US30,7,14,3,3,30,70,8,1797,-2.721192562911055,-0.8712168278820348
US30,7,14,3,3,30,70,16,2160,-1.9341822737363048,0.016754442206580338
US30,7,14,5,3,10,90,4,511,-2.24055821060809,-2.843341442077736
US30,7,14,5,3,10,90,8,547,-2.3861281229792133,-2.483721183806116
US30,7,14,5,3,10,90,16,804,-2.3409332353306205,-1.5118006865746527
US30,7,14,5,3,20,80,4,947,-3.445414064947333,-1.8633363240264016
US30,7,14,5,3,20,80,8,1025,-2.866068911225137,-1.9693252371308485
US30,7,14,5,3,20,80,16,1376,-3.546368370884238,-1.6240382665167836
US30,7,14,5,3,30,70,4,1227,-2.884452720440842,-1.8055394853808018
US30,7,14,5,3,30,70,8,1332,-2.535129724880487,-0.9582376533129973
US30,7,14,5,3,30,70,16,1660,-3.1470199436431012,-1.0288659722267688
US30,7,21,1,3,10,90,4,1465,-2.447901792588093,-2.4958784154765534
US30,7,21,1,3,10,90,8,1946,-1.9858955058521062,-1.5555451757053158
US30,7,21,1,3,10,90,16,2680,-1.2485340603084376,-0.47850054630934485
US30,7,21,1,3,20,80,4,1805,-1.2281084997856824,-1.2505283766591617
US30,7,21,1,3,20,80,8,2300,-1.874546491159561,-1.2435001407498196
US30,7,21,1,3,20,80,16,2992,-0.8757885331354888,-0.523413362984656
US30,7,21,1,3,30,70,4,2204,-0.6623375377989184,-0.5791760145554729
US30,7,21,1,3,30,70,8,2686,-1.7497588464230571,-0.7325112913720272
US30,7,21,1,3,30,70,16,3277,-1.3114421874046052,-0.8142353767711494
US30,7,21,3,3,10,90,4,725,-3.7937420187223405,-1.0173525803868324
US30,7,21,3,3,10,90,8,863,-3.8037528639376164,-0.23655297114741453
US30,7,21,3,3,10,90,16,1217,-2.1974204176015664,1.0013257118317596
US30,7,21,3,3,20,80,4,1109,-5.361414928411887,-2.2150274194355624
US30,7,21,3,3,20,80,8,1292,-3.5687005366054465,-1.3545857900652905
US30,7,21,3,3,20,80,16,1679,-2.7154079514495777,-0.4365529872450628
US30,7,21,3,3,30,70,4,1428,-4.380094732829867,-1.99447826442783
US30,7,21,3,3,30,70,8,1609,-3.4156693878284528,-1.138401653963056
US30,7,21,3,3,30,70,16,1982,-2.5932855112584514,-0.8625964194452735
US30,7,21,5,3,10,90,4,382,0.7996396385867109,-0.44987900178304
US30,7,21,5,3,10,90,8,418,-1.0031920575787603,-0.40756094119732117
US30,7,21,5,3,10,90,16,637,-2.5342983882245043,-1.4618847486182236
US30,7,21,5,3,20,80,4,788,-1.595045744222744,-1.9028927741366621
US30,7,21,5,3,20,80,8,871,-2.0110727097924004,-1.9576548799254567
US30,7,21,5,3,20,80,16,1173,-2.114853828366438,-1.6375390797722318
US30,7,21,5,3,30,70,4,1082,-2.3943354986516847,-1.433687208402975
US30,7,21,5,3,30,70,8,1184,-3.1441231750019525,-1.690089743929462
US30,7,21,5,3,30,70,16,1466,-2.0527110710930816,-0.6367718903279579
US30,14,7,1,3,10,90,4,2669,-1.638575032736063,-1.0311406945177772
US30,14,7,1,3,10,90,8,3230,-0.9047689526304882,-0.772241775348006
US30,14,7,1,3,10,90,16,3657,-1.3327380883345108,-0.5582438989811632
US30,14,7,1,3,20,80,4,2835,-1.501036223457698,-0.9020789485978352
US30,14,7,1,3,20,80,8,3364,-0.8467189489987421,-0.6110712843885223
US30,14,7,1,3,20,80,16,3686,-1.3739911721972533,-0.6383034589997585
US30,14,7,1,3,30,70,4,2982,-1.1915400114125685,-0.7124454820379619
US30,14,7,1,3,30,70,8,3473,-0.8865783123812394,-0.5779204118095579
US30,14,7,1,3,30,70,16,3699,-1.5099191237545981,-0.6490218542698987
US30,14,7,3,3,10,90,4,1241,-1.2339667646037042,0.41935143818937315
US30,14,7,3,3,10,90,8,1429,-2.106619291882092,0.08670015360038023
US30,14,7,3,3,10,90,16,1891,-2.02315858102124,-0.1748007899023577
US30,14,7,3,3,20,80,4,1690,-2.0767502637407222,-0.25521670555853293
US30,14,7,3,3,20,80,8,1893,-1.6316202098312276,0.10530105506000809
US30,14,7,3,3,20,80,16,2227,-2.386004207841296,-0.31679502615288896
US30,14,7,3,3,30,70,4,1929,-2.673396451793835,-0.24828623834351335
US30,14,7,3,3,30,70,8,2112,-2.2505121144111175,-0.3287079840864492
US30,14,7,3,3,30,70,16,2329,-2.6312049115973974,-0.46891658808903
US30,14,7,5,3,10,90,4,708,-3.652520237203733,-3.8850662528805397
US30,14,7,5,3,10,90,8,780,-3.5189024416632537,-3.655068576532411
US30,14,7,5,3,10,90,16,1117,-2.3691865738914344,-3.058604518800163
US30,14,7,5,3,20,80,4,1174,-2.8524020759282567,-2.3913522484742424
US30,14,7,5,3,20,80,8,1265,-2.8408078768145346,-3.2491572739264294
US30,14,7,5,3,20,80,16,1647,-2.3808796807182397,-2.0309593005548034
US30,14,7,5,3,30,70,4,1456,-2.550730732251398,-1.4162419067844654
US30,14,7,5,3,30,70,8,1561,-2.3333888923206425,-1.9256434478214035
US30,14,7,5,3,30,70,16,1857,-2.5184493044988314,-1.1420678202348675
US30,14,14,1,3,10,90,4,1813,-1.6319492447130555,-1.6727369180492369
US30,14,14,1,3,10,90,8,2321,-1.8386890032947056,-1.1782828905533964
US30,14,14,1,3,10,90,16,3092,-1.0886781120152216,-0.46869964259546126
US30,14,14,1,3,20,80,4,2093,-2.047325652358972,-1.9903480605131312
US30,14,14,1,3,20,80,8,2596,-2.6264145553898466,-1.8801972286201623
US30,14,14,1,3,20,80,16,3271,-1.603120338323489,-0.5878738266071707
