mk,tf,read,n,band,stop,tp,cnt,mu,tot,pf,hold,cr
US30L,15,S slope state,20,2.0s,1.5,0.0,10117,-0.0017985775881744013,-18.196209459560418,0.983620772325826,90.0,0.05272354677350625
US30L,15,S slope state,20,2.0s,1.5,2.0,15266,-0.006746360557338093,-102.98994026832332,0.9386775914921047,75.0,0.049455095403911395
US30L,15,S slope state,20,2.0s,2.5,0.0,8187,-0.002145000002817274,-17.56111502306502,0.9835276059644983,180.0,0.03189643513356025
US30L,15,S slope state,20,2.0s,2.5,2.0,10115,-0.00478480982160087,-48.3983513454928,0.9644080614395785,150.0,0.030065434214509707
US30L,15,X slope cross,20,2.0s,1.5,0.0,4750,0.0010914838623692059,5.184548346253727,1.0088987355818197,150.0,0.05287219315574809
US30L,15,X slope cross,20,2.0s,1.5,2.0,5499,-0.0007576587899344023,-4.166365685849279,0.9933616110043025,90.0,0.051943283164897804
US30L,15,X slope cross,20,2.0s,2.5,0.0,4110,0.0025894884934910866,10.642797708248366,1.0181467251273015,225.0,0.03237209460197015
US30L,15,X slope cross,20,2.0s,2.5,2.0,4515,-0.0015487014216527182,-6.992386918762023,0.9889342920656939,180.0,0.0314328834998844
US30L,15,V close>value,20,2.0s,1.5,0.0,20976,-0.004068587155588372,-85.3426841756217,0.9487589322331927,60.0,0.05360372066759907
US30L,15,V close>value,20,2.0s,1.5,2.0,23899,-0.005102760494575847,-121.95087305986817,0.9359032791557328,45.0,0.05225031547876911
US30L,15,V close>value,20,2.0s,2.5,0.0,20130,-0.005403481381225619,-108.7720802040717,0.9350673874237275,60.0,0.0323315942961159
US30L,15,V close>value,20,2.0s,2.5,2.0,21118,-0.00579805944529185,-122.44341936567328,0.930332701899024,60.0,0.03189460602783267
US30L,15,B channel break,20,2.0s,1.5,0.0,7791,-0.004515688319101434,-35.181727694119274,0.9512205054252303,60.0,0.050715989387473855
US30L,15,B channel break,20,2.0s,1.5,2.0,8225,-0.005759050808828276,-47.36819290261257,0.9375379583365664,60.0,0.05011785948866828
US30L,15,B channel break,20,2.0s,2.5,0.0,7594,-0.005248230782873329,-39.85506456514006,0.9465294622768488,75.0,0.03051942230809295
US30L,15,B channel break,20,2.0s,2.5,2.0,7762,-0.004485124316743908,-34.813534946566215,0.9544012685750568,75.0,0.03032327533541524
US30L,15,R channel revert,20,2.0s,1.5,0.0,8735,-0.0114861327171811,-100.33136928457691,0.8778191593636933,45.0,0.049700694543167015
US30L,15,R channel revert,20,2.0s,1.5,2.0,8752,-0.013499872497554846,-118.15088409860002,0.8563595439186044,45.0,0.049739403378217396
US30L,15,R channel revert,20,2.0s,2.5,0.0,8196,-0.008778990634582436,-71.95260724103764,0.9106581713594221,60.0,0.03002585809365199
US30L,15,R channel revert,20,2.0s,2.5,2.0,8198,-0.009450565190054338,-77.47573342806547,0.9038230711201595,60.0,0.03002585809365199
US30L,15,B channel break,20,1.5A,1.5,0.0,6199,-0.008417697913764273,-52.18130936742473,0.9119211109801105,75.0,0.04749489469314883
US30L,15,B channel break,20,1.5A,1.5,2.0,6608,-0.00788782248700001,-52.12273099409607,0.9170015383521367,60.0,0.04646260264077349
US30L,15,B channel break,20,1.5A,2.5,0.0,6092,-0.006743493284466794,-41.081361088971704,0.9325544328600549,75.0,0.028560925733728197
US30L,15,B channel break,20,1.5A,2.5,2.0,6241,-0.005506287794989573,-34.364742128529926,0.9448602344126557,75.0,0.028330001787852815
US30L,15,R channel revert,20,1.5A,1.5,0.0,7257,-0.011196714528926791,-81.25455733642173,0.8831905543810851,45.0,0.046008702372908036
US30L,15,R channel revert,20,1.5A,1.5,2.0,7259,-0.01316047511971592,-95.53188889401787,0.8626072540711397,45.0,0.04602464440572922
US30L,15,R channel revert,20,1.5A,2.5,0.0,6656,-0.008998238959660152,-59.89227851549798,0.9106555071054568,60.0,0.027770879626596457
US30L,15,R channel revert,20,1.5A,2.5,2.0,6656,-0.0097632532068595,-64.98421334485683,0.9030772872833781,60.0,0.027770879626596457
US30L,15,S slope state,50,2.0s,1.5,0.0,6164,0.0017954071785736562,11.066889848728017,1.0132073575724334,105.0,0.04890552415004787
US30L,15,S slope state,50,2.0s,1.5,2.0,11718,-0.00699288927014362,-81.94267646754294,0.9474908638132356,75.0,0.04569412710787493
US30L,15,S slope state,50,2.0s,2.5,0.0,4557,0.004503823724667666,20.523924713310553,1.0259378918497848,210.0,0.029221233021069666
US30L,15,S slope state,50,2.0s,2.5,2.0,6570,-0.0039869691530947495,-26.194387335832506,0.9775808973759228,180.0,0.02698671276868559
US30L,15,X slope cross,50,2.0s,1.5,0.0,2246,0.013496656703243229,30.31349095548429,1.0902663348022144,180.0,0.05076783377270373
US30L,15,X slope cross,50,2.0s,1.5,2.0,2661,0.0012473028649815064,3.3190729237157885,1.0097484023717187,105.0,0.05185552870438844
US30L,15,X slope cross,50,2.0s,2.5,0.0,1973,0.0008121267291670558,1.602326036646601,1.0040984058688749,390.0,0.029731731797931194
US30L,15,X slope cross,50,2.0s,2.5,2.0,2291,0.0020970313373419435,4.804298793850393,1.011425489093831,255.0,0.03007997556421801
US30L,15,V close>value,50,2.0s,1.5,0.0,12852,-0.002423005209493034,-31.140462952404473,0.9757721375481845,75.0,0.05131879462869444
US30L,15,V close>value,50,2.0s,1.5,2.0,16917,-0.006254908596276208,-105.81428872320461,0.938236451918147,60.0,0.04912696098476931
US30L,15,V close>value,50,2.0s,2.5,0.0,11876,-0.0025204545592227103,-29.932918345328908,0.9764139619841328,90.0,0.030618841050296254
US30L,15,V close>value,50,2.0s,2.5,2.0,13380,-0.004388308356235432,-58.71556580643008,0.959830382744112,90.0,0.02973077049905054
US30L,15,B channel break,50,2.0s,1.5,0.0,4925,-0.0016424999503789547,-8.089312255616353,0.9870484581618215,120.0,0.04514347113575757
US30L,15,B channel break,50,2.0s,1.5,2.0,6010,-0.004896663026128054,-29.4289447870296,0.960550210464621,90.0,0.04344677908829227
US30L,15,B channel break,50,2.0s,2.5,0.0,4576,-0.003930840811334802,-17.987527552668055,0.9726664009678407,165.0,0.02726882536359954
US30L,15,B channel break,50,2.0s,2.5,2.0,5071,-0.00641225408872569,-32.516540483927976,0.9554616068585363,135.0,0.026499686813639272
US30L,15,R channel revert,50,2.0s,1.5,0.0,7106,-0.008291334809677772,-58.91822515757025,0.9340513725859283,75.0,0.04230278654377147
US30L,15,R channel revert,50,2.0s,1.5,2.0,7137,-0.010137826924869652,-72.3536707627947,0.9188307075441741,75.0,0.042271948926236466
US30L,15,R channel revert,50,2.0s,2.5,0.0,5976,-0.009255398200211712,-55.310259644465184,0.9349578727329168,105.0,0.025908890717939885
US30L,15,R channel revert,50,2.0s,2.5,2.0,5976,-0.010256803010700729,-61.29465479194755,0.9279120634300382,105.0,0.025908890717939885
US30L,15,B channel break,50,1.5A,1.5,0.0,6809,-0.0021419753689967094,-14.584710287498595,0.9817546230382382,135.0,0.0510312774091243
US30L,15,B channel break,50,1.5A,1.5,2.0,8870,-0.00460429151562185,-40.84006574356581,0.9596218676514818,90.0,0.04885883918396544
US30L,15,B channel break,50,1.5A,2.5,0.0,6022,-0.0032400586227854323,-19.51163302641387,0.9761618346594284,180.0,0.03024289181029932
US30L,15,B channel break,50,1.5A,2.5,2.0,6860,-0.00647310931129123,-44.40552987545784,0.9521961873279282,150.0,0.02931799789369604
US30L,15,R channel revert,50,1.5A,1.5,0.0,10473,-0.005556562065103929,-58.19387450783345,0.9515808043823443,75.0,0.04767147643517661
US30L,15,R channel revert,50,1.5A,1.5,2.0,10689,-0.00800782499433429,-85.59564136443923,0.9293258718173784,75.0,0.047971253968804535
US30L,15,R channel revert,50,1.5A,2.5,0.0,8315,-0.008027672634708525,-66.75009795760138,0.9399850695853806,105.0,0.02856796225313369
US30L,15,R channel revert,50,1.5A,2.5,2.0,8327,-0.00977478724093455,-81.394653355262,0.9268834863208834,105.0,0.02859288639025226
US30L,15,S slope state,100,2.0s,1.5,0.0,3885,-0.011684966873278408,-45.396096302686615,0.929735941809815,135.0,0.043176754294959076
US30L,15,S slope state,100,2.0s,1.5,2.0,9849,-0.013617485255075574,-134.11861227723932,0.911537405993618,90.0,0.04209296684840986
US30L,15,S slope state,100,2.0s,2.5,0.0,2697,-0.011138166274077134,-30.03963444118603,0.9499368512316763,285.0,0.025319735033826507
US30L,15,S slope state,100,2.0s,2.5,2.0,4701,-0.014277869788081475,-67.12026587377102,0.9360633333011729,240.0,0.024494916177722637
US30L,15,X slope cross,100,2.0s,1.5,0.0,1145,0.013334663570223516,15.268189787905927,1.070557777254508,270.0,0.04385222281368792
US30L,15,X slope cross,100,2.0s,1.5,2.0,1357,0.000781181225261324,1.0600629226796165,1.0050824166290935,135.0,0.04379175005435814
US30L,15,X slope cross,100,2.0s,2.5,0.0,1019,0.03143465881173026,32.03191732915313,1.1262785898300258,630.0,0.026401151285473635
US30L,15,X slope cross,100,2.0s,2.5,2.0,1232,-0.009591730544124188,-11.817012030361,0.9595581426889807,360.0,0.025967141127435703
US30L,15,V close>value,100,2.0s,1.5,0.0,9250,-0.0024316216887255095,-22.492500620710963,0.9785441534342914,75.0,0.050495386946716764
US30L,15,V close>value,100,2.0s,1.5,2.0,14099,-0.006725417334567649,-94.82165900006927,0.9416901765524673,60.0,0.04767013780112349
US30L,15,V close>value,100,2.0s,2.5,0.0,8305,-0.0038471893585797063,-31.95090762300446,0.9694502341724462,90.0,0.030046683118464427
US30L,15,V close>value,100,2.0s,2.5,2.0,10037,-0.0054681022630738985,-54.88334241447272,0.9584583693155171,105.0,0.028883086074375293
US30L,15,B channel break,100,2.0s,1.5,0.0,2903,-0.003378893439406351,-9.808927654596637,0.9788911082517454,195.0,0.04021169534373324
US30L,15,B channel break,100,2.0s,1.5,2.0,3921,-0.0010183560153178624,-3.9929739360613388,0.9932167319731042,105.0,0.03886925113098985
US30L,15,B channel break,100,2.0s,2.5,0.0,2553,-0.00861958101832004,-22.00579033977106,0.956452221232802,300.0,0.024379226778641558
US30L,15,B channel break,100,2.0s,2.5,2.0,3047,-0.009390079204705104,-28.611571336736453,0.9514853663638241,240.0,0.023884995728643284
US30L,15,R channel revert,100,2.0s,1.5,0.0,4703,-0.003684646293732172,-17.328891519422406,0.9761683185622224,105.0,0.03846047748621002
US30L,15,R channel revert,100,2.0s,1.5,2.0,4768,-0.009570890580210939,-45.634006286445754,0.9365933767695825,105.0,0.03851626417436524
US30L,15,R channel revert,100,2.0s,2.5,0.0,3726,-0.0033300748419333687,-12.407858861043731,0.9822520132796355,180.0,0.02336924440798596
US30L,15,R channel revert,100,2.0s,2.5,2.0,3737,-0.004545913969551711,-16.988080504214743,0.9756135354272617,180.0,0.023371555201287197
US30L,15,B channel break,100,1.5A,1.5,0.0,5538,-0.003546975685719863,-19.6431513475166,0.9744670953749978,165.0,0.052313899650453854
US30L,15,B channel break,100,1.5A,1.5,2.0,8883,-0.007845357428048911,-69.69031003335847,0.940040066304481,90.0,0.04842386123811858
US30L,15,B channel break,100,1.5A,2.5,0.0,4550,-0.00618112813026798,-28.124132992719307,0.9638851884906723,255.0,0.03075903807268128
US30L,15,B channel break,100,1.5A,2.5,2.0,5824,-0.006145424361496412,-35.7909514813551,0.9638275945042135,195.0,0.028811546377256834
US30L,15,R channel revert,100,1.5A,1.5,0.0,9539,-0.00539448370963363,-51.457980106195194,0.959736425070351,90.0,0.047292259556127335
US30L,15,R channel revert,100,1.5A,1.5,2.0,10308,-0.009197671493110085,-94.80959775097875,0.9286953640685182,90.0,0.047648557484588565
US30L,15,R channel revert,100,1.5A,2.5,0.0,7120,-0.0014265003907441688,-10.156682782098482,0.9912190841029159,150.0,0.02825174047171585
US30L,15,R channel revert,100,1.5A,2.5,2.0,7232,-0.0036672444708895293,-26.521512013473075,0.9772585507687962,150.0,0.02825174047171585
US30L,30,S slope state,20,2.0s,1.5,0.0,5261,-0.001408365312103618,-7.409409906977135,0.9911426212339485,180.0,0.03516002258294385
US30L,30,S slope state,20,2.0s,1.5,2.0,7799,-0.010396488573674673,-81.08221438608876,0.9341803836039329,120.0,0.033065760617882266
US30L,30,S slope state,20,2.0s,2.5,0.0,4228,-0.0009061391180617713,-3.831156191165169,0.9952292661963357,330.0,0.021472286780075827
US30L,30,S slope state,20,2.0s,2.5,2.0,5225,-0.006147385053168366,-32.120086902804715,0.967792021265309,270.0,0.020261911220419516
US30L,30,X slope cross,20,2.0s,1.5,0.0,2437,-0.006263115977602647,-15.26321363741765,0.9648739027054987,300.0,0.035567112808897045
