feed,block,n,pts,pct,pf,win,stop,tgt,flat,mde,be,sec
US30L,A_research,1722,0.265,0.00163,1.005,0.5128,0.487,0.513,0.0,0.02454,0.0,0.0
US30L,B_holdout,870,-11.026,-0.03008,0.802,0.4563,0.544,0.456,0.0,0.02497,0.0,0.0
US30L,A_research,2171,3.099,0.01107,1.139,0.2607,0.739,0.261,0.0,0.01516,25.0,0.0
US30L,B_holdout,1096,-1.834,-0.00553,0.92,0.2162,0.784,0.216,0.0,0.01467,25.0,0.0
US30L,A_research,2184,3.472,0.01216,1.164,0.7935,0.764,0.236,0.0,0.01472,25.0,5.0
US30L,B_holdout,1097,-0.357,-0.00174,0.983,0.7885,0.799,0.201,0.0,0.01442,25.0,5.0
US30L,A_research,1935,2.103,0.00787,1.062,0.3695,0.63,0.37,0.0,0.01941,50.0,0.0
US30L,B_holdout,970,-6.723,-0.01921,0.822,0.3175,0.682,0.318,0.0,0.01954,50.0,0.0
US30L,A_research,1940,2.249,0.00825,1.068,0.6747,0.645,0.355,0.0,0.01917,50.0,5.0
US30L,B_holdout,971,-6.579,-0.01888,0.822,0.6385,0.698,0.302,0.0,0.01931,50.0,5.0
US30L,A_research,1805,1.533,0.00625,1.036,0.4504,0.55,0.45,0.0,0.02231,75.0,0.0
US30L,B_holdout,909,-9.661,-0.0268,0.802,0.4004,0.6,0.4,0.0,0.02282,75.0,0.0
US30L,A_research,1809,2.005,0.00779,1.048,0.5882,0.552,0.448,0.0,0.02225,75.0,5.0
US30L,B_holdout,909,-9.116,-0.02551,0.811,0.5281,0.603,0.397,0.0,0.02276,75.0,5.0
US30I,C_forward,457,1.43,0.00369,1.029,0.5186,0.481,0.519,0.0,0.0271,0.0,0.0
US30I,C_forward,528,1.308,0.00298,1.055,0.2557,0.744,0.256,0.0,0.01739,25.0,0.0
US30I,C_forward,528,1.772,0.00395,1.079,0.7803,0.767,0.233,0.0,0.01699,25.0,5.0
US30I,C_forward,495,-0.674,-0.00099,0.981,0.3515,0.648,0.352,0.0,0.02161,50.0,0.0
US30I,C_forward,495,-0.452,-0.00045,0.987,0.6646,0.663,0.337,0.0,0.02141,50.0,5.0
US30I,C_forward,470,-2.29,-0.00422,0.949,0.434,0.566,0.434,0.0,0.02491,75.0,0.0
US30I,C_forward,470,-2.439,-0.00451,0.945,0.566,0.574,0.426,0.0,0.0248,75.0,5.0
