cfg,A_n,A_ppt,A_win,A_pf,A_tot,B_n,B_ppt,B_win,B_pf,B_tot
"defaults: LinReg13 x EMA48, both, opp cross+reverse, 2N stop",1339,2.9333720229148432,0.27557879014189696,1.0779386162021922,3927.7851386829752,589,1.5102392081817977,0.2597623089983022,1.0244764112277105,889.5308936190788
EMA13 x LinReg48,1251,1.8464855603115786,0.34212629896083135,1.0498141551189755,2309.9534359497848,565,14.96106218580486,0.3787610619469027,1.270022580296092,8453.000134979746
EMA13 x EMA48,832,3.53715892156027,0.25240384615384615,1.076979168783484,2942.916222738145,360,-7.904350419935152,0.24722222222222223,0.8995576106755648,-2845.566151176655
long only,669,9.223557149275553,0.31390134529147984,1.2494880164112827,6170.559732865346,295,20.4851961231001,0.30847457627118646,1.3477701366652515,6043.132856314529
"opp-cross exit, no reverse",819,2.9197173235626876,0.28815628815628813,1.0768334035984106,2391.248487997841,368,-0.9867875885869983,0.25,0.9845973735562373,-363.1378326000154
"stop/target only, 3N target",749,2.587667545602988,0.43124165554072097,1.0537578139124815,1938.162991656638,347,1.5505073376249638,0.41210374639769454,1.020056800627867,538.0260461558624
window 09:30-16:00 + flat 16:00,479,8.107971975650077,0.4780793319415449,1.3396329522807573,3883.718576336387,219,17.870851474167583,0.5205479452054794,1.5369513071383734,3913.7164728427006
"+ 09:00 range, cross closes beyond",514,-0.5993696877033831,0.28793774319066145,0.986205627144727,-308.0760194795389,243,10.606397342102094,0.2757201646090535,1.1532566869354528,2577.3545541308085
"+ fresh cross <=30 min, range close",514,-0.5993696877033831,0.28793774319066145,0.986205627144727,-308.0760194795389,243,10.606397342102094,0.2757201646090535,1.1532566869354528,2577.3545541308085
+ breakeven 50 / secure 5,1339,6.491403611092781,0.4525765496639283,1.2844719515480247,8691.989435253234,589,2.0108583544423584,0.5449915110356537,1.0642858596886307,1184.395570766549
