tf,ent,ema,stop,n,mu,tot,pf,hold,long_share
15,20,0,2.0,3525,-0.001871192958267041,-6.5959551778913195,0.9898330234675997,285.0,0.51177304964539
15,20,0,2.5,3227,9.951645504595216e-05,0.3211396004332876,1.0004893590805561,345.0,0.5147195537651069
15,20,50,2.0,3462,-0.00014434896227882767,-0.4997361074093014,0.9992168455984138,285.0,0.5150202195262854
15,20,50,2.5,3178,0.0005005918926945707,1.5908810349833455,1.0024520306521179,360.0,0.5185651353052234
15,20,200,2.0,2994,0.005581018177003021,16.709568421947044,1.0300777873578282,300.0,0.5394121576486306
15,20,200,2.5,2781,0.002444252254218875,6.797465518982692,1.0117878144917714,360.0,0.5397339086659475
15,30,0,2.0,3193,5.587125870516915e-05,0.1783969290456051,1.0002987162609625,285.0,0.5198872533667397
15,30,0,2.5,2950,0.0013660370134366065,4.029809189637989,1.0066127263684483,345.0,0.5210169491525424
15,30,50,2.0,3165,0.0017509624650336117,5.541796201831381,1.0093820398310454,285.0,0.5197472353870458
15,30,50,2.5,2932,0.0018563749208914892,5.442891268053846,1.0089717732103236,345.0,0.5211459754433834
15,30,200,2.0,2723,0.008854645571723944,24.111199891804297,1.047200188710793,285.0,0.541681968417187
15,30,200,2.5,2534,0.006994449712138717,17.723935570559508,1.0333452622383508,360.0,0.5418310970797159
15,55,0,2.0,2452,0.011083143591943085,27.175868087444442,1.0575236235430938,300.0,0.532626427406199
15,55,0,2.5,2303,0.0074474439328454205,17.151463377343003,1.0345303281832885,375.0,0.5301780286582718
15,55,50,2.0,2452,0.011083143591943085,27.175868087444442,1.0575236235430938,300.0,0.532626427406199
15,55,50,2.5,2303,0.0074474439328454205,17.151463377343003,1.0345303281832885,375.0,0.5301780286582718
15,55,200,2.0,2250,0.017305738528890748,38.937911690004185,1.091158920078119,300.0,0.5462222222222223
15,55,200,2.5,2117,0.013918265274343504,29.464967585785196,1.0655172077010961,375.0,0.5441662730278696
30,20,0,2.0,1835,-0.00564003930804413,-10.349472130260978,0.9784272457490579,540.0,0.500817438692098
30,20,0,2.5,1682,-0.003958159973678813,-6.657625075727764,0.9862327408557483,735.0,0.5071343638525565
30,20,50,2.0,1815,-0.0035303491757805163,-6.407583754041637,0.986495233712154,540.0,0.503030303030303
30,20,50,2.5,1668,-0.004453465980702875,-7.428381255812395,0.9845418267538852,720.0,0.5095923261390888
30,20,200,2.0,1518,0.01964362428180043,29.81902165977305,1.0795013603233194,630.0,0.544137022397892
30,20,200,2.5,1419,0.011504534491478088,16.324934443407408,1.0413829579667306,750.0,0.5440451021846371
30,30,0,2.0,1608,-0.0005866397067854637,-0.9433166485110256,0.9977987600606023,660.0,0.5031094527363185
30,30,0,2.5,1506,-0.002555219544160313,-3.8481606335054312,0.9912183847109679,780.0,0.5053120849933599
30,30,50,2.0,1603,0.0006996099168109044,1.12147469664788,1.0026296927500533,660.0,0.5028072364316906
30,30,50,2.5,1504,-0.0021896180339226255,-3.2931855230196287,0.9924706656336503,780.0,0.5053191489361702
30,30,200,2.0,1365,0.014410827535537388,19.670779586008535,1.0556579095381402,660.0,0.5406593406593406
30,30,200,2.5,1293,0.009742266710600578,12.596750856806548,1.0344630466852887,780.0,0.5406032482598608
30,55,0,2.0,1202,-0.011713880966259126,-14.08008492144347,0.9569010059570049,660.0,0.5224625623960066
30,55,0,2.5,1134,-0.008581038236949614,-9.730897360700862,0.9705286457358154,795.0,0.5255731922398589
30,55,50,2.0,1202,-0.011713880966259126,-14.08008492144347,0.9569010059570049,660.0,0.5224625623960066
30,55,50,2.5,1134,-0.008581038236949614,-9.730897360700862,0.9705286457358154,795.0,0.5255731922398589
30,55,200,2.0,1105,-8.280050001453754e-05,-0.09149455251606398,0.9996882333217296,690.0,0.551131221719457
30,55,200,2.5,1050,0.0038459794500470424,4.038278422549395,1.013643694155335,810.0,0.5495238095238095
60,20,0,2.0,856,0.023094524567705332,19.768913029955765,1.062904394363045,1260.0,0.5175233644859814
60,20,0,2.5,792,0.012683823081001475,10.045587880153168,1.0307487899296135,1500.0,0.523989898989899
60,20,50,2.0,855,0.022551859313746224,19.28183971325302,1.0615563337585232,1260.0,0.5181286549707602
60,20,50,2.5,791,0.011844909707981785,9.369323579013592,1.0287321042124962,1500.0,0.5246523388116309
60,20,200,2.0,746,0.02794586964010732,20.84761875152006,1.07811548739472,1200.0,0.5589812332439679
60,20,200,2.5,688,0.02169260430138209,14.924511759350878,1.053693316741844,1500.0,0.561046511627907
60,30,0,2.0,787,0.014467032949218505,11.385554931034964,1.0399356955547274,1200.0,0.5146124523506989
60,30,0,2.5,721,0.02294179085594553,16.541031207136726,1.0574210412439593,1440.0,0.5187239944521498
60,30,50,2.0,786,0.014320736838615289,11.256099155151617,1.0395160989853856,1200.0,0.5139949109414759
60,30,50,2.5,721,0.021799546052899056,15.71747270414022,1.0545176476818348,1440.0,0.5187239944521498
60,30,200,2.0,666,0.04292350825344415,28.5870564967938,1.1223662653060473,1200.0,0.5570570570570571
60,30,200,2.5,622,0.03642083262644706,22.653757893650074,1.092290844112985,1560.0,0.5578778135048231
60,55,0,2.0,609,0.011127250824831458,6.776495752322358,1.0302919719679806,1260.0,0.535303776683087
60,55,0,2.5,571,0.013572534712852316,7.749917321038673,1.033442993396478,1500.0,0.5394045534150613
60,55,50,2.0,609,0.011127250824831458,6.776495752322358,1.0302919719679806,1260.0,0.535303776683087
60,55,50,2.5,571,0.013572534712852316,7.749917321038673,1.033442993396478,1500.0,0.5394045534150613
60,55,200,2.0,561,0.025264695871667634,14.173494384005544,1.0689778134216734,1260.0,0.5561497326203209
60,55,200,2.5,528,0.02566800993345836,13.552709244866016,1.063247751961362,1590.0,0.5606060606060606
