L,cond,n,mu,null,exc,p,pass
16,clk.overnight,95430,0.01252670427100111,0.008265478648454956,0.004261225622546154,0.05,False
16,vol.pct250<=0.2,30157,0.021446240107692364,0.008621274852737823,0.01282496525495454,0.051,False
256,ma.|d200|<=0.5,10415,0.2119232814921192,0.128491598759729,0.08343168273239021,0.094,False
16,ma.d200>=+1.5,64365,0.014750849897788878,0.008258554541822123,0.006492295355966755,0.103,False
64,lvl.near prior close,10959,0.06282366129091575,0.03226406485954912,0.03055959643136663,0.105,False
256,lvl.near prior close,10959,0.18583404239665255,0.13059647298951077,0.05523756940714178,0.111,False
256,clk.overnight,95430,0.13483423619594795,0.13284030142208342,0.0019939347738645308,0.127,False
256,vol.pct250<=0.2,30157,0.17395346635656012,0.1325636474426527,0.04138981891390742,0.134,False
256,vlm.tod>=1.5,43534,0.21462082963116202,0.14199646609293837,0.07262436353822366,0.15,False
256,lvl.<prior sess low,23688,0.21011241491786103,0.13532421361081404,0.074788201307047,0.162,False
64,dsp.d16>=+1.5,42670,0.04385409761037424,0.033322173612244696,0.010531923998129543,0.184,False
64,clk.1500-1600,5949,0.04417623851752566,0.03307313867570012,0.011103099841825538,0.202,False
16,vol.atr/sma100<=0.8,49272,0.012754282324682994,0.00858217405045614,0.004172108274226854,0.202,False
64,lvl.<prior sess low,23688,0.058786930142807683,0.031509753155404684,0.027277176987403,0.215,False
16,dsp.d16>=+1.5,42670,0.012156775467542633,0.007923043527847375,0.004233731939695258,0.215,False
64,vol.atr/sma100>=1.2,35306,0.04229447230650455,0.03231476602165871,0.00997970628484584,0.231,False
64,vol.pct250>=0.8,28280,0.045010226337993044,0.03209588643792917,0.012914339900063875,0.237,False
16,lvl.near prior close,10959,0.015269139782878204,0.008431809755694042,0.006837330027184162,0.24,False
16,lvl.<prior sess low,23688,0.014983246396363946,0.007847621041171978,0.0071356253551919675,0.241,False
16,trn.close>EMA200,79455,0.010921438554607456,0.008366773868733697,0.0025546646858737587,0.261,False
16,lvl.>prior sess high,35795,0.01364888294720542,0.008690491012686367,0.004958391934519052,0.273,False
64,ma.|d200|<=0.5,10415,0.048238804308988685,0.031955013587096265,0.01628379072189242,0.286,False
256,dsp.d16>=+1.5,42670,0.1465061282339677,0.1317302109459832,0.014775917287984497,0.294,False
64,vlm.tod>=1.5,43534,0.04460990549315799,0.035299215350414644,0.009310690142743348,0.314,False
64,vol.pct250<=0.2,30157,0.04330141493214908,0.034726648463962034,0.008574766468187042,0.325,False
64,lvl.>prior sess high,35795,0.04249858594804429,0.03457409048348717,0.007924495464557119,0.382,False
64,ma.d200>=+1.5,64365,0.03769160840452995,0.03295137994720193,0.004740228457328022,0.403,False
64,trn.close>EMA200,79455,0.03687417947016361,0.03345387531576873,0.003420304154394878,0.414,False
256,lvl.>prior sess high,35795,0.1475154926092234,0.13129902661759862,0.016216465991624768,0.416,False
256,vol.atr/sma100>=1.2,35306,0.1374750390026723,0.13211583941174804,0.005359199590924263,0.417,False
64,clk.overnight,95430,0.033746115999632745,0.03336816092796814,0.00037795507166460407,0.451,False
256,mom.rsi14>=70,8990,0.1322002671781937,0.12680049145446542,0.005399775723728267,0.467,False
256,vol.pct250>=0.8,28280,0.13557436613253698,0.13431697260381725,0.0012573935287197302,0.48,False
16,ma.d200<=-1.5,41534,0.008640290103575936,0.008186516937951248,0.00045377316562468864,0.48,False
16,vlm.tod>=1.5,43534,0.009114571679430339,0.008982341911383397,0.00013222976804694135,0.492,False
256,trn.close>EMA200,79455,0.1302968005929653,0.12944201205658964,0.0008547885363756613,0.494,False
16,mom.rsi14>=70,8990,0.00713406879109321,0.00864189982602798,-0.0015078310349347698,0.53,False
16,vlm.tod<=0.7,22630,0.008522156958429837,0.00932517689718007,-0.0008030199387502341,0.543,False
64,ma.d200<=-1.5,41534,0.027699239118306886,0.031824218694508764,-0.004124979576201879,0.562,False
64,mom.rsi14<=30,6398,0.023824920345341397,0.03136300282785498,-0.007538082482513583,0.575,False
256,ma.d200>=+1.5,64365,0.11803729798303321,0.12912085200324086,-0.01108355402020765,0.579,False
256,ma.d200<=-1.5,41534,0.11969814162338384,0.1353710709325783,-0.015672929309194464,0.583,False
64,mom.rsi14>=70,8990,0.02651394717376395,0.03484492022897577,-0.00833097305521182,0.592,False
256,mom.rsi14<=30,6398,0.11621233824171755,0.1396903263332976,-0.02347798809158004,0.605,False
64,clk.0930-1100,9558,0.030040493356092452,0.033269626845944214,-0.003229133489851762,0.61,False
16,clk.0930-1100,9558,0.005772841668343348,0.008560394766555717,-0.0027875530982123696,0.618,False
64,vlm.tod<=0.7,22630,0.021542206362136412,0.03697097052577897,-0.015428764163642555,0.688,False
16,dsp.d16<=-1.5,33875,0.005103067595831563,0.008587902921257594,-0.003484835325426031,0.707,False
16,mom.rsi14<=30,6398,-0.000980409879915185,0.007838825133456443,-0.008819235013371628,0.72,False
16,vol.pct250>=0.8,28280,0.0028431820174865128,0.008345781871670668,-0.005502599854184155,0.743,False
64,vol.atr/sma100<=0.8,49272,0.026308426999025875,0.03411921152221357,-0.007810784523187692,0.744,False
256,vlm.tod<=0.7,22630,0.061364863111033355,0.13719828207031992,-0.07583341895928657,0.756,False
256,clk.0930-1100,9558,0.12941221992191537,0.13309943466559393,-0.0036872147436785574,0.799,False
16,ma.|d200|<=0.5,10415,-0.0008187839690158908,0.008005234724536708,-0.008824018693552598,0.805,False
256,clk.1500-1600,5949,0.11931336061958087,0.13258181712474357,-0.013268456505162701,0.84,False
256,dsp.d16<=-1.5,33875,0.09975615689717177,0.13335577577532418,-0.03359961887815241,0.873,False
16,clk.1500-1600,5949,-0.002274202605071408,0.007949782029607387,-0.010223984634678794,0.881,False
256,vol.atr/sma100<=0.8,49272,0.10877662935897003,0.13294142464742892,-0.024164795288458885,0.901,False
64,dsp.d16<=-1.5,33875,0.012665061402362163,0.03327817938484333,-0.020613117982481166,0.908,False
16,vol.atr/sma100>=1.2,35306,-0.006717456879185996,0.008603297507113777,-0.015320754386299772,0.99,False
