target,h,ic,feat,base,p95,p
mag,4,0.5108785851166489,vol.gk5,0.3317363847912788,0.17135074354158694,0.0
rv,4,0.7041156315249029,vol.gk5,0.6029285903537592,0.23176724531806164,0.0
rng,4,0.25100775299932854,vol.z_cc20_250,0.19107332412715883,0.10582059149258514,0.0
er,4,0.013308786379043923,vol.park_cc10,0.00738249689987531,0.013629200933746515,0.06379426051386936
mfe,4,0.13126700767792854,vol.z_cc20_250,0.07497108034905715,0.053504857150819825,0.0
mae,4,0.11759921908671697,vol.ts_park_5_20,0.01536883623946456,0.05029755559942208,0.0
ttb,4,0.2209287944765603,vol.ts_park_5_20,,0.07198384044538399,0.0
dir,4,0.026956730503203175,vol.semi_ratio5,0.024337151483334037,0.015229413547681573,0.0
mag,16,0.44124889500773806,vol.gk5,0.25253078518548533,0.17583639784713617,0.0
rv,16,0.7216885844602672,vol.gk5,0.6479677689803999,0.27628452285556176,0.0
rng,16,0.4174279179651842,vol.z_cc20_250,0.14805384721204748,0.1489826366568949,0.0
er,16,0.03483432800209565,vol.z_cc60_250,0.013009939139788325,0.024669579880268352,5.59248370190464e-05
mfe,16,0.23768633803495304,vol.z_cc20_250,0.010597917128870043,0.08293814281046501,0.0
mae,16,0.18938526677564763,vol.z_cc20_250,0.05095121014893563,0.07539756107992121,0.0
ttb,16,0.2260566115688377,vol.ts_park_5_20,,0.08155194709788373,0.0
dir,16,0.023231612927115744,ie.amihud_768,0.006488996687371741,0.027281042379298518,0.20567557203119008
mag,48,0.4374549384690926,vol.park120,0.22501754741479132,0.18279251448226166,0.0
rv,48,0.7553347635184492,vol.park120,0.648676447604729,0.3070619932547593,0.0
rng,48,0.6439194774586545,vol.ts_park_20_120,0.3098557160984075,0.1885399099035738,0.0
er,48,0.047247861709760065,vol.pct_cc60_250,0.005596846686578092,0.04070123041131653,0.00760577783459031
mfe,48,0.3897104842801073,vol.ts_park_20_120,0.055792314293855665,0.11356448544803181,0.0
mae,48,0.3209714748209101,vol.ts_park_20_120,0.06970432678289483,0.10163378401553116,0.0
ttb,48,0.2259310405429585,vol.ts_park_5_20,,0.08159746480241759,0.0
dir,48,0.03820077728518359,ie.absar1_192,0.001714262833010905,0.0440474150679964,0.1571248242362265
