trial,fast_type,fast_len,slow_type,slow_len,gate,exit,nR,mR,pfR,tR,nH,mH,pfH,tH
0,linreg,19,linreg,548,state,off,42.0,-0.02295184982775362,0.6889526381376646,-0.9561255023659968,47.0,-0.025186422081188896,0.6529903202797281,-1.1657577803639256
1,ema,51,ema,474,state,cross,43.0,-0.013456469150751086,0.7996072092444677,-0.5804890962707939,40.0,-0.032727805922456124,0.5598189377350201,-1.432301107420252
2,dema,7,ema,429,state,off,49.0,-0.014481252984892235,0.7791411652727945,-0.676495145513356,45.0,-0.04706658383316406,0.44161646756134393,-2.194308229237978
3,hull,22,ema,211,8.5,state,14.0,-0.02515786883952535,0.5542220171154661,-0.7387791859043565,18.0,-0.01620063895549312,0.7916262031160858,-0.42854937906179136
4,tema,40,sma,81,state,state,49.0,-0.02144255350594181,0.6692137098815704,-1.0816425157118374,53.0,-0.025443624533270585,0.5805627520018605,-1.4652916749480647
5,ema,15,wma,353,state,off,44.0,-0.02715312666057917,0.6181876903301496,-1.2165220119780409,43.0,-0.04835245028835576,0.4444391333587649,-2.16080234935041
6,sma,11,wma,34,state,state,48.0,0.013311009192176001,1.3098255829443837,0.6850538702738072,50.0,-0.00458291321273513,0.9070149846157959,-0.2604450264305108
7,linreg,56,hull,307,state,cross,44.0,-0.0019232092931407165,0.9697164349078908,-0.08238184396526987,45.0,0.00019447248082836937,1.003871912756742,0.009648510510246639
8,hull,11,tema,127,state,cross,53.0,0.031858175249052816,2.3142716661345646,2.063954894362468,52.0,0.002286247457748538,1.0496461903231942,0.13489451588295448
9,tema,37,tema,201,state,state,51.0,0.019330651801014644,1.5149010694551643,1.0639293805363428,50.0,-0.004350854109804185,0.9114143108830355,-0.2409602733671086
10,hull,10,sma,154,state,cross,53.0,-0.014231773331745086,0.7382688831372839,-0.816162976099525,54.0,-0.03607499275562497,0.489166782378597,-2.0891011871306278
11,hull,34,tema,214,state,state,47.0,0.011487834857857258,1.274146689876333,0.5975648634581441,48.0,0.003323406690602279,1.076473504487585,0.18611916142055293
12,tema,3,tema,134,state,cross,60.0,0.02059515983436957,1.7229041613621785,1.4681995350395225,56.0,-0.0005042717866962901,0.9891083400932665,-0.03248920458715169
13,dema,13,tema,116,state,cross,58.0,0.02824991034179999,2.001558359569919,1.8299530120188154,53.0,0.004108591840170225,1.0865459355943963,0.23343662791911624
14,dema,27,dema,267,19.5,cross,25.0,-0.004988146101924399,0.9162676464377679,-0.16959414780591417,30.0,-0.003571378860005998,0.9327580959920462,-0.14438533356884597
15,dema,26,tema,103,state,cross,54.0,0.021296230976212624,1.596646136394092,1.2284022143672482,52.0,-0.002198864720331897,0.9571465835362282,-0.12126113843232683
16,hull,2,tema,15,state,state,59.0,0.0064113362094063014,1.2715137270816044,0.5953552019623433,56.0,0.005489791071226769,1.2345397425020916,0.4981777571731402
17,dema,9,tema,75,1.0,cross,16.0,0.063637487301123,3.6112445329204252,1.9597339498923863,13.0,-0.04591058749003812,0.43362726852591343,-1.282009069726064
18,wma,8,wma,40,1.0,cross,20.0,0.01234727328246441,1.4664501922162831,0.5130469365349806,17.0,0.016952164938106945,1.2883616996568121,0.4557431481673466
19,ema,15,ema,161,17.0,cross,17.0,-0.0009159398118704332,0.9804043936586794,-0.028218447082728675,22.0,-0.04314194439129895,0.4402521417950925,-1.5195747395330494
20,dema,6,tema,74,0.5,cross,13.0,0.04214492476742927,1.9140322467375992,0.999165628975384,16.0,0.020596355216337552,1.5289092294056401,0.6677643945649363
21,dema,14,tema,110,state,cross,58.0,0.023263075135128153,1.7018784775189675,1.4549636937060928,53.0,0.004722292719734187,1.099382391533457,0.2659253327257397
22,wma,23,tema,167,11.5,cross,25.0,0.02057181059599813,1.6156580938678162,0.8182110490859158,18.0,-0.009262349823866397,0.7830797135507469,-0.33934603463450613
23,linreg,34,wma,255,state,cross,44.0,-0.03358349326631118,0.5413954003346082,-1.5674472346247093,50.0,-0.03928863774093548,0.4604361231835878,-2.109267708604717
24,dema,17,tema,81,7.5,cross,31.0,0.016655418610988282,1.4305448144637254,0.7339774271249473,22.0,-0.005913925807031839,0.8791680480929318,-0.21874096681793695
25,dema,2,dema,39,14.0,state,63.0,0.00324723653230799,1.1033810574621146,0.26110457820730465,62.0,0.0005082319047025588,1.0160579432993508,0.04250280226952861
26,hull,23,wma,139,state,cross,47.0,-0.016416897069719563,0.7497707025141293,-0.7836673606110963,53.0,-0.019014938330981286,0.6524262708549797,-1.1281662505937933
27,dema,2,sma,7,state,cross,57.0,0.01739232931981036,1.6638191736199204,1.31330683990539,54.0,-0.006016615673138746,0.8355030267251721,-0.47765832929623897
28,ema,7,hull,256,state,cross,54.0,0.018840467933028366,1.5412284584789167,1.125923971374777,52.0,-0.0029407046840189428,0.9426955726111313,-0.16290168226566407
29,tema,13,hull,592,state,cross,50.0,0.005725609325979713,1.1094127089528492,0.28732989762857536,53.0,-0.004161110668590272,0.9220998949848378,-0.23050801872631685
30,hull,21,tema,188,state,off,47.0,0.00806372854783582,1.176945956399933,0.3976733757280984,46.0,-0.004811754866738162,0.9098571504735977,-0.23666259513564908
31,tema,7,tema,130,state,cross,59.0,0.03289356551578246,2.368433467036602,2.280804908759311,55.0,0.004139647846076595,1.097128271065198,0.2665009256061646
32,tema,11,tema,114,4.5,cross,34.0,0.0056071528296689835,1.1319546696987497,0.25698315200255684,26.0,0.023142865983402212,1.561767738081365,0.8890031443583722
33,hull,10,tema,65,state,state,52.0,0.020279547992615606,1.6939533751388778,1.290280949918447,50.0,-0.005723240820787139,0.8864991856728043,-0.33418626060037504
34,tema,15,dema,486,state,off,47.0,-0.029038248043663492,0.5871067649387831,-1.3661681226073794,51.0,-0.01610033061761411,0.7594680358520588,-0.7778861372573199
35,wma,10,tema,117,state,cross,54.0,0.028191271799426584,1.9762746533750855,1.731125794685374,53.0,0.0006484589463656886,1.0128131595107732,0.035883502190452235
36,ema,17,tema,229,state,cross,48.0,0.016524975260881494,1.4128497348825129,0.8591961181164505,50.0,-0.010091988779343643,0.8160674463495704,-0.5428032362397534
37,hull,14,linreg,351,state,cross,50.0,0.013936632648599562,1.2898033378373683,0.6966832773908374,50.0,-0.004678009882722161,0.8979408980852719,-0.2759352831373428
38,hull,6,tema,66,13.0,off,49.0,-0.03754759672765497,0.5134361093619135,-1.7936079405035872,50.0,-0.030980564039819594,0.5704041298522836,-1.534698172920171
39,dema,7,wma,171,state,cross,54.0,-0.010201092712309845,0.8080585376187428,-0.5884117339627745,58.0,-0.029630198738783704,0.5450054451856783,-1.8016359485157374
40,tema,21,tema,98,state,cross,56.0,0.012896609518024179,1.3334881084625496,0.778160509736763,52.0,-0.005799261377553488,0.8932447250318888,-0.31827693585338057
41,tema,16,tema,136,state,state,56.0,0.03333651533626946,2.3275464264376633,2.1597002174100832,53.0,0.006144247112480323,1.1343829377511125,0.3521245847565527
42,hull,6,tema,136,state,cross,60.0,0.028096787938024972,2.1488056429553386,2.019807134142704,55.0,0.0042157659358224775,1.0971452339907455,0.2683824318238806
43,hull,8,tema,185,state,cross,59.0,0.03844821057446132,2.8586431616450474,2.6300849826339876,52.0,0.0039057158453448208,1.082764491226117,0.22044552858100025
44,hull,7,tema,227,state,cross,58.0,0.038393368244506024,2.749669907988245,2.58201667068315,53.0,-0.00854887918824646,0.8429204906427032,-0.48667314503549536
45,tema,13,tema,293,state,state,55.0,0.01834147291379585,1.4815403559135145,1.0541290321546448,55.0,-0.009027650823085159,0.8302071032486937,-0.5307930569553061
46,tema,19,linreg,194,state,state,51.0,0.015606405994282176,1.415821498987369,0.885318330293374,51.0,-0.006393933718572735,0.8851394838977431,-0.34248059018923677
