feed,block,geom,reading,pol,n,keep,pct,pf,ctl,p,mde
US30L,A_research,1.5N / none,OFF (baseline),--,1734,1.0,0.0067,1.047,,,0.0358
US30L,B_holdout,1.5N / none,OFF (baseline),--,733,1.0,0.0009,1.006,,,0.0522
US30L,A_research,1.5N / none,any STATE,ALIGNED,1439,0.5377,-0.0081,0.945,0.0096,0.923,0.038
US30L,B_holdout,1.5N / none,any STATE,ALIGNED,607,0.5377,-0.0284,0.818,-0.0078,0.887,0.0446
US30L,A_research,1.5N / none,any STATE,COUNTER,1428,0.537,0.0289,1.179,0.0093,0.047,0.0465
US30L,B_holdout,1.5N / none,any STATE,COUNTER,602,0.537,-0.0018,0.996,-0.0073,0.397,0.0601
US30L,A_research,1.5N / none,all STATE,ALIGNED,1305,0.463,-0.0062,0.958,0.0102,0.89,0.0404
US30L,B_holdout,1.5N / none,all STATE,ALIGNED,547,0.463,-0.0246,0.842,-0.0066,0.803,0.0465
US30L,A_research,1.5N / none,all STATE,COUNTER,1303,0.4622,0.0341,1.217,0.0101,0.057,0.0498
US30L,B_holdout,1.5N / none,all STATE,COUNTER,544,0.4622,0.0066,1.052,-0.0067,0.207,0.0644
US30L,A_research,1.5N / none,any CROSS<=5b,ALIGNED,160,0.058,-0.0021,0.941,0.007,0.56,0.1281
US30L,B_holdout,1.5N / none,any CROSS<=5b,ALIGNED,71,0.058,-0.0114,0.924,-0.0193,0.413,0.1548
US30L,A_research,1.5N / none,any CROSS<=5b,COUNTER,122,0.0445,0.0435,1.176,0.0072,0.243,0.1685
US30L,B_holdout,1.5N / none,any CROSS<=5b,COUNTER,56,0.0445,0.0409,1.249,-0.02,0.177,0.1877
US30L,A_research,1.5N / none,all CROSS<=5b,ALIGNED,21,0.0053,,,,,
US30L,B_holdout,1.5N / none,all CROSS<=5b,ALIGNED,21,0.0053,,,,,
US30L,A_research,1.5N / none,all CROSS<=5b,COUNTER,17,0.0043,,,,,
US30L,B_holdout,1.5N / none,all CROSS<=5b,COUNTER,17,0.0043,,,,,
US30L,A_research,100pt / 100pt,OFF (baseline),--,1694,1.0,-0.0011,0.999,,,0.0225
US30L,B_holdout,100pt / 100pt,OFF (baseline),--,742,1.0,-0.02,0.851,,,0.0266
US30L,A_research,100pt / 100pt,any STATE,ALIGNED,1434,0.5377,-0.0048,0.969,-0.0058,0.447,0.0242
