feed,block,geom,mode,min_pts,n,keep,pct,pf,ctl,p,null,mde
US30L,A_research,1.5N / none,OFF (baseline),0,1734,1.0,0.0067,1.047,,,--,0.0358
US30L,B_holdout,1.5N / none,OFF (baseline),0,733,1.0,0.0009,1.006,,,--,0.0522
US30L,A_research,1.5N / none,gate ALIGNED,2,999,0.3738,0.0144,1.081,0.0098,0.397,random gate,0.0537
US30L,B_holdout,1.5N / none,gate ALIGNED,2,425,0.3738,-0.0248,0.863,-0.0072,0.833,random gate,0.0552
US30L,A_research,1.5N / none,gate COUNTER,2,1376,0.6262,0.0096,1.063,0.0084,0.457,random gate,0.0423
US30L,B_holdout,1.5N / none,gate COUNTER,2,567,0.6262,0.0213,1.134,-0.004,0.023,random gate,0.0637
US30L,A_research,1.5N / none,level,2,1863,1.0,-0.0022,0.986,0.0416,1.0,random entry,0.0372
US30L,B_holdout,1.5N / none,level,2,751,1.0,0.0036,1.027,0.029,0.99,random entry,0.0496
US30L,A_research,1.5N / none,either,2,1703,1.0,0.0016,1.014,0.0053,0.65,random entry,0.0353
US30L,B_holdout,1.5N / none,either,2,711,1.0,-0.0006,0.993,0.0163,0.94,random entry,0.0537
US30L,A_research,1.5N / none,gate ALIGNED,3,195,0.0735,0.0672,1.391,0.0092,0.077,random gate,0.1245
US30L,B_holdout,1.5N / none,gate ALIGNED,3,99,0.0735,-0.0272,0.873,-0.013,0.627,random gate,0.1356
US30L,A_research,1.5N / none,gate COUNTER,3,1677,0.9265,0.0046,1.035,0.008,0.757,random gate,0.0367
US30L,B_holdout,1.5N / none,gate COUNTER,3,700,0.9265,0.0058,1.033,-0.0003,0.117,random gate,0.0546
US30L,A_research,1.5N / none,level,3,197,1.0,-0.0107,0.897,0.0859,1.0,random entry,0.1059
US30L,B_holdout,1.5N / none,level,3,85,1.0,0.0695,1.614,0.0733,0.533,random entry,0.1259
US30L,A_research,1.5N / none,either,3,1730,1.0,0.0009,1.008,0.0025,0.557,random entry,0.0352
US30L,B_holdout,1.5N / none,either,3,728,1.0,0.0028,1.017,0.0197,0.927,random entry,0.0525
US30L,A_research,100pt / 100pt,OFF (baseline),0,1694,1.0,-0.0011,0.999,,,--,0.0225
US30L,B_holdout,100pt / 100pt,OFF (baseline),0,742,1.0,-0.02,0.851,,,--,0.0266
US30L,A_research,100pt / 100pt,gate ALIGNED,2,990,0.3738,-0.0094,0.965,-0.0066,0.617,random gate,0.0291
US30L,B_holdout,100pt / 100pt,gate ALIGNED,2,423,0.3738,-0.0195,0.864,-0.0174,0.593,random gate,0.0348
US30L,A_research,100pt / 100pt,gate COUNTER,2,1366,0.6262,-0.0054,0.959,-0.0041,0.557,random gate,0.0249
US30L,B_holdout,100pt / 100pt,gate COUNTER,2,577,0.6262,-0.0112,0.913,-0.0185,0.19,random gate,0.0303
US30L,A_research,100pt / 100pt,level,2,1784,1.0,-0.0144,0.916,0.0067,0.997,random entry,0.0216
US30L,B_holdout,100pt / 100pt,level,2,744,1.0,-0.0099,0.917,0.0113,1.0,random entry,0.0261
US30L,A_research,100pt / 100pt,either,2,1680,1.0,-0.0052,0.97,-0.0041,0.56,random entry,0.0226
US30L,B_holdout,100pt / 100pt,either,2,723,1.0,-0.0164,0.874,0.006,0.997,random entry,0.027
US30L,A_research,100pt / 100pt,gate ALIGNED,3,195,0.0735,0.0133,1.128,-0.0077,0.2,random gate,0.0647
US30L,B_holdout,100pt / 100pt,gate ALIGNED,3,99,0.0735,-0.0352,0.767,-0.0178,0.777,random gate,0.0708
US30L,A_research,100pt / 100pt,gate COUNTER,3,1647,0.9265,-0.0029,0.983,-0.0018,0.633,random gate,0.0228
US30L,B_holdout,100pt / 100pt,gate COUNTER,3,708,0.9265,-0.0185,0.86,-0.0197,0.37,random gate,0.0273
US30L,A_research,100pt / 100pt,level,3,194,1.0,-0.0113,0.89,0.0274,0.99,random entry,0.0637
US30L,B_holdout,100pt / 100pt,level,3,84,1.0,0.0018,1.058,0.0372,0.95,random entry,0.0779
US30L,A_research,100pt / 100pt,either,3,1692,1.0,-0.0022,0.99,-0.0017,0.527,random entry,0.0225
US30L,B_holdout,100pt / 100pt,either,3,735,1.0,-0.0196,0.854,0.008,1.0,random entry,0.0267
US30I,C_forward,1.5N / none,OFF (baseline),0,315,1.0,0.008,1.037,,,--,0.0619
US30I,C_forward,1.5N / none,gate ALIGNED,2,196,0.3923,0.03,1.216,0.0038,0.167,random gate,0.0841
US30I,C_forward,1.5N / none,gate COUNTER,2,243,0.6077,-0.0258,0.814,0.0065,0.943,random gate,0.0656
US30I,C_forward,1.5N / none,level,2,333,1.0,0.0121,1.087,0.0206,0.67,random entry,0.0597
US30I,C_forward,1.5N / none,either,2,312,1.0,0.0145,1.087,0.0014,0.18,random entry,0.0624
US30I,C_forward,1.5N / none,gate ALIGNED,3,65,0.0994,0.0252,1.196,0.0022,0.34,random gate,0.1413
US30I,C_forward,1.5N / none,gate COUNTER,3,291,0.9006,0.0021,0.998,0.0067,0.723,random gate,0.0654
US30I,C_forward,1.5N / none,level,3,37,1.0,0.0445,1.295,0.0798,0.757,random entry,0.2232
US30I,C_forward,1.5N / none,either,3,314,1.0,0.012,1.068,0.0014,0.263,random entry,0.0621
US30I,C_forward,100pt / 100pt,OFF (baseline),0,328,1.0,-0.0098,0.902,,,--,0.0316
US30I,C_forward,100pt / 100pt,gate ALIGNED,2,196,0.3923,0.0144,1.17,-0.0091,0.04,random gate,0.041
US30I,C_forward,100pt / 100pt,gate COUNTER,2,248,0.6077,-0.0368,0.683,-0.0096,0.997,random gate,0.0358
US30I,C_forward,100pt / 100pt,level,2,343,1.0,-0.0081,0.926,0.0018,0.85,random entry,0.0303
US30I,C_forward,100pt / 100pt,either,2,319,1.0,-0.0062,0.938,-0.0046,0.567,random entry,0.032
