feed,block,side,geom,read,pair,n,pct,pf,win,bind,stop,tgt,flat,hold,mde
US30L,A_research,long,1.5N / none,off,13/48,1418,0.0145,1.087,0.326,0.0,0.633,0.0,0.364,10.9,0.0394
US30L,B_holdout,long,1.5N / none,off,13/48,600,0.0098,1.053,0.293,0.0,0.678,0.0,0.322,10.1,0.0592
US30L,A_research,long,1.5N / none,cross,13/48,1418,0.0128,1.079,0.327,0.05,0.606,0.0,0.34,10.5,0.0386
US30L,B_holdout,long,1.5N / none,cross,13/48,600,0.0105,1.059,0.29,0.05,0.648,0.0,0.302,9.8,0.0588
US30L,A_research,long,1.5N / none,cross,21/55,1418,0.0148,1.091,0.324,0.036,0.611,0.0,0.349,10.6,0.0378
US30L,B_holdout,long,1.5N / none,cross,21/55,600,0.0084,1.044,0.287,0.048,0.653,0.0,0.298,9.7,0.0589
US30L,A_research,long,1.5N / none,state,13/48,1418,0.0076,1.064,0.389,0.369,0.424,0.0,0.207,6.5,0.0284
US30L,B_holdout,long,1.5N / none,state,13/48,600,-0.0101,0.907,0.347,0.36,0.467,0.0,0.173,5.8,0.0363
US30L,A_research,long,1.5N / none,state,21/55,1418,0.0101,1.083,0.391,0.373,0.419,0.0,0.207,6.6,0.0289
US30L,B_holdout,long,1.5N / none,state,21/55,600,-0.012,0.882,0.352,0.387,0.455,0.0,0.158,5.4,0.0348
US30L,A_research,long,100pt / 100pt,off,13/48,1418,-0.0016,0.989,0.513,0.0,0.357,0.353,0.288,10.2,0.0245
US30L,B_holdout,long,100pt / 100pt,off,13/48,600,-0.0202,0.848,0.468,0.0,0.493,0.437,0.07,4.8,0.0294
US30L,A_research,long,100pt / 100pt,cross,13/48,1418,-0.005,0.971,0.484,0.13,0.316,0.341,0.211,8.9,0.0235
US30L,B_holdout,long,100pt / 100pt,cross,13/48,600,-0.018,0.86,0.46,0.067,0.452,0.43,0.052,4.4,0.0288
US30L,A_research,long,100pt / 100pt,cross,21/55,1418,-0.0022,0.984,0.49,0.098,0.324,0.345,0.231,9.2,0.0237
US30L,B_holdout,long,100pt / 100pt,cross,21/55,600,-0.0187,0.856,0.46,0.043,0.468,0.43,0.058,4.6,0.029
US30L,A_research,long,100pt / 100pt,state,13/48,1418,-0.0031,0.985,0.487,0.446,0.193,0.226,0.135,6.0,0.0195
US30L,B_holdout,long,100pt / 100pt,state,13/48,600,-0.0216,0.789,0.445,0.382,0.312,0.277,0.03,2.8,0.0242
US30L,A_research,long,100pt / 100pt,state,21/55,1418,-0.0011,0.998,0.493,0.425,0.197,0.228,0.15,6.3,0.0196
US30L,B_holdout,long,100pt / 100pt,state,21/55,600,-0.0231,0.773,0.445,0.387,0.322,0.262,0.03,2.9,0.0242
US30L,A_research,both,1.5N / none,off,13/48,1734,0.0067,1.047,0.308,0.0,0.638,0.0,0.359,11.1,0.0358
US30L,B_holdout,both,1.5N / none,off,13/48,733,0.0009,1.006,0.288,0.0,0.683,0.0,0.317,10.1,0.0522
US30L,A_research,both,1.5N / none,cross,13/48,1740,0.0057,1.042,0.307,0.052,0.609,0.0,0.336,10.6,0.035
US30L,B_holdout,both,1.5N / none,cross,13/48,734,0.0005,1.005,0.285,0.045,0.658,0.0,0.297,9.9,0.0517
US30L,A_research,both,1.5N / none,cross,21/55,1738,0.007,1.051,0.308,0.036,0.616,0.0,0.346,10.8,0.0345
US30L,B_holdout,both,1.5N / none,cross,21/55,734,0.0002,1.001,0.283,0.044,0.659,0.0,0.297,9.8,0.0518
US30L,A_research,both,1.5N / none,state,13/48,1789,-0.004,0.981,0.374,0.356,0.435,0.0,0.207,6.6,0.0267
US30L,B_holdout,both,1.5N / none,state,13/48,761,-0.0178,0.856,0.339,0.364,0.463,0.0,0.173,5.9,0.0338
US30L,A_research,both,1.5N / none,state,21/55,1798,-0.0004,1.007,0.378,0.374,0.421,0.0,0.204,6.5,0.0268
US30L,B_holdout,both,1.5N / none,state,21/55,760,-0.0193,0.836,0.345,0.395,0.45,0.0,0.155,5.5,0.0328
US30L,A_research,both,100pt / 100pt,off,13/48,1694,-0.0011,0.999,0.514,0.0,0.363,0.372,0.261,9.8,0.0225
US30L,B_holdout,both,100pt / 100pt,off,13/48,742,-0.02,0.851,0.47,0.0,0.495,0.437,0.069,4.6,0.0266
US30L,A_research,both,100pt / 100pt,cross,13/48,1701,-0.0041,0.985,0.481,0.125,0.322,0.362,0.188,8.6,0.0217
US30L,B_holdout,both,100pt / 100pt,cross,13/48,742,-0.0188,0.857,0.464,0.049,0.465,0.431,0.055,4.3,0.0262
US30L,A_research,both,100pt / 100pt,cross,21/55,1698,-0.0023,0.993,0.489,0.093,0.332,0.365,0.207,8.8,0.0219
US30L,B_holdout,both,100pt / 100pt,cross,21/55,742,-0.0186,0.859,0.464,0.038,0.473,0.431,0.058,4.5,0.0263
US30L,A_research,both,100pt / 100pt,state,13/48,1760,-0.0081,0.957,0.478,0.426,0.202,0.24,0.131,5.8,0.0181
US30L,B_holdout,both,100pt / 100pt,state,13/48,761,-0.0223,0.786,0.444,0.375,0.309,0.279,0.038,2.9,0.0218
US30L,A_research,both,100pt / 100pt,state,21/55,1767,-0.0081,0.953,0.48,0.418,0.204,0.233,0.145,5.9,0.0179
US30L,B_holdout,both,100pt / 100pt,state,21/55,761,-0.0247,0.763,0.443,0.396,0.311,0.258,0.035,2.9,0.0215
US30I,C_forward,long,1.5N / none,off,13/48,268,0.0087,1.043,0.321,0.0,0.642,0.0,0.358,10.8,0.0664
US30I,C_forward,long,1.5N / none,cross,13/48,268,0.0016,0.995,0.31,0.082,0.608,0.0,0.31,9.9,0.0648
US30I,C_forward,long,1.5N / none,cross,21/55,268,0.0091,1.048,0.31,0.056,0.616,0.0,0.328,10.4,0.0659
US30I,C_forward,long,1.5N / none,state,13/48,268,0.0118,1.09,0.388,0.336,0.451,0.0,0.213,6.8,0.0546
US30I,C_forward,long,1.5N / none,state,21/55,268,0.0137,1.111,0.392,0.34,0.448,0.0,0.213,6.8,0.0541
US30I,C_forward,long,100pt / 100pt,off,13/48,268,-0.0015,0.98,0.507,0.0,0.474,0.493,0.03,2.2,0.035
US30I,C_forward,long,100pt / 100pt,cross,13/48,268,-0.0037,0.958,0.5,0.041,0.463,0.478,0.019,1.9,0.0347
US30I,C_forward,long,100pt / 100pt,cross,21/55,268,-0.0026,0.968,0.5,0.019,0.47,0.485,0.026,2.1,0.0348
US30I,C_forward,long,100pt / 100pt,state,13/48,268,0.01,1.114,0.526,0.231,0.336,0.418,0.015,1.5,0.0318
US30I,C_forward,long,100pt / 100pt,state,21/55,268,0.0125,1.148,0.53,0.216,0.343,0.425,0.015,1.4,0.0316
US30I,C_forward,both,1.5N / none,off,13/48,315,0.008,1.037,0.314,0.0,0.654,0.0,0.346,10.4,0.0619
US30I,C_forward,both,1.5N / none,cross,13/48,315,0.0008,0.991,0.302,0.07,0.629,0.0,0.302,9.7,0.0605
US30I,C_forward,both,1.5N / none,cross,21/55,315,0.008,1.04,0.305,0.048,0.635,0.0,0.317,10.1,0.0616
US30I,C_forward,both,1.5N / none,state,13/48,319,-0.0009,0.984,0.361,0.301,0.492,0.0,0.207,6.7,0.0521
US30I,C_forward,both,1.5N / none,state,21/55,319,-0.0023,0.974,0.364,0.323,0.473,0.0,0.204,6.6,0.0497
US30I,C_forward,both,100pt / 100pt,off,13/48,328,-0.0098,0.902,0.488,0.0,0.491,0.47,0.037,2.4,0.0316
US30I,C_forward,both,100pt / 100pt,cross,13/48,328,-0.0114,0.886,0.482,0.037,0.479,0.457,0.027,2.1,0.0313
US30I,C_forward,both,100pt / 100pt,cross,21/55,328,-0.01,0.898,0.482,0.021,0.482,0.463,0.034,2.2,0.0313
US30I,C_forward,both,100pt / 100pt,state,13/48,329,-0.003,0.959,0.498,0.222,0.371,0.392,0.015,1.5,0.0289
US30I,C_forward,both,100pt / 100pt,state,21/55,330,-0.0016,0.974,0.5,0.221,0.373,0.391,0.015,1.4,0.0285
