feed,block,side,geom,read,pair,n,pct,pf,win,bind,stop,tgt,flat,hold,mde,pct_0,n_0,pf_0,stop_0,flat_0,hold_0,d_pct,d_pf,d_n,d_hold
US30L,A_research,long,1.5N / none,cross,13/48,1418,0.0128,1.079,0.327,0.05,0.606,0.0,0.34,10.5,0.0386,0.0145,1418,1.087,0.633,0.364,10.9,-0.0017000000000000001,-0.008000000000000007,0,-0.40000000000000036
US30L,B_holdout,long,1.5N / none,cross,13/48,600,0.0105,1.059,0.29,0.05,0.648,0.0,0.302,9.8,0.0588,0.0098,600,1.053,0.678,0.322,10.1,0.000700000000000001,0.006000000000000005,0,-0.29999999999999893
US30L,A_research,long,1.5N / none,cross,21/55,1418,0.0148,1.091,0.324,0.036,0.611,0.0,0.349,10.6,0.0378,0.0145,1418,1.087,0.633,0.364,10.9,0.0002999999999999999,0.0040000000000000036,0,-0.3000000000000007
US30L,B_holdout,long,1.5N / none,cross,21/55,600,0.0084,1.044,0.287,0.048,0.653,0.0,0.298,9.7,0.0589,0.0098,600,1.053,0.678,0.322,10.1,-0.0014000000000000002,-0.008999999999999897,0,-0.40000000000000036
US30L,A_research,long,1.5N / none,state,13/48,1418,0.0076,1.064,0.389,0.369,0.424,0.0,0.207,6.5,0.0284,0.0145,1418,1.087,0.633,0.364,10.9,-0.006900000000000001,-0.02299999999999991,0,-4.4
US30L,B_holdout,long,1.5N / none,state,13/48,600,-0.0101,0.907,0.347,0.36,0.467,0.0,0.173,5.8,0.0363,0.0098,600,1.053,0.678,0.322,10.1,-0.0199,-0.1459999999999999,0,-4.3
US30L,A_research,long,1.5N / none,state,21/55,1418,0.0101,1.083,0.391,0.373,0.419,0.0,0.207,6.6,0.0289,0.0145,1418,1.087,0.633,0.364,10.9,-0.004400000000000001,-0.0040000000000000036,0,-4.300000000000001
US30L,B_holdout,long,1.5N / none,state,21/55,600,-0.012,0.882,0.352,0.387,0.455,0.0,0.158,5.4,0.0348,0.0098,600,1.053,0.678,0.322,10.1,-0.0218,-0.17099999999999993,0,-4.699999999999999
US30L,A_research,long,100pt / 100pt,cross,13/48,1418,-0.005,0.971,0.484,0.13,0.316,0.341,0.211,8.9,0.0235,-0.0016,1418,0.989,0.357,0.288,10.2,-0.0034000000000000002,-0.018000000000000016,0,-1.299999999999999
US30L,B_holdout,long,100pt / 100pt,cross,13/48,600,-0.018,0.86,0.46,0.067,0.452,0.43,0.052,4.4,0.0288,-0.0202,600,0.848,0.493,0.07,4.8,0.0022000000000000006,0.01200000000000001,0,-0.39999999999999947
US30L,A_research,long,100pt / 100pt,cross,21/55,1418,-0.0022,0.984,0.49,0.098,0.324,0.345,0.231,9.2,0.0237,-0.0016,1418,0.989,0.357,0.288,10.2,-0.0006000000000000001,-0.0050000000000000044,0,-1.0
US30L,B_holdout,long,100pt / 100pt,cross,21/55,600,-0.0187,0.856,0.46,0.043,0.468,0.43,0.058,4.6,0.029,-0.0202,600,0.848,0.493,0.07,4.8,0.0014999999999999979,0.008000000000000007,0,-0.20000000000000018
US30L,A_research,long,100pt / 100pt,state,13/48,1418,-0.0031,0.985,0.487,0.446,0.193,0.226,0.135,6.0,0.0195,-0.0016,1418,0.989,0.357,0.288,10.2,-0.0014999999999999998,-0.0040000000000000036,0,-4.199999999999999
US30L,B_holdout,long,100pt / 100pt,state,13/48,600,-0.0216,0.789,0.445,0.382,0.312,0.277,0.03,2.8,0.0242,-0.0202,600,0.848,0.493,0.07,4.8,-0.001400000000000002,-0.05899999999999994,0,-2.0
US30L,A_research,long,100pt / 100pt,state,21/55,1418,-0.0011,0.998,0.493,0.425,0.197,0.228,0.15,6.3,0.0196,-0.0016,1418,0.989,0.357,0.288,10.2,0.0005,0.009000000000000008,0,-3.8999999999999995
US30L,B_holdout,long,100pt / 100pt,state,21/55,600,-0.0231,0.773,0.445,0.387,0.322,0.262,0.03,2.9,0.0242,-0.0202,600,0.848,0.493,0.07,4.8,-0.0029,-0.07499999999999996,0,-1.9
US30L,A_research,both,1.5N / none,cross,13/48,1740,0.0057,1.042,0.307,0.052,0.609,0.0,0.336,10.6,0.035,0.0067,1734,1.047,0.638,0.359,11.1,-0.001,-0.004999999999999893,6,-0.5
US30L,B_holdout,both,1.5N / none,cross,13/48,734,0.0005,1.005,0.285,0.045,0.658,0.0,0.297,9.9,0.0517,0.0009,733,1.006,0.683,0.317,10.1,-0.00039999999999999996,-0.001000000000000112,1,-0.1999999999999993
US30L,A_research,both,1.5N / none,cross,21/55,1738,0.007,1.051,0.308,0.036,0.616,0.0,0.346,10.8,0.0345,0.0067,1734,1.047,0.638,0.359,11.1,0.0002999999999999999,0.0040000000000000036,4,-0.29999999999999893
US30L,B_holdout,both,1.5N / none,cross,21/55,734,0.0002,1.001,0.283,0.044,0.659,0.0,0.297,9.8,0.0518,0.0009,733,1.006,0.683,0.317,10.1,-0.0007,-0.0050000000000001155,1,-0.29999999999999893
US30L,A_research,both,1.5N / none,state,13/48,1789,-0.004,0.981,0.374,0.356,0.435,0.0,0.207,6.6,0.0267,0.0067,1734,1.047,0.638,0.359,11.1,-0.010700000000000001,-0.06599999999999995,55,-4.5
US30L,B_holdout,both,1.5N / none,state,13/48,761,-0.0178,0.856,0.339,0.364,0.463,0.0,0.173,5.9,0.0338,0.0009,733,1.006,0.683,0.317,10.1,-0.0187,-0.15000000000000002,28,-4.199999999999999
US30L,A_research,both,1.5N / none,state,21/55,1798,-0.0004,1.007,0.378,0.374,0.421,0.0,0.204,6.5,0.0268,0.0067,1734,1.047,0.638,0.359,11.1,-0.0071,-0.040000000000000036,64,-4.6
US30L,B_holdout,both,1.5N / none,state,21/55,760,-0.0193,0.836,0.345,0.395,0.45,0.0,0.155,5.5,0.0328,0.0009,733,1.006,0.683,0.317,10.1,-0.020200000000000003,-0.17000000000000004,27,-4.6
US30L,A_research,both,100pt / 100pt,cross,13/48,1701,-0.0041,0.985,0.481,0.125,0.322,0.362,0.188,8.6,0.0217,-0.0011,1694,0.999,0.363,0.261,9.8,-0.003,-0.014000000000000012,7,-1.200000000000001
US30L,B_holdout,both,100pt / 100pt,cross,13/48,742,-0.0188,0.857,0.464,0.049,0.465,0.431,0.055,4.3,0.0262,-0.02,742,0.851,0.495,0.069,4.6,0.0011999999999999997,0.006000000000000005,0,-0.2999999999999998
US30L,A_research,both,100pt / 100pt,cross,21/55,1698,-0.0023,0.993,0.489,0.093,0.332,0.365,0.207,8.8,0.0219,-0.0011,1694,0.999,0.363,0.261,9.8,-0.0012,-0.006000000000000005,4,-1.0
US30L,B_holdout,both,100pt / 100pt,cross,21/55,742,-0.0186,0.859,0.464,0.038,0.473,0.431,0.058,4.5,0.0263,-0.02,742,0.851,0.495,0.069,4.6,0.001400000000000002,0.008000000000000007,0,-0.09999999999999964
US30L,A_research,both,100pt / 100pt,state,13/48,1760,-0.0081,0.957,0.478,0.426,0.202,0.24,0.131,5.8,0.0181,-0.0011,1694,0.999,0.363,0.261,9.8,-0.006999999999999999,-0.04200000000000004,66,-4.000000000000001
