feed,block,side,geom,atr,n,pct,pf,med_atr,risk,mde
US30L,A_research,long,1.5N / none,7,1418,0.0135,1.071,43.58,65.4,0.0422
US30L,B_holdout,long,1.5N / none,7,600,0.0103,1.053,61.68,92.5,0.0629
US30L,A_research,long,1.5N / 3ATR,7,1418,0.0119,1.061,43.58,65.4,0.0379
US30L,B_holdout,long,1.5N / 3ATR,7,600,-0.0092,0.937,61.68,92.5,0.0465
US30L,A_research,both,1.5N / none,7,1689,0.0064,1.036,43.68,65.5,0.0388
US30L,B_holdout,both,1.5N / none,7,705,-0.0022,0.99,61.59,92.4,0.0571
US30L,A_research,both,1.5N / 3ATR,7,1711,0.0082,1.035,43.79,65.7,0.0343
US30L,B_holdout,both,1.5N / 3ATR,7,710,-0.0161,0.905,61.58,92.4,0.0431
US30L,A_research,long,1.5N / none,10,1418,0.0132,1.076,39.73,59.6,0.0404
US30L,B_holdout,long,1.5N / none,10,600,0.0036,1.012,54.59,81.9,0.0606
US30L,A_research,long,1.5N / 3ATR,10,1418,0.0166,1.098,39.73,59.6,0.0358
US30L,B_holdout,long,1.5N / 3ATR,10,600,-0.0114,0.912,54.59,81.9,0.0419
US30L,A_research,both,1.5N / none,10,1715,0.0052,1.036,39.96,59.9,0.0369
US30L,B_holdout,both,1.5N / none,10,721,0.0004,1.003,54.15,81.2,0.0542
US30L,A_research,both,1.5N / 3ATR,10,1739,0.0133,1.075,40.09,60.1,0.0321
US30L,B_holdout,both,1.5N / 3ATR,10,729,-0.009,0.936,54.28,81.4,0.039
US30L,A_research,long,1.5N / none,14,1418,0.0145,1.087,37.07,55.6,0.0394
US30L,B_holdout,long,1.5N / none,14,600,0.0098,1.053,48.89,73.3,0.0592
US30L,A_research,long,1.5N / 3ATR,14,1418,0.0187,1.119,37.07,55.6,0.0338
US30L,B_holdout,long,1.5N / 3ATR,14,600,-0.0066,0.938,48.89,73.3,0.0383
US30L,A_research,both,1.5N / none,14,1734,0.0067,1.047,37.22,55.8,0.0358
US30L,B_holdout,both,1.5N / none,14,733,0.0009,1.006,48.81,73.2,0.0522
US30L,A_research,both,1.5N / 3ATR,14,1765,0.0188,1.12,37.36,56.0,0.0301
US30L,B_holdout,both,1.5N / 3ATR,14,745,-0.0099,0.926,48.94,73.4,0.0352
US30L,A_research,long,1.5N / none,21,1418,0.0171,1.111,33.99,51.0,0.0383
US30L,B_holdout,long,1.5N / none,21,600,0.0074,1.04,42.68,64.0,0.0574
US30L,A_research,long,1.5N / 3ATR,21,1418,0.0179,1.126,33.99,51.0,0.0315
US30L,B_holdout,long,1.5N / 3ATR,21,600,-0.0172,0.855,42.68,64.0,0.0335
US30L,A_research,both,1.5N / none,21,1744,0.01,1.071,34.07,51.1,0.035
US30L,B_holdout,both,1.5N / none,21,747,-0.0001,0.997,42.68,64.0,0.0498
US30L,A_research,both,1.5N / 3ATR,21,1775,0.019,1.136,34.2,51.3,0.0281
US30L,B_holdout,both,1.5N / 3ATR,21,757,-0.0198,0.848,42.86,64.3,0.0306
US30L,A_research,long,1.5N / none,30,1418,0.0198,1.133,31.86,47.8,0.0376
US30L,B_holdout,long,1.5N / none,30,600,0.0049,1.025,38.02,57.0,0.0555
US30L,A_research,long,1.5N / 3ATR,30,1418,0.0147,1.112,31.86,47.8,0.0294
US30L,B_holdout,long,1.5N / 3ATR,30,600,-0.0167,0.85,38.02,57.0,0.0305
US30L,A_research,both,1.5N / none,30,1759,0.0123,1.092,31.93,47.9,0.0343
US30L,B_holdout,both,1.5N / none,30,755,-0.0016,0.983,38.26,57.4,0.0476
