feed,block,side,tgt,n,pct,pf,win,hit,mde
US30L,A_research,long,0.0,1418,0.0145,1.087,0.326,0.0,0.0394
US30L,B_holdout,long,0.0,600,0.0098,1.053,0.293,0.0,0.0592
US30L,A_research,long,1.5,1418,-0.0039,0.967,0.515,0.502,0.0248
US30L,B_holdout,long,1.5,600,-0.0181,0.842,0.478,0.467,0.0285
US30L,A_research,long,2.25,1418,0.0039,1.029,0.433,0.392,0.0292
US30L,B_holdout,long,2.25,600,-0.0153,0.875,0.398,0.373,0.0336
US30L,A_research,long,3.0,1418,0.0187,1.119,0.386,0.308,0.0338
US30L,B_holdout,long,3.0,600,-0.0066,0.938,0.353,0.303,0.0383
US30L,A_research,long,4.5,1418,0.0109,1.07,0.34,0.156,0.036
US30L,B_holdout,long,4.5,600,-0.0015,0.977,0.308,0.178,0.0457
US30L,A_research,long,6.0,1418,0.0183,1.116,0.332,0.085,0.0385
US30L,B_holdout,long,6.0,600,0.0102,1.053,0.298,0.102,0.052
US30L,A_research,both,0.0,1734,0.0067,1.047,0.308,0.0,0.0358
US30L,B_holdout,both,0.0,733,0.0009,1.006,0.288,0.0,0.0522
US30L,A_research,both,1.5,1812,-0.0036,0.976,0.514,0.502,0.0214
US30L,B_holdout,both,1.5,768,-0.0137,0.885,0.486,0.47,0.0261
US30L,A_research,both,2.25,1783,0.0049,1.038,0.432,0.397,0.0258
US30L,B_holdout,both,2.25,750,-0.019,0.859,0.395,0.364,0.0306
US30L,A_research,both,3.0,1765,0.0188,1.12,0.384,0.315,0.0301
US30L,B_holdout,both,3.0,745,-0.0099,0.926,0.35,0.294,0.0352
US30L,A_research,both,4.5,1744,0.0081,1.051,0.329,0.164,0.0329
US30L,B_holdout,both,4.5,736,-0.0041,0.969,0.304,0.174,0.0424
US30L,A_research,both,6.0,1735,0.008,1.055,0.315,0.095,0.034
US30L,B_holdout,both,6.0,733,0.0072,1.044,0.293,0.104,0.0482
US30I,C_forward,long,0.0,268,0.0087,1.043,0.321,0.0,0.0664
US30I,C_forward,long,1.5,268,-0.0044,0.955,0.493,0.485,0.0401
US30I,C_forward,long,2.25,268,0.0053,1.033,0.425,0.392,0.0485
US30I,C_forward,long,3.0,268,-0.0051,0.951,0.354,0.276,0.0533
US30I,C_forward,long,4.5,268,0.0073,1.036,0.332,0.157,0.0613
US30I,C_forward,long,6.0,268,0.0092,1.048,0.325,0.086,0.0645
US30I,C_forward,both,0.0,315,0.008,1.037,0.314,0.0,0.0619
US30I,C_forward,both,1.5,322,-0.0079,0.921,0.481,0.463,0.036
US30I,C_forward,both,2.25,321,0.0,0.992,0.414,0.374,0.0434
US30I,C_forward,both,3.0,316,-0.0094,0.919,0.345,0.272,0.0485
US30I,C_forward,both,4.5,316,0.0027,1.004,0.323,0.158,0.0559
US30I,C_forward,both,6.0,315,0.0076,1.037,0.317,0.092,0.0599
