feed,block,side,geom,atr,n,pct,pf,med_atr,risk,mde,pct_14,n_14,pf_14,risk_14,d_pct,d_n
US30L,A_research,long,1.5N / none,7,1418,0.0135,1.071,43.58,65.4,0.0422,0.0145,1418,1.087,55.6,-0.0010000000000000009,0
US30L,B_holdout,long,1.5N / none,7,600,0.0103,1.053,61.68,92.5,0.0629,0.0098,600,1.053,73.3,0.0005000000000000004,0
US30L,A_research,long,1.5N / 3ATR,7,1418,0.0119,1.061,43.58,65.4,0.0379,0.0187,1418,1.119,55.6,-0.0068000000000000005,0
US30L,B_holdout,long,1.5N / 3ATR,7,600,-0.0092,0.937,61.68,92.5,0.0465,-0.0066,600,0.938,73.3,-0.0026,0
US30L,A_research,both,1.5N / none,7,1689,0.0064,1.036,43.68,65.5,0.0388,0.0067,1734,1.047,55.8,-0.0002999999999999999,-45
US30L,B_holdout,both,1.5N / none,7,705,-0.0022,0.99,61.59,92.4,0.0571,0.0009,733,1.006,73.2,-0.0031000000000000003,-28
US30L,A_research,both,1.5N / 3ATR,7,1711,0.0082,1.035,43.79,65.7,0.0343,0.0188,1765,1.12,56.0,-0.0106,-54
US30L,B_holdout,both,1.5N / 3ATR,7,710,-0.0161,0.905,61.58,92.4,0.0431,-0.0099,745,0.926,73.4,-0.006199999999999999,-35
US30L,A_research,long,1.5N / none,10,1418,0.0132,1.076,39.73,59.6,0.0404,0.0145,1418,1.087,55.6,-0.0013000000000000008,0
US30L,B_holdout,long,1.5N / none,10,600,0.0036,1.012,54.59,81.9,0.0606,0.0098,600,1.053,73.3,-0.0062,0
US30L,A_research,long,1.5N / 3ATR,10,1418,0.0166,1.098,39.73,59.6,0.0358,0.0187,1418,1.119,55.6,-0.002100000000000001,0
US30L,B_holdout,long,1.5N / 3ATR,10,600,-0.0114,0.912,54.59,81.9,0.0419,-0.0066,600,0.938,73.3,-0.0048000000000000004,0
US30L,A_research,both,1.5N / none,10,1715,0.0052,1.036,39.96,59.9,0.0369,0.0067,1734,1.047,55.8,-0.0015000000000000005,-19
US30L,B_holdout,both,1.5N / none,10,721,0.0004,1.003,54.15,81.2,0.0542,0.0009,733,1.006,73.2,-0.0005,-12
US30L,A_research,both,1.5N / 3ATR,10,1739,0.0133,1.075,40.09,60.1,0.0321,0.0188,1765,1.12,56.0,-0.005500000000000001,-26
US30L,B_holdout,both,1.5N / 3ATR,10,729,-0.009,0.936,54.28,81.4,0.039,-0.0099,745,0.926,73.4,0.0009000000000000015,-16
US30L,A_research,long,1.5N / none,21,1418,0.0171,1.111,33.99,51.0,0.0383,0.0145,1418,1.087,55.6,0.0026,0
US30L,B_holdout,long,1.5N / none,21,600,0.0074,1.04,42.68,64.0,0.0574,0.0098,600,1.053,73.3,-0.0023999999999999994,0
US30L,A_research,long,1.5N / 3ATR,21,1418,0.0179,1.126,33.99,51.0,0.0315,0.0187,1418,1.119,55.6,-0.0008000000000000021,0
US30L,B_holdout,long,1.5N / 3ATR,21,600,-0.0172,0.855,42.68,64.0,0.0335,-0.0066,600,0.938,73.3,-0.0106,0
US30L,A_research,both,1.5N / none,21,1744,0.01,1.071,34.07,51.1,0.035,0.0067,1734,1.047,55.8,0.0033,10
US30L,B_holdout,both,1.5N / none,21,747,-0.0001,0.997,42.68,64.0,0.0498,0.0009,733,1.006,73.2,-0.001,14
US30L,A_research,both,1.5N / 3ATR,21,1775,0.019,1.136,34.2,51.3,0.0281,0.0188,1765,1.12,56.0,0.0001999999999999988,10
US30L,B_holdout,both,1.5N / 3ATR,21,757,-0.0198,0.848,42.86,64.3,0.0306,-0.0099,745,0.926,73.4,-0.0099,12
US30L,A_research,long,1.5N / none,30,1418,0.0198,1.133,31.86,47.8,0.0376,0.0145,1418,1.087,55.6,0.005300000000000001,0
US30L,B_holdout,long,1.5N / none,30,600,0.0049,1.025,38.02,57.0,0.0555,0.0098,600,1.053,73.3,-0.0049,0
US30L,A_research,long,1.5N / 3ATR,30,1418,0.0147,1.112,31.86,47.8,0.0294,0.0187,1418,1.119,55.6,-0.004000000000000002,0
US30L,B_holdout,long,1.5N / 3ATR,30,600,-0.0167,0.85,38.02,57.0,0.0305,-0.0066,600,0.938,73.3,-0.0101,0
US30L,A_research,both,1.5N / none,30,1759,0.0123,1.092,31.93,47.9,0.0343,0.0067,1734,1.047,55.8,0.0056,25
US30L,B_holdout,both,1.5N / none,30,755,-0.0016,0.983,38.26,57.4,0.0476,0.0009,733,1.006,73.2,-0.0025,22
US30L,A_research,both,1.5N / 3ATR,30,1792,0.0166,1.132,32.01,48.0,0.0265,0.0188,1765,1.12,56.0,-0.0022000000000000006,27
US30L,B_holdout,both,1.5N / 3ATR,30,765,-0.018,0.847,38.44,57.7,0.0276,-0.0099,745,0.926,73.4,-0.008099999999999998,20
US30L,A_research,long,1.5N / none,50,1418,0.0194,1.133,30.01,45.0,0.0369,0.0145,1418,1.087,55.6,0.0049,0
US30L,B_holdout,long,1.5N / none,50,600,0.0096,1.068,34.09,51.1,0.0544,0.0098,600,1.053,73.3,-0.00020000000000000052,0
US30L,A_research,long,1.5N / 3ATR,50,1418,0.0106,1.081,30.01,45.0,0.0278,0.0187,1418,1.119,55.6,-0.008100000000000001,0
US30L,B_holdout,long,1.5N / 3ATR,50,600,-0.0108,0.891,34.09,51.1,0.0277,-0.0066,600,0.938,73.3,-0.004200000000000001,0
US30L,A_research,both,1.5N / none,50,1768,0.0108,1.083,30.01,45.0,0.0334,0.0067,1734,1.047,55.8,0.0041,34
US30L,B_holdout,both,1.5N / none,50,766,-0.0025,0.973,34.46,51.7,0.045,0.0009,733,1.006,73.2,-0.0034000000000000002,33
US30L,A_research,both,1.5N / 3ATR,50,1801,0.0117,1.094,30.08,45.1,0.025,0.0188,1765,1.12,56.0,-0.0071,36
US30L,B_holdout,both,1.5N / 3ATR,50,777,-0.0146,0.862,34.71,52.1,0.0246,-0.0099,745,0.926,73.4,-0.004699999999999999,32
US30I,C_forward,long,1.5N / none,7,268,0.0022,0.995,89.1,133.7,0.0718,0.0087,268,1.043,102.7,-0.006499999999999999,0
US30I,C_forward,long,1.5N / 3ATR,7,268,-0.0009,0.98,89.1,133.7,0.064,-0.0051,268,0.951,102.7,0.004200000000000001,0
US30I,C_forward,both,1.5N / none,7,305,0.0033,1.003,87.81,131.7,0.0689,0.008,315,1.037,102.3,-0.0047,-10
US30I,C_forward,both,1.5N / 3ATR,7,307,-0.0049,0.957,87.81,131.7,0.0594,-0.0094,316,0.919,102.1,0.0045000000000000005,-9
US30I,C_forward,long,1.5N / none,10,268,0.0049,1.015,77.69,116.5,0.0683,0.0087,268,1.043,102.7,-0.0037999999999999996,0
US30I,C_forward,long,1.5N / 3ATR,10,268,-0.0033,0.967,77.69,116.5,0.0585,-0.0051,268,0.951,102.7,0.0018000000000000004,0
US30I,C_forward,both,1.5N / none,10,313,0.0048,1.014,77.61,116.4,0.0648,0.008,315,1.037,102.3,-0.0032000000000000006,-2
US30I,C_forward,both,1.5N / 3ATR,10,314,-0.006,0.948,77.56,116.3,0.054,-0.0094,316,0.919,102.1,0.0034000000000000002,-2
US30I,C_forward,long,1.5N / none,21,268,0.0148,1.091,59.26,88.9,0.0645,0.0087,268,1.043,102.7,0.006100000000000001,0
