feed,block,geom,reading,tol,n,keep,pct,pf,ctl,p,mde
US30L,A_research,1.5N / none,OFF (baseline),,1734,1.0,0.0067,1.047,,,0.0358
US30L,B_holdout,1.5N / none,OFF (baseline),,733,1.0,0.0009,1.006,,,0.0522
US30L,A_research,1.5N / none,confluence,0.25,138,0.052,0.1087,1.82,0.0127,0.03,0.1547
US30L,B_holdout,1.5N / none,confluence,0.25,70,0.052,-0.0527,0.694,-0.0195,0.75,0.1146
US30L,A_research,1.5N / none,through,0.25,56,0.023,0.0574,1.484,0.0119,0.25,0.2248
US30L,B_holdout,1.5N / none,through,0.25,36,0.023,-0.0246,0.85,-0.0231,0.51,0.1809
US30L,A_research,1.5N / none,behind,0.25,82,0.029,0.1438,2.029,0.009,0.043,0.2107
US30L,B_holdout,1.5N / none,behind,0.25,34,0.029,-0.0825,0.523,-0.027,0.803,0.1392
US30L,A_research,1.5N / none,confluence,0.5,271,0.1095,0.0328,1.231,0.0106,0.247,0.0871
US30L,B_holdout,1.5N / none,confluence,0.5,127,0.1095,-0.0666,0.608,-0.0166,0.94,0.0794
US30L,A_research,1.5N / none,through,0.5,147,0.053,0.0377,1.231,0.0086,0.3,0.1242
US30L,B_holdout,1.5N / none,through,0.5,65,0.053,-0.0616,0.626,-0.0191,0.79,0.1142
US30L,A_research,1.5N / none,behind,0.5,126,0.0565,0.0589,1.427,0.0095,0.16,0.1404
US30L,B_holdout,1.5N / none,behind,0.5,63,0.0565,-0.0734,0.58,-0.019,0.887,0.1095
US30L,A_research,1.5N / none,confluence,1.0,444,0.214,-0.0088,0.955,0.0094,0.81,0.0686
US30L,B_holdout,1.5N / none,confluence,1.0,215,0.214,-0.0481,0.713,-0.0126,0.92,0.0665
US30L,A_research,1.5N / none,through,1.0,283,0.1037,0.0073,1.055,0.0113,0.55,0.0914
US30L,B_holdout,1.5N / none,through,1.0,132,0.1037,-0.0497,0.702,-0.0162,0.827,0.0878
US30L,A_research,1.5N / none,behind,1.0,203,0.1103,-0.0222,0.872,0.0104,0.847,0.0986
US30L,B_holdout,1.5N / none,behind,1.0,117,0.1103,-0.0202,0.867,-0.0175,0.53,0.0902
US30L,A_research,100pt / 100pt,OFF (baseline),,1694,1.0,-0.0011,0.999,,,0.0225
US30L,B_holdout,100pt / 100pt,OFF (baseline),,742,1.0,-0.02,0.851,,,0.0266
