arm,feed,block,per,ctrl_med,ctrl_p95,p,n
intraday_sharpe,US30L,A_research,0.04559428547570632,0.023304615217065748,0.03938134124790966,0.0075,1674
intraday_sortino,US30L,A_research,0.0419629521238691,0.009689276256347744,0.02440239638276344,0.0,728
intraday_retdd,US30L,A_research,0.03668467501898872,0.011045560508135032,0.023244557446787814,0.0,807
free_sharpe,US30L,A_research,0.06406618662360644,0.03199266412323497,0.049980261472595405,0.01,701
free_sortino,US30L,A_research,0.04215598722023953,0.022817803887481614,0.04296118576635178,0.0575,747
free_retdd,US30L,A_research,0.09352977900931722,0.07487617104069377,0.09640611338966176,0.08,722
DEFAULT (shipped),US30L,A_research,0.006677995054576398,0.003498715190243936,0.01661774243109333,0.3575,1734
USER (their inputs),US30L,A_research,-0.012982301468644408,-0.005705170762167745,0.01855625520741625,0.66,281
RANDOM cell 1,US30L,A_research,-0.037091395983312146,0.015228183328157962,0.055566063786603254,0.985,83
RANDOM cell 2,US30L,A_research,0.006122338445061451,-0.0031459379340413726,0.02375431629625148,0.3125,541
RANDOM cell 3,US30L,A_research,-0.034292123826907175,-0.002670732074849797,0.028470026836734053,0.9375,570
intraday_sharpe,US30L,B_holdout,-0.016943020202603177,0.018649571093029838,0.03660422299682732,1.0,719
intraday_sortino,US30L,B_holdout,-0.0028670297699895458,0.011641767524218142,0.028235996250490208,0.9075,295
intraday_retdd,US30L,B_holdout,0.0022328554354434714,0.009595174880682143,0.025238746951597956,0.755,332
free_sharpe,US30L,B_holdout,-0.002286384965042571,0.014945820143243702,0.036624694756113865,0.9075,305
free_sortino,US30L,B_holdout,-0.0015730009052980286,0.0029707752848793447,0.021891433427944633,0.6225,336
free_retdd,US30L,B_holdout,0.00397973563863865,0.027180119118781272,0.05398800035460931,0.92,321
DEFAULT (shipped),US30L,B_holdout,0.0008701397051811259,0.02269681127554868,0.042334191588795055,0.97,733
USER (their inputs),US30L,B_holdout,-0.04000738963440358,-0.001006293496284534,0.024913128899641118,0.995,135
RANDOM cell 1,US30L,B_holdout,-0.024946897003103867,-0.009359226870025203,0.046137128639241555,0.6925,34
RANDOM cell 2,US30L,B_holdout,-0.045615823580540144,0.0021907451148833585,0.03291930989226997,0.9975,228
RANDOM cell 3,US30L,B_holdout,-0.034967201798211923,-0.020421795682741384,0.007201667495843277,0.8275,245
intraday_sharpe,US30I,C_forward,-0.018056765384426514,-0.007118771944544406,0.017277797283815545,0.7375,318
intraday_sortino,US30I,C_forward,-0.006506827216464783,-0.02184476336407966,0.0056837719884449515,0.175,124
intraday_retdd,US30I,C_forward,-0.025335343439809806,-0.01756581247383853,0.006462841949266369,0.715,141
free_sharpe,US30I,C_forward,-0.03354691621879106,-0.014280167995065885,0.020949197885811177,0.8375,132
free_sortino,US30I,C_forward,-0.041190164838719436,-0.004333560838246412,0.02157440116626049,1.0,148
free_retdd,US30I,C_forward,-0.03254872569382213,-0.01638840726748124,0.02170104463185993,0.74,157
DEFAULT (shipped),US30I,C_forward,0.007985753570930627,-0.0010527473805669817,0.021196083010129808,0.26,315
USER (their inputs),US30I,C_forward,-0.019405278751276563,0.002714157107641839,0.03835610420779752,0.88,59
RANDOM cell 2,US30I,C_forward,-0.03850134006934875,-0.010196308251608242,0.025053914306405255,0.925,105
RANDOM cell 3,US30I,C_forward,-0.020576015483034508,0.00021145522694757433,0.03251471076518206,0.85,110
