arm,feed,block,n,tpy,sharpe,sortino,pf,tot,per,maxdd,retdd,win,dsd,hold_med,hold_mean,x_flatten,x_stop,x_target,x_rollover,x_cross,x_end
intraday_sharpe,US30L,A_research,1674,271.14345898004433,1.1521004589141195,1.7629714502222666,1.260910994541627,76.32483388633239,0.04559428547570632,13.170786110523625,5.795009747014863,0.6057347670250897,0.35906983768883033,360.0,273.9336917562724,0.5967741935483871,0.32437275985663083,0.07287933094384708,0.005973715651135006,,
intraday_sortino,US30L,A_research,728,117.91662971175167,1.2262371178791898,2.3721510389321243,1.4923275074001348,30.549029146176704,0.0419629521238691,3.4941218030619403,8.74297774033127,0.5879120879120879,0.10681036814046499,67.5,131.41483516483515,0.23214285714285715,0.47527472527472525,0.01510989010989011,0.004120879120879121,0.2733516483516483,
intraday_retdd,US30L,A_research,807,130.71252771618626,1.123462828126665,2.2961727418306026,1.4246051290849358,29.604532740323897,0.03668467501898872,2.5755256938958144,11.494559270167182,0.5551425030978935,0.10693305899727851,45.0,128.12267657992564,0.23667905824039653,0.45353159851301117,0.021065675340768277,0.0024783147459727386,0.2862453531598513,
free_sharpe,US30L,A_research,701,113.54334811529934,1.4867489228815522,3.0975979236710236,1.6231078984101253,44.91039682314812,0.06406618662360644,4.192609607841085,10.711800292389729,0.6176890156918687,0.12024864322286215,105.0,330.641940085592,,0.717546362339515,0.09557774607703282,,0.18687589158345222,
free_sortino,US30L,A_research,747,120.9941241685144,0.9690435470605729,4.553240273482761,1.588375515381351,31.490522453518928,0.04215598722023953,3.7015282163634318,8.507438174943,0.35207496653279785,0.05736112156977873,15.0,321.144578313253,,0.8192771084337349,,,0.18072289156626506,
free_retdd,US30L,A_research,722,116.94478935698447,1.2860196782122708,2.915994951542854,1.5155921051964198,67.52850044472703,0.09352977900931722,4.3937990177779795,15.369046278970986,0.46537396121883656,0.19206961903612987,420.0,788.2686980609418,,0.24653739612188366,0.04986149584487535,,0.703601108033241,
DEFAULT (shipped),US30L,A_research,1734,280.8618625277162,0.1888312708500466,0.3534009991448829,1.0393633707413197,11.579643424635474,0.006677995054576398,26.858732759636734,0.43113141369191277,0.3079584775086505,0.2717601353536356,90.0,165.76989619377161,0.35928489042675893,0.6378316032295271,,0.0028835063437139563,,
USER (their inputs),US30L,A_research,281,45.51452328159645,-0.2698957232023547,-0.3697455852667419,0.901223362854608,-3.6480267126890786,-0.012982301468644408,6.374001900516662,-0.5723290908327746,0.48398576512455516,0.08183015041756331,45.0,103.98576512455516,0.19217081850533807,0.33807829181494664,0.2918149466192171,,0.17793594306049823,
RANDOM cell 1,US30L,A_research,83,13.443791574279379,-0.4317515988008301,-0.6807753155205564,0.73142736482887,-3.078585866614908,-0.037091395983312146,4.045490835789605,-0.7609919269571217,0.2891566265060241,0.037506436884105224,45.0,121.26506024096386,0.3132530120481928,0.4939759036144578,,,0.1927710843373494,
RANDOM cell 2,US30L,A_research,541,87.62760532150776,0.10061784716429478,0.26665505306005216,1.0444033189191846,3.312185098778245,0.006122338445061451,8.831889837125317,0.3750256354936969,0.2754158964879852,0.10302037301720714,30.0,97.2920517560074,0.17744916820702403,0.822550831792976,,,,
RANDOM cell 3,US30L,A_research,570,92.32483370288249,-0.746190816908458,-1.2323316110383042,0.7110066942884674,-19.54651058133709,-0.034292123826907175,23.2548123409377,-0.8405361563347243,0.47192982456140353,0.1315527669405618,30.0,81.57894736842105,0.12631578947368421,0.8017543859649123,0.010526315789473684,,0.06140350877192982,
