stop_pts,tgt_pts,n,amb,amb_share,resolved,stop_first,tgt_first,unresolved
50.0,50.0,292,52,0.1780821917808219,1.0,0.5769230769230769,0.4230769230769231,0
50.0,100.0,292,18,0.06164383561643835,1.0,0.8333333333333334,0.16666666666666666,0
50.0,200.0,291,2,0.006872852233676976,1.0,1.0,0.0,0
75.0,50.0,292,22,0.07534246575342465,1.0,0.36363636363636365,0.6363636363636364,0
75.0,100.0,292,9,0.030821917808219176,1.0,0.5555555555555556,0.4444444444444444,0
75.0,200.0,291,1,0.003436426116838488,1.0,1.0,0.0,0
100.0,50.0,292,16,0.0547945205479452,1.0,0.3125,0.6875,0
100.0,100.0,292,6,0.02054794520547945,1.0,0.5,0.5,0
100.0,200.0,291,0,0.0,,,,0
150.0,50.0,292,7,0.023972602739726026,1.0,0.14285714285714285,0.8571428571428571,0
150.0,100.0,292,2,0.00684931506849315,1.0,0.5,0.5,0
150.0,200.0,291,0,0.0,,,,0
