geom,side,be_pts,be_off,feed,block,per_pub,per_fix,delta,n,through
1.5N / no target,long,0.0,0.0,US30L,A_research,0.008453334177563419,0.008429046657649347,-2.4287519914071437e-05,1378,0.000725689404934688
1.5N / no target,long,0.0,0.0,US30L,B_holdout,0.010203639152167116,0.010203639152167116,0.0,585,0.0
1.5N / no target,long,0.0,0.0,US30I,C_forward,-0.0015496953266873404,-0.0015496953266873404,0.0,263,0.0
1.5N / no target,long,25.0,0.0,US30L,A_research,0.0159620040202882,0.005728393219719434,-0.010233610800568766,1378,0.11248185776487664
1.5N / no target,long,25.0,0.0,US30L,B_holdout,-0.000641391414826936,-0.008948195337167966,-0.00830680392234103,585,0.13333333333333333
1.5N / no target,long,25.0,0.0,US30I,C_forward,0.011650272588270817,-0.00452303069960274,-0.01617330328787356,263,0.19771863117870722
1.5N / no target,long,25.0,5.0,US30L,A_research,0.01760955294654253,0.005160440486693303,-0.012449112459849226,1378,0.13642960812772134
1.5N / no target,long,25.0,5.0,US30L,B_holdout,-0.001182167650129921,-0.011602305426302518,-0.010420137776172596,585,0.17435897435897435
1.5N / no target,long,25.0,5.0,US30I,C_forward,0.013884058896129637,-0.004484179497221346,-0.018368238393350982,263,0.23193916349809887
1.5N / no target,long,25.0,10.0,US30L,A_research,0.02118928484341406,0.006068263727916525,-0.015121021115497535,1378,0.16400580551523947
1.5N / no target,long,25.0,10.0,US30L,B_holdout,0.001681086592598959,-0.011282067937938286,-0.012963154530537245,585,0.2
1.5N / no target,long,25.0,10.0,US30I,C_forward,0.01157314425357338,-0.009248369738944913,-0.020821513992518293,263,0.2509505703422053
1.5N / no target,long,25.0,25.0,US30L,A_research,0.02597477233534416,-0.0017520253302298978,-0.027726797665574055,1378,0.3243831640058055
1.5N / no target,long,25.0,25.0,US30L,B_holdout,0.014698852199334153,-0.008919767916525528,-0.023618620115859683,585,0.335042735042735
1.5N / no target,long,25.0,25.0,US30I,C_forward,0.027940753867593086,-0.00143922967295621,-0.029379983540549298,263,0.3041825095057034
1.5N / no target,long,50.0,0.0,US30L,A_research,0.010549931474063506,0.005651935362546944,-0.0048979961115165616,1378,0.04354136429608128
1.5N / no target,long,50.0,0.0,US30L,B_holdout,-0.0025441444799317444,-0.006625692049339569,-0.004081547569407824,585,0.0547008547008547
1.5N / no target,long,50.0,0.0,US30I,C_forward,0.00854483617572907,0.0029294919029208043,-0.005615344272808266,263,0.07224334600760456
1.5N / no target,long,50.0,5.0,US30L,A_research,0.008646675188348623,0.0029313618405749464,-0.005715313347773676,1378,0.05152394775036284
1.5N / no target,long,50.0,5.0,US30L,B_holdout,-0.0023302388722044333,-0.007262428369756124,-0.004932189497551691,585,0.06837606837606838
1.5N / no target,long,50.0,5.0,US30I,C_forward,0.009561160304781345,0.003161296849323808,-0.006399863455457537,263,0.08365019011406843
1.5N / no target,long,50.0,10.0,US30L,A_research,0.010707634043460314,0.004055653238214866,-0.0066519808052454485,1378,0.05805515239477504
1.5N / no target,long,50.0,10.0,US30L,B_holdout,-0.0010363216052751444,-0.006917137584704569,-0.005880815979429424,585,0.07179487179487179
1.5N / no target,long,50.0,10.0,US30I,C_forward,0.009711609579821378,0.002422995732690068,-0.00728861384713131,263,0.09505703422053231
1.5N / no target,long,50.0,25.0,US30L,A_research,0.008671776467945041,-0.001768349103056409,-0.01044012557100145,1378,0.09216255442670537
1.5N / no target,long,50.0,25.0,US30L,B_holdout,0.003215239780702682,-0.006330049530492402,-0.009545289311195084,585,0.12136752136752137
1.5N / no target,long,50.0,25.0,US30I,C_forward,0.02107055938425479,0.010329750115630964,-0.010740809268623827,263,0.14068441064638784
1.5N / no target,long,75.0,0.0,US30L,A_research,0.0022486907279229665,0.00046019076471901475,-0.0017884999632039517,1378,0.018867924528301886
1.5N / no target,long,75.0,0.0,US30L,B_holdout,-0.0024378823318333895,-0.0028627141334374665,-0.00042483180160407703,585,0.018803418803418803
1.5N / no target,long,75.0,0.0,US30I,C_forward,0.0006836324189313401,-0.0025948984429942333,-0.0032785308619255734,263,0.049429657794676805
1.5N / no target,long,75.0,5.0,US30L,A_research,0.0009840321297326724,-0.0011597440243420664,-0.002143776154074739,1378,0.023222060957910014
1.5N / no target,long,75.0,5.0,US30L,B_holdout,-0.0022255290881157915,-0.002902354794753073,-0.0006768257066372815,585,0.020512820512820513
1.5N / no target,long,75.0,5.0,US30I,C_forward,0.0005359479983084573,-0.00323718178176265,-0.003773129780071107,263,0.049429657794676805
1.5N / no target,long,75.0,10.0,US30L,A_research,0.002754379019885608,0.0002283595740148767,-0.002526019445870731,1378,0.023947750362844702
1.5N / no target,long,75.0,10.0,US30L,B_holdout,0.0005273604648900276,-0.00042675710228958034,-0.000954117567179608,585,0.022222222222222223
