feed,side,geom,block,n,pct,pf,win,ctl,p,mde
US30L,long,1.0N/none,A_research,1378,0.0152,1.124,0.243,0.0106,0.33,0.0346
US30L,long,1.0N/none,B_holdout,585,0.0161,1.13,0.221,0.0214,0.66,0.0549
US30L,long,1.5N/none,A_research,1378,0.0085,1.059,0.325,0.0132,0.7,0.0397
US30L,long,1.5N/none,B_holdout,585,0.0102,1.059,0.297,0.0274,0.937,0.0594
US30L,long,1.0N/2.0,A_research,1378,-0.0043,0.975,0.354,0.0037,0.813,0.0234
US30L,long,1.0N/2.0,B_holdout,585,-0.0036,0.958,0.347,0.013,0.973,0.0271
US30L,short,1.0N/none,A_research,1373,0.0069,1.069,0.188,0.0106,0.627,0.0417
US30L,short,1.0N/none,B_holdout,560,-0.0318,0.753,0.177,-0.0084,0.987,0.04
US30L,short,1.5N/none,A_research,1373,0.0099,1.061,0.271,0.0101,0.51,0.0474
US30L,short,1.5N/none,B_holdout,560,-0.0314,0.822,0.266,-0.0085,0.987,0.0489
US30L,short,1.0N/2.0,A_research,1373,-0.0053,0.971,0.331,0.0011,0.767,0.0226
US30L,short,1.0N/2.0,B_holdout,560,-0.0189,0.823,0.316,-0.0071,0.93,0.0265
US30L,both,1.0N/none,A_research,1859,0.0019,1.036,0.224,0.0079,0.777,0.0297
US30L,both,1.0N/none,B_holdout,806,-0.0046,0.96,0.211,0.0153,0.963,0.0426
US30L,both,1.5N/none,A_research,1760,-0.0005,1.016,0.304,0.0031,0.66,0.0355
US30L,both,1.5N/none,B_holdout,761,-0.0086,0.95,0.284,0.0178,0.987,0.0499
US30L,both,1.0N/2.0,A_research,1895,-0.0037,0.99,0.352,0.0028,0.827,0.02
US30L,both,1.0N/2.0,B_holdout,820,-0.0153,0.854,0.332,0.0095,1.0,0.0229
US30I,long,1.0N/none,C_forward,263,-0.0014,0.976,0.236,-0.0065,0.327,0.0544
US30I,long,1.5N/none,C_forward,263,-0.0015,0.977,0.316,-0.0066,0.36,0.0647
US30I,long,1.0N/2.0,C_forward,263,0.0044,1.037,0.357,-0.0078,0.137,0.0387
US30I,short,1.0N/none,C_forward,249,-0.0039,0.977,0.217,0.0056,0.747,0.0625
US30I,short,1.5N/none,C_forward,249,-0.0154,0.911,0.301,0.009,0.913,0.0699
US30I,short,1.0N/2.0,C_forward,249,-0.0136,0.878,0.317,0.0002,0.877,0.0404
US30I,both,1.0N/none,C_forward,337,-0.0005,0.992,0.228,-0.0012,0.46,0.0498
US30I,both,1.5N/none,C_forward,325,-0.0045,0.962,0.305,-0.0015,0.57,0.0586
US30I,both,1.0N/2.0,C_forward,342,-0.0007,0.991,0.342,-0.004,0.38,0.0339
US100L,long,1.0N/none,A_research,1471,0.005,1.057,0.23,0.0153,0.827,0.0405
US100L,long,1.0N/none,B_holdout,529,0.0339,1.208,0.238,0.0227,0.253,0.0782
US100L,long,1.5N/none,A_research,1471,0.0086,1.06,0.308,0.0197,0.83,0.0484
US100L,long,1.5N/none,B_holdout,529,0.0235,1.095,0.312,0.0296,0.63,0.0833
