feed,block,side,geom,read,strict,recency,arm,n,per,keep,mde,p,base,vs_none
US30L,A_research,long,1.5N / none,any,True,30,none,1418,0.014533567355964509,1.0,0.03936988183598201,,0.014533567355964509,0.0
US30L,A_research,long,1.5N / none,any,True,30,m200,882,0.00970690271981625,0.6154608523290387,0.04101615608802494,0.68,0.014533567355964509,-0.004826664636148259
US30L,A_research,long,1.5N / none,any,True,30,or,923,0.010218631116343416,0.6476709613478692,0.040181032336093554,0.6833333333333333,0.014533567355964509,-0.004314936239621092
US30L,A_research,long,1.5N / none,any,True,30,fresh,86,0.018869198803525042,0.06788899900891972,0.12290848142777057,0.49333333333333335,0.014533567355964509,0.004335631447560533
US30L,B_holdout,long,1.5N / none,any,True,30,none,600,0.009765797683072603,1.0,0.05924452750461042,,0.009765797683072603,0.0
US30L,B_holdout,long,1.5N / none,any,True,30,m200,360,-0.009969297309499072,0.6154608523290387,0.05440306655111633,0.8866666666666667,0.009765797683072603,-0.019735094992571676
US30L,B_holdout,long,1.5N / none,any,True,30,or,384,-0.016013464491483085,0.6476709613478692,0.05476415228842721,0.9633333333333334,0.009765797683072603,-0.025779262174555687
US30L,B_holdout,long,1.5N / none,any,True,30,fresh,51,0.01160842199094552,0.06788899900891972,0.2066497574201052,0.44666666666666666,0.009765797683072603,0.0018426243078729174
US30L,A_research,long,1.5N / none,any,True,75,none,1418,0.014533567355964509,1.0,0.03936988183598201,,0.014533567355964509,0.0
US30L,A_research,long,1.5N / none,any,True,75,m200,882,0.00970690271981625,0.6154608523290387,0.04101615608802494,0.68,0.014533567355964509,-0.004826664636148259
US30L,A_research,long,1.5N / none,any,True,75,or,943,0.008152162614939337,0.6625371655104063,0.03952678854408514,0.7466666666666667,0.014533567355964509,-0.006381404741025172
US30L,A_research,long,1.5N / none,any,True,75,fresh,143,0.039720730539476196,0.10852329038652131,0.12558992703350463,0.26,0.014533567355964509,0.025187163183511687
US30L,B_holdout,long,1.5N / none,any,True,75,none,600,0.009765797683072603,1.0,0.05924452750461042,,0.009765797683072603,0.0
US30L,B_holdout,long,1.5N / none,any,True,75,m200,360,-0.009969297309499072,0.6154608523290387,0.05440306655111633,0.8866666666666667,0.009765797683072603,-0.019735094992571676
US30L,B_holdout,long,1.5N / none,any,True,75,or,394,-0.017880113334204466,0.6625371655104063,0.05400695264456003,0.9833333333333333,0.009765797683072603,-0.02764591101727707
