feed,read,strict,recency,n,keep200,refused,rescued,share_of_refused,keep_or,bypass_sig,bypass_all,lift
US30L,any,True,30,4000,0.53775,0.46225,135,0.0730124391563007,0.5715,0.0705,0.06857720349382805,1.0280384210526314
US30L,any,True,75,4000,0.53775,0.46225,197,0.1065440778799351,0.587,0.10725,0.12969341349475616,0.8269502445036377
US30L,any,True,150,4000,0.53775,0.46225,287,0.1552190373174689,0.6095,0.154,0.21956048715595383,0.7014012493541872
US30L,any,False,30,4000,0.53775,0.46225,142,0.07679826933477556,0.57325,0.074,0.06857720349382805,1.0790757894736842
US30L,any,False,75,4000,0.53775,0.46225,213,0.11519740400216333,0.591,0.114,0.12969341349475616,0.8789960640877829
US30L,any,False,150,4000,0.53775,0.46225,330,0.17847485127095727,0.62025,0.1725,0.21956048715595383,0.7856604903480343
US30L,all,True,30,4000,0.463,0.537,143,0.06657355679702048,0.49875,0.0705,0.06857720349382805,1.0280384210526314
US30L,all,True,75,4000,0.463,0.537,221,0.10288640595903166,0.51825,0.10725,0.12969341349475616,0.8269502445036377
US30L,all,True,150,4000,0.463,0.537,335,0.15595903165735567,0.54675,0.154,0.21956048715595383,0.7014012493541872
US30L,all,False,30,4000,0.463,0.537,150,0.06983240223463687,0.5005,0.074,0.06857720349382805,1.0790757894736842
US30L,all,False,75,4000,0.463,0.537,237,0.11033519553072625,0.52225,0.114,0.12969341349475616,0.8789960640877829
US30L,all,False,150,4000,0.463,0.537,380,0.17690875232774675,0.558,0.1725,0.21956048715595383,0.7856604903480343
US30I,any,True,30,956,0.5460251046025104,0.45397489539748953,32,0.07373271889400922,0.5794979079497908,0.07740585774058577,0.07096879661605739,1.0907026951485879
US30I,any,True,75,956,0.5460251046025104,0.45397489539748953,52,0.11981566820276497,0.600418410041841,0.11820083682008369,0.13451989292355476,0.8786866704336072
US30I,any,True,150,956,0.5460251046025104,0.45397489539748953,74,0.17050691244239632,0.6234309623430963,0.1799163179916318,0.22909046324866666,0.7853505355058857
US30I,any,False,30,956,0.5460251046025104,0.45397489539748953,36,0.08294930875576037,0.5836820083682008,0.08368200836820083,0.07096879661605739,1.1791380488092842
US30I,any,False,75,956,0.5460251046025104,0.45397489539748953,59,0.1359447004608295,0.6077405857740585,0.12761506276150628,0.13451989292355476,0.9486705645389386
US30I,any,False,150,956,0.5460251046025104,0.45397489539748953,87,0.20046082949308755,0.6370292887029289,0.1997907949790795,0.22909046324866666,0.8721043737303732
US30I,all,True,30,956,0.46129707112970714,0.5387029288702929,37,0.07184466019417475,0.5,0.07740585774058577,0.07096879661605739,1.0907026951485879
US30I,all,True,75,956,0.46129707112970714,0.5387029288702929,59,0.1145631067961165,0.5230125523012552,0.11820083682008369,0.13451989292355476,0.8786866704336072
US30I,all,True,150,956,0.46129707112970714,0.5387029288702929,88,0.170873786407767,0.553347280334728,0.1799163179916318,0.22909046324866666,0.7853505355058857
US30I,all,False,30,956,0.46129707112970714,0.5387029288702929,41,0.07961165048543689,0.50418410041841,0.08368200836820083,0.07096879661605739,1.1791380488092842
US30I,all,False,75,956,0.46129707112970714,0.5387029288702929,66,0.12815533980582525,0.5303347280334728,0.12761506276150628,0.13451989292355476,0.9486705645389386
US30I,all,False,150,956,0.46129707112970714,0.5387029288702929,101,0.19611650485436893,0.5669456066945606,0.1997907949790795,0.22909046324866666,0.8721043737303732
