,rule (all on),no fresh-cross gate,no breakeven ratchet,no opposite-cross exit,no 10:00 entry cutoff,no 10:30 flatten,long only,short only,market 09:26-10:30
20573,0.0,0.002885164829408426,0.0,0.0,0.0,0.0,0.0,0.0,0.5898016472963692
20574,0.001424807299829625,0.0014231808091083572,-0.05897721494609537,0.001424807299829625,0.001424807299829625,0.001424807299829625,0.0,0.001424807299829625,0.09932397556490469
20577,0.0,-0.0837511625123404,0.0,0.0,0.0,0.0,0.0,0.0,0.11047284605795345
20578,0.0014430703659402873,-0.07696650010294544,-0.03492571737574523,0.0014430703659402873,0.0014430703659402873,0.0014430703659402873,0.0014430703659402873,0.0,0.13729074847338102
20579,-0.05536832278190511,-0.05536832278190511,-0.05536832278190511,-0.05536832278190511,-0.05536832278190511,-0.05536832278190511,-0.05536832278190511,0.0,0.27143027980131207
20580,0.0,0.0028370522708932875,0.0,0.0,0.0,0.0,0.0,0.0,-0.562450601969021
20581,0.0,0.0028521355822283658,0.0,0.0,0.0,0.0,0.0,0.0,-0.14243627256620595
20584,0.0,0.002864617983056839,0.0,0.0,0.0,0.0,0.0,0.0,0.2379917967926964
20585,0.0,-0.04318725772612377,0.0,0.0,0.0,0.0,0.0,0.0,-0.43865166187493565
20586,0.19707861361215995,0.15840058759671757,0.19707861361215995,0.19707861361215995,0.19707861361215995,0.19707861361215995,0.0,0.19707861361215995,0.02930062135440488
20591,0.0,-0.15089578661295433,0.0,0.0,0.0,0.0,0.0,0.0,0.36048531761775415
20592,0.0,-0.07726495645585002,0.0,0.0,0.0,0.0,0.0,0.0,0.21544163513224363
20593,-0.043038882700370935,-0.043038882700370935,-0.043038882700370935,-0.043038882700370935,-0.043038882700370935,-0.043038882700370935,-0.043038882700370935,0.19753520699651872,0.08076216902381754
20594,0.0014219195914484553,0.002846478178928391,0.19568417363440646,0.0014219195914484553,0.0014219195914484553,0.0014219195914484553,0.0014219195914484553,0.0,0.3660154045267272
20595,0.0,-0.07853953749807134,0.0,0.0,-0.04799149194499056,0.0,0.0,0.0,-0.20593109145449473
20598,-0.05889547688515774,-0.05889547688515774,-0.05889547688515774,-0.05889547688515774,-0.05889547688515774,-0.05889547688515774,-0.026247369940573043,-0.0326481069445847,0.05298462074861223
20599,0.0,-0.015317445191893257,0.0,0.0,0.0,0.0,0.0,0.0,-0.42910782741816933
20600,0.193233562243218,0.15084262081767613,0.193233562243218,0.193233562243218,0.193233562243218,0.193233562243218,0.193233562243218,0.0,0.5730571127460982
20601,0.0,0.19327101953380366,0.0,0.0,0.19280175220505535,0.0,0.0,0.0,0.19887675673644906
20602,0.0013963431542801852,0.0027944061478481106,-0.02810386433051246,0.0013963431542801852,0.0013963431542801852,0.0013963431542801852,0.0013963431542801852,0.0,0.22652966593518678
20605,0.0,0.1918434623317492,0.0,0.0,0.0,0.0,0.0,0.0,-0.1127760879359117
20606,0.19178265025525876,0.1493344003366534,0.19178265025525876,0.19178265025525876,0.19178265025525876,0.19178265025525876,0.19178265025525876,0.0,0.30021992511722534
20607,0.0,0.0027780463158126123,0.0,0.0,0.0,0.0,0.0,0.0,-0.2348182972296616
20608,-0.05821821767047003,-0.05821821767047003,-0.05821821767047003,-0.05821821767047003,-0.05821821767047003,-0.05821821767047003,0.0,-0.05821821767047003,0.47097969834242814
20609,0.0,-0.056750752979220775,0.0,0.0,0.0,0.0,0.0,0.0,-0.38941043899027367
20612,0.0,0.13918903774878721,0.0,0.0,0.0,0.0,0.0,0.0,0.10312363552516601
20613,0.19140189991508266,0.19140189991508266,0.19140189991508266,0.19140189991508266,0.19140189991508266,0.19140189991508266,0.19140189991508266,0.0,0.048091850537180354
20614,-0.06623838914184083,-0.06623838914184083,-0.06623838914184083,-0.06623838914184083,-0.06623838914184083,-0.06623838914184083,-0.06623838914184083,0.0,0.06381608323356472
20615,-0.0575634937472595,-0.0575634937472595,-0.0575634937472595,-0.0575634937472595,-0.0575634937472595,-0.0575634937472595,-0.0575634937472595,0.0,0.052382403495883925
20626,0.0,-0.047156852587909776,0.0,0.0,0.0,0.0,0.0,0.0,0.06620458568089951
20627,0.1891639692102777,0.13427594737148046,0.1891639692102777,0.1891639692102777,0.1891639692102777,0.1891639692102777,0.1891639692102777,0.0,0.658153794228489
20628,0.0,-0.054195836186719935,0.0,0.0,0.0,0.0,0.0,0.0,0.5924358532971687
20629,0.0,0.18719394910071804,0.0,0.0,0.0013621076985943432,0.0,0.0,0.0,1.0639113158167055
20630,0.0,0.0013684161835450844,0.0,0.0,0.0,0.0,0.0,0.0,0.45735938078203175
20633,-0.04894141729672533,-0.04894141729672533,-0.04894141729672533,-0.04894141729672533,-0.04894141729672533,-0.04894141729672533,0.0,-0.04894141729672533,0.21902048215164271
20634,0.1868531564816302,0.07874026398927375,0.1868531564816302,0.1868531564816302,0.1868531564816302,0.1868531564816302,0.1868531564816302,0.0,0.20524336545560132
20635,0.0,-0.06361713490176156,0.0,0.0,0.0,0.0,0.0,0.0,0.33699252805563706
20636,-0.05861877025669877,-0.05861877025669877,-0.05861877025669877,-0.05861877025669877,-0.05861877025669877,-0.05861877025669877,-0.05861877025669877,0.0,0.1677817279427749
20637,-0.03359013328871436,-0.0567861117965493,-0.03359013328871436,-0.03359013328871436,-0.03359013328871436,-0.03359013328871436,-0.03359013328871436,0.0,0.09519880083577285
20640,0.18475449264839353,0.14658679879848274,0.18475449264839353,0.18475449264839353,0.18475449264839353,0.18475449264839353,0.18475449264839353,0.0,0.08386434799728082
20641,0.0,-0.05632876134414287,0.0,0.0,0.0,0.0,0.0,0.0,-0.5595823084315718
20642,0.0,-0.055322597531240296,0.0,0.0,0.0,0.0,0.0,0.0,-0.27384834099741084
20643,0.0013548946044661906,-0.049356046118810656,-0.08442190634218054,0.0013548946044661906,0.0013548946044661906,0.0013548946044661906,0.0,0.0013548946044661906,0.008191833694337222
20644,0.0013477012203339642,-0.03495294331404702,0.18547026230821356,0.0013477012203339642,0.0013477012203339642,0.0013477012203339642,0.0,0.0013477012203339642,-0.1626371123847062
20647,0.0,0.1469068039239704,0.0,0.0,0.0,0.0,0.0,0.0,0.11642659616495524
20648,0.0,0.11480316335666547,0.0,0.0,0.0,0.0,0.0,0.0,0.2729378242684116
20649,0.18533200813328882,0.14420245576648416,0.18533200813328882,0.18533200813328882,0.18533200813328882,0.18533200813328882,0.18533200813328882,0.0,0.2834776037503263
20650,0.0,0.06376271513939728,0.0,0.0,0.0,0.0,0.0,0.0,0.032778001981829306
20651,0.18721116484392364,0.37475759078986126,0.18721116484392364,0.18721116484392364,0.18721116484392364,0.18721116484392364,0.18721116484392364,0.0,0.9086877305077611
20654,0.3737354104634115,0.3737354104634115,0.3737354104634115,0.3737354104634115,0.3737354104634115,0.3737354104634115,0.18674851925682845,0.1869868912065831,-0.4601089198431713
20655,0.0013654371321973923,-0.04314016775716052,-0.1125592451313279,0.0013654371321973923,0.0013654371321973923,0.0013654371321973923,0.0,0.0013654371321973923,0.26361414415643075
20656,0.0,0.0013596661732291307,0.0,0.0,0.0,0.0,0.0,0.0,0.23419831599347177
20657,0.18865556602462116,0.19003082872885252,0.18865556602462116,0.18865556602462116,0.18865556602462116,0.18865556602462116,0.18865556602462116,0.0,0.23883545922073957
20658,0.0,-0.09247687277246652,0.0,0.0,0.0,0.0,0.0,0.0,-0.04763732374671812
20661,-0.04654376297620749,-0.04654376297620749,-0.04654376297620749,-0.04654376297620749,-0.04654376297620749,-0.04654376297620749,-0.04654376297620749,0.0,-0.5985723279651338
20662,0.0,-0.05038321208713807,0.0,0.0,0.0,0.0,0.0,0.0,-0.14733963777584344
20663,0.0,0.0013553265287033342,0.0,0.0,0.0,0.0,0.0,0.0,-0.736224658276857
20664,0.0,-0.06251097430041637,0.0,0.0,0.0,0.0,0.0,0.0,-0.018676365540766203
20665,0.0,-0.05141586334369713,0.0,0.0,0.0,0.0,0.0,0.0,-0.6184844369353579
