feed,block,side,label,n,keep,pct,pf,win,tot,ctl_ent,p_ent,ctl_gate,p_gate,mde
US30L,A_research,long,bare breakout,1378,,0.0085,1.059,0.325,11.65,0.0131,0.705,,,0.0397
US30L,A_research,long,+ ema13>48 state,774,0.56,0.0094,1.071,0.323,7.3,0.0105,0.54,0.0088,0.477,0.0455
US30L,A_research,long,+ ema cross<=5,147,0.116,0.016,1.121,0.347,2.36,0.0175,0.527,0.0104,0.432,0.1281
US30L,A_research,long,+ ema cross<=20,377,0.286,0.0021,1.043,0.31,0.79,0.0159,0.755,0.0088,0.675,0.0773
US30L,A_research,short,bare breakout,1373,,0.0099,1.061,0.271,13.65,0.0104,0.527,,,0.0474
US30L,A_research,short,+ ema13>48 state,623,0.454,-0.0129,0.947,0.255,-8.05,0.0063,0.927,-0.001,0.797,0.0774
US30L,A_research,short,+ ema cross<=5,154,0.113,-0.0026,0.903,0.24,-0.41,0.0254,0.843,-0.003,0.495,0.2016
US30L,A_research,short,+ ema cross<=20,379,0.288,0.0414,1.229,0.261,15.69,0.0416,0.505,-0.0013,0.022,0.1129
US30L,A_research,both,bare breakout,1760,,-0.0005,1.016,0.304,-0.81,0.0022,0.615,,,0.0355
US30L,A_research,both,+ ema13>48 state,1388,0.508,-0.0001,1.007,0.293,-0.13,0.0088,0.828,0.0016,0.568,0.043
US30L,A_research,both,+ ema cross<=5,285,0.114,0.0079,1.005,0.298,2.26,0.0216,0.752,0.0009,0.388,0.1262
US30L,A_research,both,+ ema cross<=20,645,0.287,0.0028,1.035,0.276,1.8,0.0233,0.932,0.0006,0.435,0.0731
US30L,B_holdout,long,bare breakout,585,,0.0102,1.059,0.297,5.97,0.0282,0.94,,,0.0594
US30L,B_holdout,long,+ ema13>48 state,326,0.56,-0.0201,0.867,0.276,-6.55,0.0221,1.0,0.0088,0.998,0.0598
US30L,B_holdout,long,+ ema cross<=5,80,0.116,0.0336,1.177,0.325,2.68,0.0417,0.608,0.0104,0.237,0.1682
US30L,B_holdout,long,+ ema cross<=20,184,0.286,0.0393,1.236,0.304,7.23,0.0672,0.812,0.0088,0.058,0.151
US30L,B_holdout,short,bare breakout,560,,-0.0314,0.822,0.266,-17.6,-0.0078,0.97,,,0.0489
US30L,B_holdout,short,+ ema13>48 state,255,0.454,-0.0528,0.716,0.247,-13.47,-0.0332,0.89,-0.001,1.0,0.0723
US30L,B_holdout,short,+ ema cross<=5,65,0.113,-0.0943,0.564,0.246,-6.13,-0.0389,0.945,-0.003,0.995,0.1449
US30L,B_holdout,short,+ ema cross<=20,178,0.288,-0.0792,0.576,0.219,-14.09,-0.0339,0.995,-0.0013,1.0,0.0754
US30L,B_holdout,both,bare breakout,761,,-0.0086,0.95,0.284,-6.53,0.0195,0.99,,,0.0499
