label,n,pct,pf,win,tot,mde,ctl_ent,p_ent,feed,block,keep,ctl_gate,p_gate
all breakouts,1760,-0.0005,1.016,0.304,-0.81,0.0355,0.0022,0.615,US30L,A_research,,,
+ level ON a channel,617,0.0116,1.059,0.303,7.15,0.0708,-0.0052,0.12,US30L,A_research,0.251,0.0011,0.247
+ level NOT on a channel,1514,0.006,1.058,0.308,9.12,0.039,0.0124,0.767,US30L,A_research,0.749,-0.0004,0.152
+ 1 ATR clear ahead,1404,0.0099,1.06,0.307,13.94,0.0424,0.0096,0.49,US30L,A_research,0.689,0.0002,0.09
+ channel in the way,735,0.0081,1.067,0.294,5.99,0.0627,0.0116,0.608,US30L,A_research,0.311,0.0011,0.325
all breakouts,761,-0.0086,0.95,0.284,-6.53,0.0499,0.0195,0.99,US30L,B_holdout,,,
+ level ON a channel,272,-0.05,0.698,0.268,-13.61,0.0611,0.0034,1.0,US30L,B_holdout,0.251,0.0011,0.998
+ level NOT on a channel,639,-0.0011,0.996,0.282,-0.72,0.0565,0.0172,0.945,US30L,B_holdout,0.749,-0.0004,0.54
+ 1 ATR clear ahead,578,-0.0243,0.864,0.273,-14.02,0.0471,0.0005,0.978,US30L,B_holdout,0.689,0.0002,0.998
+ channel in the way,331,0.0271,1.164,0.305,8.97,0.0947,0.0323,0.603,US30L,B_holdout,0.311,0.0011,0.037
all breakouts,325,-0.0045,0.962,0.305,-1.46,0.0586,-0.0027,0.545,US30I,C_forward,,,
+ level ON a channel,128,0.0426,1.316,0.359,5.45,0.1061,0.0063,0.052,US30I,C_forward,0.276,-0.01,0.048
+ level NOT on a channel,271,-0.0191,0.873,0.292,-5.17,0.0607,-0.0063,0.825,US30I,C_forward,0.724,-0.0089,0.738
+ 1 ATR clear ahead,242,-0.0081,0.948,0.322,-1.95,0.0663,0.0055,0.818,US30I,C_forward,0.639,-0.0092,0.477
+ channel in the way,162,0.0138,1.083,0.309,2.24,0.0933,0.0045,0.3,US30I,C_forward,0.361,-0.0087,0.185
