feed,block,side,n,pct,pf,win,be,amb,ctl,p_ent,boot_le0,mde
US30L,A_research,long,1378,0.0031,1.022,0.517,0.511,0.005,0.0072,0.728,0.364,0.0247
US30L,B_holdout,long,585,-0.0164,0.872,0.475,0.511,0.01,0.0117,1.0,0.933,0.0298
US30L,A_research,both,1713,0.0026,1.025,0.517,0.511,0.004,0.0,0.323,0.379,0.0224
US30L,B_holdout,both,756,-0.0172,0.868,0.476,0.511,0.011,0.0093,1.0,0.967,0.0263
US30I,C_forward,long,263,-0.0048,0.954,0.502,0.511,0.015,-0.0054,0.48,0.663,0.0351
US30I,C_forward,both,339,-0.013,0.88,0.481,0.511,0.018,-0.0025,0.892,0.879,0.0309
US100L,A_research,long,1471,0.026,1.073,0.544,0.506,0.0,0.0159,0.18,0.075,0.0509
US100L,B_holdout,long,529,0.0114,1.027,0.529,0.506,0.002,0.0246,0.85,0.295,0.0584
US100L,A_research,both,1710,0.0407,1.107,0.535,0.506,0.0,0.0162,0.025,0.012,0.0483
US100L,B_holdout,both,635,-0.0089,0.956,0.501,0.506,0.0,0.011,0.983,0.69,0.0543
NQ,A_research,long,463,0.036,1.155,0.551,0.509,0.0,0.0304,0.315,0.045,0.0625
NQ,B_holdout,long,211,0.0213,1.103,0.55,0.509,0.0,0.0175,0.432,0.208,0.0797
NQ,A_research,both,536,0.0025,1.009,0.521,0.509,0.0,0.0042,0.552,0.451,0.0592
NQ,B_holdout,both,264,0.0059,1.04,0.527,0.509,0.0,0.0195,0.772,0.408,0.0727
