feed,block,win,side,geom,w_atr,n,pct,pf,win_r,ctl,p,boot,mde
US30L,A_research,09:00-09:15 (the 09:00 bar),long,1.5N / none,1.03,1418,0.0145,1.087,0.326,0.0104,0.338,0.138,0.0394
US30L,B_holdout,09:00-09:15 (the 09:00 bar),long,1.5N / none,1.03,600,0.0098,1.053,0.293,0.0237,0.89,0.331,0.0592
US30L,A_research,09:00-09:15 (the 09:00 bar),long,100pt / 100pt,1.03,1418,-0.0016,0.989,0.513,0.0044,0.825,0.584,0.0245
US30L,B_holdout,09:00-09:15 (the 09:00 bar),long,100pt / 100pt,1.03,600,-0.0202,0.848,0.468,0.01,1.0,0.973,0.0294
US30L,A_research,09:00-09:15 (the 09:00 bar),both,1.5N / none,1.03,1734,0.0067,1.047,0.308,0.0031,0.367,0.302,0.0358
US30L,B_holdout,09:00-09:15 (the 09:00 bar),both,1.5N / none,1.03,733,0.0009,1.006,0.288,0.0223,0.983,0.509,0.0522
US30L,A_research,09:00-09:15 (the 09:00 bar),both,100pt / 100pt,1.03,1694,-0.0011,0.999,0.514,-0.0019,0.448,0.541,0.0225
US30L,B_holdout,09:00-09:15 (the 09:00 bar),both,100pt / 100pt,1.03,742,-0.02,0.851,0.47,0.0088,1.0,0.979,0.0266
US30L,A_research,09:00-09:30 (the half hour),long,1.5N / none,1.55,1378,0.0085,1.059,0.325,0.0128,0.69,0.263,0.0397
US30L,B_holdout,09:00-09:30 (the half hour),long,1.5N / none,1.55,585,0.0102,1.059,0.297,0.0279,0.897,0.312,0.0594
US30L,A_research,09:00-09:30 (the half hour),long,100pt / 100pt,1.55,1378,0.0031,1.022,0.517,0.0069,0.74,0.37,0.0247
US30L,B_holdout,09:00-09:30 (the half hour),long,100pt / 100pt,1.55,585,-0.0164,0.872,0.475,0.0107,1.0,0.941,0.0298
US30L,A_research,09:00-09:30 (the half hour),both,1.5N / none,1.55,1760,-0.0005,1.016,0.304,0.0026,0.595,0.51,0.0355
US30L,B_holdout,09:00-09:30 (the half hour),both,1.5N / none,1.55,761,-0.0086,0.95,0.284,0.0179,0.993,0.698,0.0499
US30L,A_research,09:00-09:30 (the half hour),both,100pt / 100pt,1.55,1713,0.0026,1.025,0.517,0.0009,0.403,0.374,0.0224
US30L,B_holdout,09:00-09:30 (the half hour),both,100pt / 100pt,1.55,756,-0.0172,0.868,0.476,0.0098,1.0,0.968,0.0263
US30I,C_forward,09:00-09:15 (the 09:00 bar),long,1.5N / none,1.13,268,0.0087,1.043,0.321,-0.0061,0.177,0.353,0.0664
US30I,C_forward,09:00-09:15 (the 09:00 bar),long,100pt / 100pt,1.13,268,-0.0015,0.98,0.507,-0.0067,0.315,0.532,0.035
US30I,C_forward,09:00-09:15 (the 09:00 bar),both,1.5N / none,1.13,315,0.008,1.037,0.314,0.0028,0.325,0.362,0.0619
US30I,C_forward,09:00-09:15 (the 09:00 bar),both,100pt / 100pt,1.13,328,-0.0098,0.902,0.488,-0.0051,0.703,0.804,0.0316
US30I,C_forward,09:00-09:30 (the half hour),long,1.5N / none,1.87,263,-0.0015,0.977,0.316,-0.0052,0.4,0.519,0.0647
US30I,C_forward,09:00-09:30 (the half hour),long,100pt / 100pt,1.87,263,-0.0048,0.954,0.502,-0.0048,0.5,0.643,0.0352
US30I,C_forward,09:00-09:30 (the half hour),both,1.5N / none,1.87,325,-0.0045,0.962,0.305,0.0001,0.623,0.588,0.0586
US30I,C_forward,09:00-09:30 (the half hour),both,100pt / 100pt,1.87,339,-0.013,0.88,0.481,-0.0019,0.88,0.878,0.031
US100L,A_research,09:00-09:15 (the 09:00 bar),long,1.5N / none,1.04,1509,0.0069,1.063,0.304,0.0179,0.843,0.331,0.0474
US100L,B_holdout,09:00-09:15 (the 09:00 bar),long,1.5N / none,1.04,544,0.0293,1.128,0.309,0.0276,0.435,0.16,0.0831
