feed,block,side,geom,be,n,pct,pf,win_r,stop,tgt,flat,ctl,exc,p,mde
US30L,A_research,long,1.5N / none,0.0,1418,0.0145,1.087,0.326,0.633,0.0,0.364,0.0099,0.0046,0.287,0.0394
US30L,B_holdout,long,1.5N / none,0.0,600,0.0098,1.053,0.293,0.678,0.0,0.322,0.025,-0.0153,0.93,0.0592
US30L,A_research,long,1.5N / none,25.0,1418,0.015,1.206,0.159,0.829,0.0,0.17,0.0124,0.0026,0.387,0.0249
US30L,B_holdout,long,1.5N / none,25.0,600,-0.0015,0.953,0.115,0.88,0.0,0.12,0.0158,-0.0172,0.963,0.0321
US30L,A_research,long,1.5N / none,50.0,1418,0.0113,1.111,0.221,0.757,0.0,0.24,0.0124,-0.001,0.553,0.0272
US30L,B_holdout,long,1.5N / none,50.0,600,-0.0039,0.95,0.158,0.833,0.0,0.167,0.0165,-0.0204,0.977,0.0356
US30L,A_research,long,1.5N / none,75.0,1418,0.0054,1.038,0.245,0.728,0.0,0.269,0.0104,-0.005,0.697,0.0289
US30L,B_holdout,long,1.5N / none,75.0,600,0.0035,1.017,0.197,0.793,0.0,0.207,0.0172,-0.0136,0.91,0.0413
US30L,A_research,long,1.5N / none,100.0,1418,0.0053,1.036,0.269,0.697,0.0,0.3,0.0102,-0.0049,0.713,0.0303
US30L,B_holdout,long,1.5N / none,100.0,600,0.0059,1.04,0.222,0.763,0.0,0.237,0.0176,-0.0118,0.9,0.0423
US30L,A_research,long,1.5N / none,150.0,1418,0.0157,1.098,0.299,0.664,0.0,0.333,0.0112,0.0046,0.32,0.0345
US30L,B_holdout,long,1.5N / none,150.0,600,0.0015,1.001,0.258,0.722,0.0,0.278,0.0185,-0.0171,0.943,0.0443
US30L,A_research,long,100pt / 100pt,0.0,1418,-0.0016,0.989,0.513,0.357,0.353,0.288,0.005,-0.0066,0.823,0.0245
US30L,B_holdout,long,100pt / 100pt,0.0,600,-0.0202,0.848,0.468,0.493,0.437,0.07,0.0102,-0.0304,1.0,0.0294
US30L,A_research,long,100pt / 100pt,25.0,1418,0.0011,1.029,0.287,0.654,0.215,0.13,0.0055,-0.0044,0.8,0.0184
US30L,B_holdout,long,100pt / 100pt,25.0,600,-0.0079,0.879,0.255,0.733,0.245,0.022,0.009,-0.0169,0.993,0.0213
US30L,A_research,long,100pt / 100pt,50.0,1418,0.0017,1.021,0.406,0.492,0.28,0.226,0.0057,-0.004,0.733,0.0216
US30L,B_holdout,long,100pt / 100pt,50.0,600,-0.0168,0.827,0.335,0.64,0.313,0.047,0.0088,-0.0256,1.0,0.0248
US30L,A_research,long,100pt / 100pt,75.0,1418,-0.0019,0.989,0.463,0.417,0.315,0.267,0.0044,-0.0063,0.823,0.0232
US30L,B_holdout,long,100pt / 100pt,75.0,600,-0.0254,0.796,0.41,0.558,0.382,0.06,0.0094,-0.0348,1.0,0.0279
US30L,A_research,long,100pt / 100pt,100.0,1418,-0.0016,0.989,0.513,0.357,0.353,0.288,0.005,-0.0066,0.823,0.0245
US30L,B_holdout,long,100pt / 100pt,100.0,600,-0.0202,0.848,0.468,0.493,0.437,0.07,0.0102,-0.0304,1.0,0.0294
US30L,A_research,long,100pt / 100pt,150.0,1418,-0.0016,0.989,0.513,0.357,0.353,0.288,0.005,-0.0066,0.823,0.0245
US30L,B_holdout,long,100pt / 100pt,150.0,600,-0.0202,0.848,0.468,0.493,0.437,0.07,0.0102,-0.0304,1.0,0.0294
US30L,A_research,both,1.5N / none,0.0,1734,0.0067,1.047,0.308,0.638,0.0,0.359,0.0044,0.0023,0.377,0.0358
US30L,B_holdout,both,1.5N / none,0.0,733,0.0009,1.006,0.288,0.683,0.0,0.317,0.0225,-0.0216,0.963,0.0522
