feed,block,geom,reading,pol,n,keep,pct,pf,ctl,p,mde
US30L,A_research,1.5N / none,OFF (baseline),--,1734,1.0,0.0067,1.047,,,0.0358
US30L,B_holdout,1.5N / none,OFF (baseline),--,733,1.0,0.0009,1.006,,,0.0522
US30L,A_research,1.5N / none,direction,ALIGNED,1388,0.494,0.0085,1.044,0.0098,0.527,0.0449
US30L,B_holdout,1.5N / none,direction,ALIGNED,590,0.494,-0.0044,0.97,-0.007,0.45,0.0616
US30L,A_research,1.5N / none,direction,COUNTER,1398,0.496,0.0171,1.113,0.01,0.287,0.0421
US30L,B_holdout,1.5N / none,direction,COUNTER,588,0.496,-0.0168,0.897,-0.0063,0.683,0.0451
US30L,A_research,1.5N / none,body>=0.25N,ALIGNED,1136,0.402,0.0067,1.035,0.0098,0.567,0.0503
US30L,B_holdout,1.5N / none,body>=0.25N,ALIGNED,473,0.402,-0.0047,0.967,-0.007,0.443,0.0712
US30L,A_research,1.5N / none,body>=0.25N,COUNTER,1146,0.406,0.0184,1.117,0.0096,0.297,0.0457
US30L,B_holdout,1.5N / none,body>=0.25N,COUNTER,479,0.406,-0.0099,0.951,-0.0076,0.553,0.0518
US30L,A_research,1.5N / none,close pos,ALIGNED,1397,0.496,0.0025,1.015,0.01,0.687,0.0454
US30L,B_holdout,1.5N / none,close pos,ALIGNED,588,0.496,-0.0104,0.937,-0.0061,0.59,0.0614
US30L,A_research,1.5N / none,close pos,COUNTER,1387,0.494,0.0242,1.151,0.0098,0.153,0.0418
US30L,B_holdout,1.5N / none,close pos,COUNTER,591,0.494,-0.0111,0.929,-0.007,0.593,0.0454
US30L,A_research,100pt / 100pt,OFF (baseline),--,1694,1.0,-0.0011,0.999,,,0.0225
US30L,B_holdout,100pt / 100pt,OFF (baseline),--,742,1.0,-0.02,0.851,,,0.0266
US30L,A_research,100pt / 100pt,direction,ALIGNED,1388,0.494,-0.006,0.976,-0.006,0.5,0.0248
US30L,B_holdout,100pt / 100pt,direction,ALIGNED,590,0.494,-0.0206,0.849,-0.0188,0.55,0.0299
US30L,A_research,100pt / 100pt,direction,COUNTER,1398,0.496,-0.0095,0.948,-0.0059,0.66,0.0245
US30L,B_holdout,100pt / 100pt,direction,COUNTER,588,0.496,-0.0142,0.895,-0.019,0.343,0.0296
US30L,A_research,100pt / 100pt,body>=0.25N,ALIGNED,1136,0.402,-0.0107,0.948,-0.006,0.717,0.0273
US30L,B_holdout,100pt / 100pt,body>=0.25N,ALIGNED,473,0.402,-0.0218,0.835,-0.0194,0.607,0.0335
US30L,A_research,100pt / 100pt,body>=0.25N,COUNTER,1146,0.406,-0.0079,0.956,-0.0057,0.597,0.027
US30L,B_holdout,100pt / 100pt,body>=0.25N,COUNTER,479,0.406,-0.0137,0.909,-0.0195,0.35,0.033
US30L,A_research,100pt / 100pt,close pos,ALIGNED,1397,0.496,-0.0085,0.958,-0.0061,0.627,0.0249
US30L,B_holdout,100pt / 100pt,close pos,ALIGNED,588,0.496,-0.0227,0.834,-0.019,0.63,0.0299
US30L,A_research,100pt / 100pt,close pos,COUNTER,1387,0.494,-0.0067,0.967,-0.006,0.54,0.0246
US30L,B_holdout,100pt / 100pt,close pos,COUNTER,591,0.494,-0.0117,0.915,-0.0188,0.24,0.0295
US30I,C_forward,1.5N / none,OFF (baseline),--,315,1.0,0.008,1.037,,,0.0619
US30I,C_forward,1.5N / none,direction,ALIGNED,261,0.499,0.0119,1.075,0.0039,0.37,0.0707
US30I,C_forward,1.5N / none,direction,COUNTER,262,0.499,-0.0077,0.945,0.0039,0.66,0.0666
US30I,C_forward,1.5N / none,body>=0.25N,ALIGNED,213,0.401,-0.0071,0.952,0.0035,0.65,0.0763
US30I,C_forward,1.5N / none,body>=0.25N,COUNTER,213,0.401,-0.0073,0.953,0.0035,0.663,0.0725
US30I,C_forward,1.5N / none,close pos,ALIGNED,261,0.5,0.0055,1.04,0.0036,0.463,0.0706
US30I,C_forward,1.5N / none,close pos,COUNTER,262,0.5,-0.0013,0.981,0.0036,0.58,0.0668
US30I,C_forward,100pt / 100pt,OFF (baseline),--,328,1.0,-0.0098,0.902,,,0.0316
US30I,C_forward,100pt / 100pt,direction,ALIGNED,261,0.499,-0.0084,0.917,-0.0094,0.447,0.0355
US30I,C_forward,100pt / 100pt,direction,COUNTER,262,0.499,-0.0083,0.923,-0.0094,0.443,0.0354
US30I,C_forward,100pt / 100pt,body>=0.25N,ALIGNED,213,0.401,-0.0149,0.863,-0.0086,0.657,0.0393
US30I,C_forward,100pt / 100pt,body>=0.25N,COUNTER,213,0.401,-0.005,0.952,-0.0086,0.387,0.0393
US30I,C_forward,100pt / 100pt,close pos,ALIGNED,261,0.5,-0.0174,0.843,-0.0094,0.747,0.0354
US30I,C_forward,100pt / 100pt,close pos,COUNTER,262,0.5,0.0007,1.004,-0.0094,0.197,0.0354
