tf,set,block,n,keep,sd,mde_uplift
0.5,gated(primary),all,56.0,0.7,0.13828464749322636,0.033896877335163056
0.5,gated(primary),research,28.0,0.7,0.13828464749322636,0.04793742364948477
0.5,gated(primary),all,56.0,0.5,0.13828464749322636,0.05177833540367256
0.5,gated(primary),research,28.0,0.5,0.13828464749322636,0.07322562416497672
0.5,ungated,all,161.0,0.7,0.1353981603287288,0.019573999093219115
0.5,ungated,research,80.5,0.7,0.1353981603287288,0.027681814987509136
0.5,ungated,all,161.0,0.5,0.1353981603287288,0.029899777499224515
0.5,ungated,research,80.5,0.5,0.1353981603287288,0.042284670851341216
1.0,gated(primary),all,28.0,0.7,0.15437921715849667,0.0535167284999238
1.0,gated(primary),research,14.0,0.7,0.15437921715849667,0.07568408325843098
1.0,gated(primary),all,28.0,0.5,0.15437921715849667,0.08174815309910043
1.0,gated(primary),research,14.0,0.5,0.15437921715849667,0.1156093468117
1.0,ungated,all,161.0,0.7,0.14634548361663727,0.021156612147860666
1.0,ungated,research,80.5,0.7,0.14634548361663727,0.029919967833371933
1.0,ungated,all,161.0,0.5,0.14634548361663727,0.03231725887213125
1.0,ungated,research,80.5,0.5,0.14634548361663727,0.04570350579569025
2.0,gated(primary),all,27.0,0.7,0.12371093029555612,0.0436722863607148
2.0,gated(primary),research,13.5,0.7,0.12371093029555612,0.06176193967116442
2.0,gated(primary),all,27.0,0.5,0.12371093029555612,0.06671051933992103
2.0,gated(primary),research,13.5,0.5,0.12371093029555612,0.09434292120346896
2.0,ungated,all,160.0,0.7,0.14866915268955383,0.021559595740912027
2.0,ungated,research,80.0,0.7,0.14866915268955383,0.030489872696079005
2.0,ungated,all,160.0,0.5,0.14866915268955383,0.032932826478458965
2.0,ungated,research,80.0,0.5,0.14866915268955383,0.046574049853116445
3.0,gated(primary),all,13.0,0.7,0.14781308334705245,0.07520053642209407
3.0,gated(primary),research,6.5,0.7,0.14781308334705245,0.10634961850585734
3.0,gated(primary),all,13.0,0.5,0.14781308334705245,0.11487071681850988
3.0,gated(primary),research,6.5,0.5,0.14781308334705245,0.16245172564425586
3.0,ungated,all,161.0,0.7,0.1521337474719689,0.021993399525034023
3.0,ungated,research,80.5,0.7,0.1521337474719689,0.031103363890993104
3.0,ungated,all,161.0,0.5,0.1521337474719689,0.033595472704291404
3.0,ungated,research,80.5,0.5,0.1521337474719689,0.04751117313274403
4.0,gated(primary),all,16.0,0.7,0.13975454247185412,0.0640893223712329
4.0,gated(primary),research,8.0,0.7,0.13975454247185412,0.09063598890069897
4.0,gated(primary),all,16.0,0.5,0.13975454247185412,0.09789805700153381
4.0,gated(primary),research,8.0,0.5,0.13975454247185412,0.13844875994154346
4.0,ungated,all,159.0,0.7,0.15313252660713367,0.022276585517371876
4.0,ungated,research,79.5,0.7,0.15313252660713367,0.031503849362031384
4.0,ungated,all,159.0,0.5,0.15313252660713367,0.03402804645283788
4.0,ungated,research,79.5,0.5,0.15313252660713367,0.04812292479466501
5.0,gated(primary),all,18.0,0.7,0.14418842105368743,0.06234101541690872
5.0,gated(primary),research,9.0,0.7,0.14418842105368743,0.08816350949470253
5.0,gated(primary),all,18.0,0.5,0.14418842105368743,0.09522747401613106
5.0,gated(primary),research,9.0,0.5,0.14418842105368743,0.13467198526414403
5.0,ungated,all,153.0,0.7,0.13374221076078657,0.01983364432083657
5.0,ungated,research,76.5,0.7,0.13374221076078657,0.028049008789811192
5.0,ungated,all,153.0,0.5,0.13374221076078657,0.0302963921356882
5.0,ungated,research,76.5,0.5,0.13374221076078657,0.04284556864926383
15.0,gated(primary),all,10.0,0.7,0.18865758665213,0.1094344382299502
15.0,gated(primary),research,5.0,0.7,0.18865758665213,0.15476366673547629
15.0,gated(primary),all,10.0,0.5,0.18865758665213,0.16716386560790533
15.0,gated(primary),research,5.0,0.5,0.18865758665213,0.2364054058814131
15.0,ungated,all,145.0,0.7,0.1644077752869663,0.02504483009875102
15.0,ungated,research,72.5,0.7,0.1644077752869663,0.03541873839298359
15.0,ungated,all,145.0,0.5,0.1644077752869663,0.038256609898278296
15.0,ungated,research,72.5,0.5,0.1644077752869663,0.05410301656856195
