a,b,jac_sess_gated,jac_event_all,jac_event_gated,same_bar_time,label_corr,n_matched
0.5,1,0.3333333333333333,1.0,0.3125,1.0,0.8130812233457206,161
0.5,2,0.2,0.9937888198757764,0.16901408450704225,0.98125,0.6308252109959891,160
0.5,3,0.12962962962962962,1.0,0.13114754098360656,1.0,0.5964078153303843,161
0.5,4,0.14035087719298245,0.9875776397515528,0.09090909090909091,0.9937106918238994,0.20364300449868292,159
0.5,5,0.15789473684210525,0.9503105590062112,0.12121212121212122,0.9803921568627451,-4.065090102514296e-05,153
0.5,15,0.05263157894736842,0.9006211180124224,0.047619047619047616,0.9793103448275862,-0.05674880037416976,145
1.0,2,0.4666666666666667,0.9937888198757764,0.375,0.98125,0.7039699238667638,160
1.0,3,0.17857142857142858,1.0,0.17142857142857143,1.0,0.6713922173073381,161
1.0,4,0.15625,0.9875776397515528,0.1,0.9937106918238994,0.3068368490375615,159
1.0,5,0.15151515151515152,0.9503105590062112,0.09523809523809523,0.9803921568627451,0.048284273182759,153
1.0,15,0.06666666666666667,0.9006211180124224,0.05555555555555555,0.9793103448275862,-0.06869156841289271,145
2.0,3,0.2608695652173913,0.9937888198757764,0.21212121212121213,0.9875,0.8851225814958532,160
2.0,4,0.17857142857142858,0.99375,0.10256410256410256,0.9937106918238994,0.4563311663265139,159
2.0,5,0.1724137931034483,0.95625,0.125,0.9869281045751634,0.08324738051393216,153
2.0,15,0.12,0.90625,0.08823529411764706,0.9862068965517241,-0.12369348734470856,145
3.0,4,0.375,0.9875776397515528,0.3181818181818182,0.9937106918238994,0.4069715059454441,159
3.0,5,0.2777777777777778,0.9503105590062112,0.2916666666666667,0.9803921568627451,0.10390800665338369,153
3.0,15,0.21428571428571427,0.9006211180124224,0.21052631578947367,0.9793103448275862,-0.09040541156883337,145
4.0,5,0.5882352941176471,0.9622641509433962,0.4782608695652174,0.9803921568627451,0.3403282609390554,153
4.0,15,0.16666666666666666,0.9119496855345912,0.18181818181818182,0.9862068965517241,-0.02447734571359618,145
5.0,15,0.2222222222222222,0.9477124183006536,0.21739130434782608,0.993103448275862,0.26116081308212424,145
