feature,set,n,finite,share_pos,modal_share,median,kind,flag
rng.width,gated,168,1.0,1.0,0.011904761904761904,1.163223779276091,mag,False
rng.width,ungated,1100,1.0,1.0,0.0018181818181818182,1.0870361713398962,mag,False
rng.width_pct,gated,168,1.0,1.0,0.011904761904761904,0.06747534428311128,mag,False
rng.width_pct,ungated,1100,1.0,1.0,0.005454545454545455,0.07393868358512617,mag,False
rng.brk,gated,168,1.0,0.8154761904761905,0.005952380952380952,0.8842794538299896,dir,False
rng.brk,ungated,1100,1.0,0.66,0.0036363636363636364,0.4832111103628566,dir,False
rng.brk_pct,gated,168,1.0,0.8154761904761905,0.017857142857142856,0.03988583186031816,dir,False
rng.brk_pct,ungated,1100,1.0,0.66,0.0036363636363636364,0.026700811405074115,dir,False
rng.ext,gated,168,1.0,1.0,0.005952380952380952,1.3524452993237075,mag,False
rng.ext,ungated,1100,1.0,0.9963636363636363,0.0036363636363636364,1.2358346770926878,mag,False
rng.mins,gated,168,1.0,1.0,0.13095238095238096,27.0,mag,False
rng.mins,ungated,1100,1.0,1.0,0.18545454545454546,27.0,mag,False
mom.gap,gated,168,1.0,0.9702380952380952,0.005952380952380952,0.19536427990679095,dir,True
mom.gap,ungated,1100,1.0,0.6018181818181818,0.0009090909090909091,0.21050344982904856,dir,False
mom.age,gated,168,1.0,0.5,0.5,0.25,mag,False
mom.age,ungated,1100,1.0,0.9236363636363636,0.10727272727272727,104.0,mag,False
mom.age_opp,gated,168,1.0,0.9761904761904762,0.041666666666666664,27.5,mag,False
mom.age_opp,ungated,1100,1.0,0.9918181818181818,0.10818181818181818,118.0,mag,False
mom.slope,gated,168,1.0,0.9285714285714286,0.005952380952380952,0.4801653913930228,dir,False
mom.slope,ungated,1100,1.0,0.7390909090909091,0.0009090909090909091,0.198168827204157,dir,False
mom.gate,gated,168,1.0,1.0,1.0,1.0,dir,True
mom.gate,ungated,1100,1.0,0.15272727272727274,0.8472727272727273,0.0,dir,False
mom.ret30,gated,168,1.0,0.9226190476190477,0.017857142857142856,0.0959556434290687,dir,False
mom.ret30,ungated,1100,1.0,0.7927272727272727,0.0036363636363636364,0.074142902982266,dir,False
mom.side,gated,168,1.0,0.5476190476190477,0.5476190476190477,1.0,mag,False
mom.side,ungated,1100,1.0,0.4909090909090909,0.509090909090909,-1.0,mag,False
vol.park30,gated,168,1.0,1.0,0.017857142857142856,0.020211651747661978,mag,False
vol.park30,ungated,1100,1.0,1.0,0.005454545454545455,0.02043742482357464,mag,False
vol.rv30,gated,168,1.0,1.0,0.017857142857142856,0.16803154563768935,mag,False
vol.rv30,ungated,1100,1.0,1.0,0.005454545454545455,0.17670410622370564,mag,False
vol.atr_tod,gated,168,0.9345238095238095,1.0,0.012738853503184714,0.8510698570324721,mag,False
vol.atr_tod,ungated,1100,0.9636363636363636,1.0,0.0018867924528301887,0.8487874018325827,mag,False
vol.rng_tod,gated,168,0.9345238095238095,1.0,0.01910828025477707,0.6610427097650988,mag,False
vol.rng_tod,ungated,1100,0.9636363636363636,1.0,0.005660377358490566,0.6546315933887751,mag,False
vol.atr_pct,gated,168,1.0,1.0,0.011904761904761904,0.06019503662533822,mag,False
vol.atr_pct,ungated,1100,1.0,1.0,0.0018181818181818182,0.07116797530321131,mag,False
pre.gap,gated,168,1.0,0.43452380952380953,0.041666666666666664,-0.06887588110846554,dir,False
pre.gap,ungated,1100,1.0,0.5163636363636364,0.006363636363636364,0.015740983071799164,dir,False
pre.h8dir,gated,168,1.0,0.5119047619047619,0.041666666666666664,0.0019836787468974215,dir,False
pre.h8dir,ungated,1100,1.0,0.49727272727272726,0.006363636363636364,-0.0019582865384393244,dir,False
pre.h8rng,gated,168,1.0,1.0,0.05357142857142857,0.20374154040137085,mag,False
pre.h8rng,ungated,1100,1.0,1.0,0.012727272727272728,0.23874371149063933,mag,False
pre.h8act,gated,168,1.0,1.0,0.9880952380952381,1.0,mag,True
pre.h8act,ungated,1100,1.0,1.0,0.9745454545454545,1.0,mag,True
vlm.bar_tod,gated,168,0.9345238095238095,1.0,0.012738853503184714,1.0470264417746122,mag,False
vlm.bar_tod,ungated,1100,0.9436363636363636,1.0,0.0019267822736030828,1.070814074525376,mag,False
vlm.v10_tod,gated,168,0.9345238095238095,1.0,0.01910828025477707,1.0172946179473983,mag,False
vlm.v10_tod,ungated,1100,0.9436363636363636,1.0,0.005780346820809248,1.0673118350080104,mag,False
flow.cpos,gated,168,1.0,0.7797619047619048,0.14285714285714285,0.3051639347348859,dir,False
flow.cpos,ungated,1100,1.0,0.6190909090909091,0.09,0.1607142857142857,dir,False
flow.cvd10,gated,168,1.0,0.8333333333333334,0.017857142857142856,0.191072623770916,dir,False
flow.cvd10,ungated,1100,1.0,0.6727272727272727,0.0036363636363636364,0.10121457489878542,dir,False
flow.cvd30,gated,168,1.0,0.6845238095238095,0.017857142857142856,0.054991308811512866,dir,False
flow.cvd30,ungated,1100,1.0,0.6690909090909091,0.0036363636363636364,0.04492650189066687,dir,False
flow.cvd_bar,gated,168,1.0,0.75,0.39880952380952384,0.49084083455446237,dir,False
flow.cvd_bar,ungated,1100,1.0,0.6272727272727273,0.19363636363636363,0.12488808188466524,dir,False
flow.up10,gated,168,1.0,0.6964285714285714,0.20238095238095238,0.050000000000000044,dir,False
flow.up10,ungated,1100,1.0,0.5554545454545454,0.1890909090909091,0.04999999999999999,dir,False
tf.min,gated,168,1.0,1.0,0.3333333333333333,1.5,mag,False
tf.min,ungated,1100,1.0,1.0,0.14636363636363636,3.0,mag,False
