,rng.width,rng.width_pct,rng.brk,rng.brk_pct,rng.ext,rng.mins,mom.gap,mom.age,mom.age_opp,mom.slope,mom.gate,mom.ret30,mom.side,vol.park30,vol.rv30,vol.atr_tod,vol.rng_tod,vol.atr_pct,pre.gap,pre.h8dir,pre.h8rng,pre.h8act,vlm.bar_tod,vlm.v10_tod,flow.cpos,flow.cvd10,flow.cvd30,flow.cvd_bar,flow.up10,tf.min
rng.width,1.0,0.2913374889615024,0.12399400454592391,-0.03380757474597652,0.04389382471362686,-0.7031190876211788,0.28392864450074257,-0.3465931266780303,-0.3245594661867516,0.23574867007830488,0.028340508342146284,-0.010973401328867014,0.01874647906105948,-0.6084121263419342,-0.6215857470115606,0.04433606144051992,0.23498040190699768,-0.7180251964760613,0.0957848282011068,0.03781159211282712,0.07140219168352574,0.13596008484821712,-0.0771735834501256,-0.0474729910734122,-0.000317461636368457,0.02676552017240236,0.07531783663925645,0.03387494773464525,0.005093185857196211,-0.6484600422323612
rng.width_pct,0.2913374889615024,1.0,-0.13368473960890306,-0.04178926026616324,-0.11297720532028947,0.2109108729145364,0.036949760377417505,0.19094069265124755,0.2103926949645491,-0.023606351080878104,-0.12200117851523809,0.14088142982176122,-0.022695084919909275,0.4361678331195194,0.372316667672044,0.26325624941016373,0.1942319692356987,0.4093633685773543,0.04178798489754706,0.03319008168465391,0.35357944735681457,0.1846283487418775,0.28715127241531624,0.43753350091811727,-0.029050877507703677,-0.04437847997173878,-0.02456769293279455,-0.05409016970449973,-0.01688597765648577,0.250228578585703
rng.brk,0.12399400454592391,-0.13368473960890306,1.0,0.9388118868103152,0.821477881979222,-0.28753818854655716,0.233516325975543,-0.26209563054326973,-0.09831871424993252,0.6593832765613097,0.1425500872535834,0.8223339593435991,-0.0298649331161913,-0.18329528707029374,-0.11888870102731942,0.1567396246017671,0.10595709004740012,-0.19991744017340785,-0.06313451219180286,-0.07912654637886966,-0.010504466126527931,0.012837499061758281,0.03392916683609673,0.015173456385545573,0.5633038053242967,0.4440667293238515,0.5367890835075658,0.38069786522670956,0.3630200239218315,-0.20876035488688444
rng.brk_pct,-0.03380757474597652,-0.04178926026616324,0.9388118868103152,1.0,0.7579850302868772,-0.09886487042858949,0.13173075254725947,-0.1508395808040607,0.0013298484883734138,0.6070453267191241,0.12354111494034535,0.9093943341698272,-0.06558264104744277,0.005186347454600951,0.0649148333179383,0.16938592386488246,0.0666942557248516,0.011555181616442024,-0.08645827676348249,-0.08253470438122283,0.03026188589706585,0.020324122364122517,0.10463176127425289,0.08159521643741666,0.5785092584031087,0.4427881113938597,0.5136339021490394,0.38143729417245054,0.3688243024721168,-0.03760295005388883
rng.ext,0.04389382471362686,-0.11297720532028947,0.821477881979222,0.7579850302868772,1.0,-0.25813698088381365,0.23778869474171616,-0.13639435233906022,0.0354197086149792,0.44984128048132693,0.05630694622555895,0.6418685647784208,-0.05921445990823052,-0.14218009651743757,-0.09067048632470662,0.04305043381043487,0.003096061500688191,-0.10865973106873351,-0.009885890512437061,-0.09911888029320594,-0.018118958564833518,0.0044459180213985905,0.00035672369312099385,-0.0035483009195269644,0.1315807788631785,0.23155700539722396,0.467012873841508,0.08632679053893562,0.2085288866416961,-0.02916470433713763
rng.mins,-0.7031190876211788,0.2109108729145364,-0.28753818854655716,-0.09886487042858949,-0.25813698088381365,1.0,-0.2958611273184638,0.39897605070723846,0.3687661479215092,-0.21454792810182677,-0.003420562160058802,0.009100205810322556,-0.040665265434932325,0.7812840545050839,0.7243348196404357,-0.19716429789460713,-0.24919751331564882,0.8297002324678454,-0.08645953060958371,-0.032416771525673474,-0.038683079797591655,0.031723109774860286,0.04872206084941528,0.0784468074636574,-0.009803633652655321,-0.03285658218729302,-0.11775400500060304,-0.012257836727888763,0.012463215654840546,0.726523921326611
mom.gap,0.28392864450074257,0.036949760377417505,0.233516325975543,0.13173075254725947,0.23778869474171616,-0.2958611273184638,1.0,-0.2919026161365928,0.08956500673122084,0.3084104968080731,0.04502168022876725,0.1263311309827361,0.11839455672630157,-0.20558597370021195,-0.18974739507025837,0.1531991418729326,0.265551510070999,-0.24676024701502328,0.4653139601261743,0.5661108252672061,0.02718491552037035,0.022008476767671408,0.033547427069454516,0.07578356359519527,-0.05152029555091092,0.09721002974069483,0.22439261538566782,-0.08984612220546719,0.14604894008843577,-0.17943922608299834
mom.age,-0.3465931266780303,0.19094069265124755,-0.26209563054326973,-0.1508395808040607,-0.13639435233906022,0.39897605070723846,-0.2919026161365928,1.0,0.6958402897045335,-0.35380088015577443,-0.6224648283533024,-0.10009081613779072,-0.022250128326013877,0.3042347125900517,0.2977117882346672,-0.0977428285167589,-0.04695953116476368,0.4684454447360756,0.026172475726586937,-0.12775646947528432,0.14061621059417928,-0.0761749676372834,0.06950823749167578,0.09695906274487259,-0.1572247191583237,-0.16399287642274388,-0.12415791056884734,-0.19721487422121514,-0.1283988783547699,0.5918846736202538
mom.age_opp,-0.3245594661867516,0.2103926949645491,-0.09831871424993252,0.0013298484883734138,0.0354197086149792,0.3687661479215092,0.08956500673122084,0.6958402897045335,1.0,-0.18620352922780212,-0.36187456028056286,0.04515108602410783,0.011228763203173045,0.28174393914377355,0.2836543041095198,-0.07213841777047823,0.013431236145162978,0.4660726577318422,0.015951588267521147,0.09825907034298054,0.12051335693475405,-0.0656067818488129,0.07757195992409707,0.09744992830957964,-0.1381271992422105,-0.11211927273351503,0.02685035022007795,-0.2506716716986724,-0.05450816098095225,0.640428727816331
mom.slope,0.23574867007830488,-0.023606351080878104,0.6593832765613097,0.6070453267191241,0.44984128048132693,-0.21454792810182677,0.3084104968080731,-0.35380088015577443,-0.18620352922780212,1.0,0.31383859610062,0.5830142216277644,0.047348659911631716,-0.1439680887206424,-0.11931747626796693,0.1852931881292875,0.14493764027916578,-0.24404704478755015,-0.015663870969601753,0.07316921396120854,0.0034046389348201156,0.07748288226039281,0.03318533918669491,0.050507047473429545,0.4066678737847726,0.5572649717982815,0.3726445902301659,0.350173065479173,0.4778563881677424,-0.34126430235213473
