arm,family,k,ic
ALL,-,29,0.0855436933315954
keep-one,flow,5,-0.0044810933231447655
drop-one,flow,24,0.0750302417129252
keep-one,mom,7,0.0043567422659850944
drop-one,mom,22,0.07031463515618662
keep-one,pre,3,-0.07450387424609886
drop-one,pre,26,0.15067970671067188
keep-one,rng,6,0.1717088828651669
drop-one,rng,23,-0.02442957019769059
keep-one,tf,1,-0.08039465959480563
drop-one,tf,28,0.08506330129297716
keep-one,vlm,2,-0.14555924762667327
drop-one,vlm,27,0.0939743096576759
keep-one,vol,5,0.05179133161335333
drop-one,vol,24,0.07810502204374233
