set,model,n,ic,twin_ic,twin_sd,twin_beats,twin_wins
pooled,ridge,547,0.009273392011046528,-0.02511521398736315,0.06438256158427222,0.2,False
pooled,rf,547,0.07717462906846055,-0.04835565258567552,0.04665617765403588,0.0,False
pooled,lgbm,547,0.03744268078714716,-0.01845753866619232,0.046133549543260835,0.2,False
pooled,xgb_d3,547,0.05447694842269325,-0.020971341410895804,0.054817365340079374,0.2,False
pooled,mlp_2x32,547,0.021806220541747176,-0.02825620219529752,0.05611962935037615,0.0,False
pooled,mlp_2x64,547,0.0644868389117496,-0.008620067636914709,0.04962883340007832,0.2,False
pooled,mlp_4x128,547,0.028607155267954733,-0.03549732765444957,0.043035524216681637,0.2,False
tf0.5,ridge,80,0.28659165494608535,-0.020632911392405067,0.11113281076124043,0.0,False
tf0.5,rf,80,0.2338959212376934,-0.06321143928738868,0.11348075367741425,0.0,False
tf0.5,lgbm,80,0.23248945147679326,0.012067510548523208,0.1269291624929819,0.2,False
tf0.5,xgb_d3,80,0.24428035630567277,-0.013689639006094701,0.10264192800369293,0.0,False
tf0.5,mlp_2x32,80,0.18952180028129395,0.020393811533052038,0.11006297738677136,0.0,False
tf0.5,mlp_2x64,80,-0.1904828879512424,0.03145804031879981,0.0876942135692451,1.0,True
tf0.5,mlp_4x128,80,0.09205344585091421,-0.04259259259259259,0.2147953064000858,0.2,False
tf1,ridge,80,0.07060478199718706,0.02698546647913736,0.05696995694500054,0.2,False
tf1,rf,80,-0.034270979840600096,-0.07136896390060948,0.08093749986408656,0.6,False
tf1,lgbm,80,0.14777308954524146,-0.029024847632442573,0.0446434648383431,0.0,False
tf1,xgb_d3,80,0.16645569620253164,-0.04269573370839194,0.03628245422695596,0.0,False
tf1,mlp_2x32,80,0.13497421472105017,-0.04774496015002344,0.08812471758555537,0.0,False
tf1,mlp_2x64,80,-0.13804500703234882,0.05681669010782936,0.09582338153202921,1.0,True
tf1,mlp_4x128,80,0.05201593999062354,0.0018377871542428314,0.16223532170058355,0.6,False
tf2,ridge,80,-0.015365772185989278,-0.04901810254480881,0.0908088263760403,0.6,False
tf2,rf,80,-0.05099654826944267,-0.09647501450596105,0.0695748078242835,0.2,False
tf2,lgbm,80,-0.045898065507501154,-0.07931598286577164,0.10303197185832391,0.2,False
tf2,xgb_d3,80,0.054418978077458595,-0.0847262349184434,0.11354559107282494,0.2,False
tf2,mlp_2x32,80,0.1998019210179704,-0.10627347792891073,0.026908752613386502,0.0,False
tf2,mlp_2x64,80,0.05906035548832949,0.014843031194764928,0.03241936933318606,0.0,False
tf2,mlp_4x128,80,0.05971671188986679,-0.03284594963693086,0.185407002011908,0.4,False
tf3,ridge,80,-0.26352709521722567,-0.0018448303143209148,0.0502783431224068,1.0,True
tf3,rf,80,-0.17918529761968274,-0.06713119509723278,0.09830138527818055,0.8,True
tf3,lgbm,80,-0.16914070054615657,-0.05279449598365378,0.12277551293411315,0.8,True
tf3,xgb_d3,80,-0.11983192588066695,-0.006751094415812226,0.1396420144813227,0.8,True
tf3,mlp_2x32,80,0.20163034242225283,-0.07588183240772829,0.12170910431680063,0.0,False
tf3,mlp_2x64,80,-0.045616769906842304,-0.01041731374439914,0.03815354446206623,1.0,True
tf3,mlp_4x128,80,0.09041309431176299,-0.03858203576036575,0.11655711462249267,0.2,False
tf4,ridge,80,-0.006434674574686876,-0.03986216435065586,0.11440927071080727,0.6,False
tf4,rf,80,0.14156284064311128,-0.07697464809070781,0.10166258123885635,0.0,False
tf4,lgbm,80,-0.01120500709180447,-0.049602081603050754,0.11064925988738812,0.2,False
tf4,xgb_d3,80,-0.03175142699968442,-0.09652949519527534,0.15463620607670658,0.2,False
tf4,mlp_2x32,80,0.12877553652474444,-0.10520985947580926,0.1166181380934559,0.0,False
tf4,mlp_2x64,80,-0.1052286126257537,-0.034698015684704965,0.13858999795972923,0.6,True
tf4,mlp_4x128,80,-0.08244353544325589,-0.038014979081128254,0.06199786993201781,0.8,True
tf5,ridge,77,0.22661697919004614,-0.10069733357211527,0.2249518532334958,0.0,False
tf5,rf,77,0.25485208773414236,-0.11146032560000448,0.27037635922055114,0.0,False
tf5,lgbm,77,0.2512766922388006,-0.09630432925394165,0.2584736114173746,0.0,False
tf5,xgb_d3,77,0.24779331059811832,-0.08041748000515454,0.2613541092310716,0.2,False
tf5,mlp_2x32,77,0.05374923595754632,-0.02232256114040234,0.036870304327885864,0.0,False
tf5,mlp_2x64,77,0.16494140689540018,-0.015710708441296007,0.12053380338688319,0.0,False
tf5,mlp_4x128,77,0.14016339031922634,-0.06190166348038082,0.1771438459372044,0.2,False
tf15,ridge,70,0.3611964062460516,0.027175463000453766,0.13730701684325355,0.0,False
tf15,rf,70,0.11710364013780389,0.026888521464780667,0.17061320836779312,0.4,False
tf15,lgbm,70,0.18866405970505595,0.010508358922271777,0.17198598234370088,0.2,False
tf15,xgb_d3,70,0.205653098189115,-0.012509951097942585,0.18420695614942614,0.2,False
tf15,mlp_2x32,70,0.1694704703981426,-0.008009867989703661,0.06913410697415563,0.0,False
tf15,mlp_2x64,70,-0.02190553674772605,0.011694617222188572,0.0875774572175656,0.6,True
tf15,mlp_4x128,70,-0.024285051921600447,-0.09674128896607578,0.18613598922209845,0.2,False
