n,sess,pct,pts,pf,win,sd,mde,ratio,need,ungated,kept,p_entry,null_entry_med,p_gate,null_gate_med,p_boot,is_n,is_pct,is_pf,oos_n,oos_pct,oos_pf,tf,arm,fast,slow,range_end,gate
54,52,0.024955626081294518,13.076666666666586,1.6006367294640222,0.6851851851851852,0.13726612794036694,0.05234011037361229,0.47679735298907794,237.5341675013168,161,56,0.075,-0.0008300047480167034,0.0425,-0.005393165270080116,0.10025,29,0.020138012352818247,1.5097520956949058,25,0.030544058006326997,1.6954692339947348,0.5,a,13,48,545,xcross7m
54,52,0.024955626081294518,13.076666666666586,1.6006367294640222,0.6851851851851852,0.13726612794036694,0.05234011037361229,0.47679735298907794,237.5341675013168,161,56,0.0625,0.001180520249273829,0.0375,-0.007176629430899056,0.10925,29,0.020138012352818247,1.5097520956949058,25,0.030544058006326997,1.6954692339947348,0.5,b,13,48,545,xcross7m
54,52,0.024955626081294518,13.076666666666586,1.6006367294640222,0.6851851851851852,0.13726612794036694,0.05234011037361229,0.47679735298907794,237.5341675013168,161,56,0.07,0.0006742851640747492,0.0275,-0.0069696764706295156,0.08975,29,0.020138012352818247,1.5097520956949058,25,0.030544058006326997,1.6954692339947348,0.5,c,13,48,545,xmin7m
24,24,-0.026090173553338914,-13.502499999999339,0.6436240777155358,0.5,0.1470066464006283,0.08408131212391484,-0.3102969363143206,249.26210967259593,161,28,0.735,-0.011057862422929887,0.7625,-0.006840156184927235,0.81275,12,-0.01940116104031373,0.7113739579327497,12,-0.032779186066364104,0.5861233258629703,1.0,a,13,48,545,xcross7m
67,64,0.020595287625369517,10.765223880597185,1.4660553001834655,0.6567164179104478,0.13745577167460588,0.047053692487848624,0.4376975862348772,349.72485554343757,161,72,0.185,0.007582863593855236,0.0175,-0.009489220458600761,0.11125,35,0.01865902308444419,1.448993449882384,32,0.02271307696700658,1.4825309397592374,1.0,b,7,24,545,xcross7m
67,64,0.020595287625369517,10.765223880597185,1.4660553001834655,0.6567164179104478,0.13745577167460588,0.047053692487848624,0.4376975862348772,349.72485554343757,161,72,0.22,0.008139330726590347,0.035,-0.008492725226663719,0.118,35,0.01865902308444419,1.448993449882384,32,0.02271307696700658,1.4825309397592374,1.0,c,7,24,545,xmin7m
22,20,-0.03183355370598252,-17.358181818181823,0.5297543271195533,0.5,0.1350355433592145,0.08066866816658547,-0.394621039735581,141.27398892353312,160,27,0.63,-0.02394007662107011,0.7975,-0.008892377913217432,0.863,13,0.015569631870732526,1.3474591079844038,9,-0.1003048217612376,0.004444080661804431,2.0,a,13,48,545,xcross7m
74,72,0.0031811732629165963,1.6633783783783165,1.0598316195404964,0.6081081081081081,0.14014423909137372,0.0456486061319359,0.06968828913904203,15237.443716765685,160,89,0.5075,0.0033522519149782855,0.17,-0.008336868893046741,0.4195,39,0.0038179861435484555,1.0635784185788375,35,0.0024715817673553802,1.0543213002614935,2.0,b,3,12,545,xcross7m
69,67,0.014899946641996883,7.819420289855004,1.3064170408409752,0.6376811594202898,0.14121494342922397,0.04763478857578651,0.3127954817788517,705.2257288353487,160,80,0.355,0.009986752061798089,0.0575,-0.007365159007561231,0.19475,36,0.007478237450308446,1.1323106526685016,33,0.02299635666929335,1.5746962687173225,2.0,c,3,12,544,xmin7m
11,9,-0.009415411474009651,-4.967272727272467,0.8459170998252912,0.6363636363636364,0.15095032632745464,0.1275280868669514,-0.07383010053175691,2018.0213916761522,161,13,0.705,0.012748539640601925,0.37,-0.024230139395605504,0.6115,2,-0.0074243839358027475,0.9279359984989248,9,-0.00985786203805563,0.8096602335587559,3.0,a,13,48,545,xcross7m
63,61,0.002009710672012465,1.0917460317459575,1.0365134064046044,0.6031746031746031,0.14232514814474648,0.050243455539933,0.03999945167814277,39376.07953085376,161,71,0.755,0.015548463184630368,0.05,-0.02060111782594922,0.4525,31,-0.011229991648745193,0.8322168503138115,32,0.014835672295246446,1.3408875721833322,3.0,b,2,8,545,xcross7m
62,60,0.01420059548205519,7.549516129032183,1.2862037540718485,0.6290322580645161,0.14218820681717537,0.05059829274703717,0.2806536487910794,787.1369574345539,162,70,0.605,0.018193580160614183,0.025,-0.019073681753632533,0.218,30,-0.004945597452955053,0.920874913229014,32,0.03215015135862728,1.856514276075999,3.0,c,2,8,543,xmin7m
15,13,-0.03402986529322385,-18.023333333333337,0.5269955879277339,0.4666666666666667,0.1383813809658702,0.10011523283364067,-0.339906968500693,129.82882380656986,159,16,0.915,0.012005578020314553,0.605,-0.02616329226189467,0.838,6,0.011826050825569883,1.5778072645764911,9,-0.06460047603908634,0.3920644446958113,4.0,a,13,48,545,xcross7m
73,72,-0.009070112277709147,-4.735205479452063,0.8628052653023849,0.5342465753424658,0.14798444370370853,0.04853139390125362,-0.18689164989087315,2089.98449432575,159,85,0.7025,-0.001933151727185012,0.29,-0.017381784171962456,0.70575,37,0.006172190595254265,1.1007903596621706,36,-0.024735812452699315,0.6521957128590704,4.0,b,2,6,545,xcross7m
58,58,0.004794272934634969,2.4168965517241348,1.0784766676163302,0.5862068965517241,0.15102646313325263,0.05556575068833674,0.08628107917637272,7791.06551959233,160,64,0.4625,0.0034323122541803424,0.105,-0.015992338117731594,0.3945,30,0.02122233348204954,1.3837956924806483,28,-0.012807220509023498,0.8097036987155826,4.0,c,2,6,544,xmin7m
16,14,-0.016079859965806735,-8.508750000000006,0.748489223628109,0.5625,0.14649235722257528,0.10261789623441399,-0.15669644921461745,651.6309027313641,153,18,0.49,-0.01730953226993874,0.65,-0.0026446028641465653,0.696,10,-0.006030398918308807,0.9052210148219003,6,-0.032828961711636614,0.4905898575725754,5.0,a,13,48,545,xcross7m
62,61,-0.01775972620075507,-9.028709677419402,0.6767672338682023,0.5,0.1245206157636614,0.04431120351318764,-0.40079539242190804,385.9635116169461,153,75,0.9325,0.002627697965984964,0.645,-0.012297946083920066,0.872,34,-0.04264956611454485,0.44541438296623215,28,0.012463650837418223,1.4407374273110816,5.0,b,1,5,545,xcross7m
62,61,-0.01775972620075507,-9.028709677419402,0.6767672338682023,0.5,0.1245206157636614,0.04431120351318764,-0.40079539242190804,385.9635116169461,153,75,0.9275,0.0013289324224013098,0.665,-0.012590156343442762,0.86025,34,-0.04264956611454485,0.44541438296623215,28,0.012463650837418223,1.4407374273110816,5.0,c,1,5,545,xmin7m
8,8,0.10214111987308505,54.397499999999994,3.6968337558451223,0.75,0.15936102590889278,0.15787205216990946,0.6469867115121547,19.111697617733395,145,10,0.1925,0.0669498376790548,0.03007518796992481,-0.0038708079446949277,0.0315,3,-0.03867042888941449,0.6171189987750639,5,0.18662804913058478,,15.0,a,13,48,545,xcross7m
63,63,-0.012536411133162203,-6.22650793650794,0.8398871116333895,0.5396825396825397,0.16533294795106887,0.05836564182752415,-0.21479094105070332,1365.5532114449381,145,80,0.78,-0.0018329094776075151,0.525,-0.011001627999937858,0.722,32,-0.006738226030074653,0.9136397145873405,31,-0.018521634465381596,0.7642923986371464,15.0,b,1,2,545,xcross7m
40,40,-0.063424016763479,-32.24000000000001,0.39955088320401283,0.375,0.15684604116389833,0.06948830156138824,-0.9127294139927733,48.014885584378575,145,40,1.0,-0.013763842930662844,0.99,-0.006449828853920061,0.99425,22,-0.08785290015562253,0.28144275512033695,18,-0.03356649261752579,0.6064687378192014,15.0,c,1,2,545,xmin7m
