n,sess,pct,pts,pf,win,sd,mde,ratio,need,ungated,kept,p_entry,null_entry_med,p_gate,null_gate_med,p_boot,tf,arm,delta,first_bar_share_gated
54,52,0.024955626081294518,13.076666666666586,1.6006367294640222,0.6851851851851852,0.13726612794036694,0.05234011037361229,0.47679735298907794,237.5341675013168,161,56,0.075,-0.0008408595194909807,0.015,-0.008339063286211899,0.09625,0.5,full,0.0,0.32142857142857145
116,92,-0.017744724417564542,-9.471896551724065,0.7063113378032226,0.5431034482758621,0.13257556251261204,0.03449074814462411,-0.514477805559875,438.2528014543165,161,161,0.945,-0.000407033759261612,,,0.923,0.5,-gate,-0.04270035049885906,0.32142857142857145
54,52,0.029655144162108748,15.549814814814649,1.4600042518238865,0.5,0.16595055123234642,0.06327759293855983,0.4686515839959775,245.86322916878348,161,56,0.12,0.007067241129473869,0.035,-0.0005597378197648912,0.09575,0.5,-breakeven,0.00469951808081423,0.32142857142857145
53,52,0.02378031634853724,12.43075471698108,1.5400801146979008,0.7358490566037735,0.1440146131195451,0.055428963586818265,0.42902329052734645,287.94804255363397,161,56,0.15,0.00173621906721685,0.01,-0.011970478615938963,0.1255,0.5,-xcross exit,-0.0011753097327572778,0.32142857142857145
67,64,0.020595287625369517,10.765223880597185,1.4660553001834655,0.6567164179104478,0.13745577167460588,0.047053692487848624,0.4376975862348772,349.72485554343757,161,72,0.2,0.006492461828126487,0.015,-0.00908995582558869,0.1195,1.0,full,0.0,0.2638888888888889
112,92,-0.018349587512857195,-9.79535714285694,0.7165994689180285,0.5178571428571429,0.13776830894495887,0.036476104164571525,-0.5030577670813805,442.57033991005756,161,161,0.96,0.0011431135229442784,,,0.90775,1.0,-gate,-0.03894487513822671,0.2638888888888889
66,64,0.029703587025567475,15.356212121212247,1.4610413684415386,0.5,0.16492803518798083,0.05688406819113632,0.5221776144026895,242.051309163831,161,72,0.19,0.015020760470008056,0.01,-0.007574049063353731,0.08275,1.0,-breakeven,0.009108299400197958,0.2638888888888889
66,64,0.023964862302411745,12.551666666666705,1.504405741057969,0.7272727272727273,0.1486269036838266,0.051261769501783086,0.46749970856113643,301.98213177933485,161,72,0.185,0.011074233028432856,0.02,-0.009211952917572031,0.09675,1.0,-xcross exit,0.003369574677042228,0.2638888888888889
69,67,0.014899946641996883,7.819420289855004,1.3064170408409752,0.6376811594202898,0.14121494342922397,0.04763478857578651,0.3127954817788517,705.2257288353487,160,80,0.3,0.006134044995706572,0.055,-0.006392393313477428,0.193,2.0,full,0.0,0.3625
109,92,-0.008770140095194503,-4.654678899082642,0.8713777969639259,0.5137614678899083,0.1517023834949675,0.040714329429898624,-0.21540671842071746,2349.1351798740666,160,160,0.775,1.0573735791644391e-05,,,0.703,2.0,-gate,-0.023670086737191384,0.3625
69,67,0.021433603177826693,11.119420289854965,1.3072733038526227,0.5072463768115942,0.1684150032546274,0.056809944317581074,0.3772861148746734,484.73842354486777,160,80,0.215,0.009152142495883385,0.005,-0.014363398567833467,0.15075,2.0,-breakeven,0.00653365653582981,0.3625
68,67,0.01731432126470594,9.151176470588231,1.3330978053641251,0.6911764705882353,0.1515906672130784,0.051509358248300406,0.33613933183252653,601.8250322606607,160,80,0.51,0.017894467453039173,0.03,-0.011902708316865834,0.18875,2.0,-xcross exit,0.002414374622709055,0.3625
62,60,0.01420059548205519,7.549516129032183,1.2862037540718485,0.6290322580645161,0.14218820681717537,0.05059829274703717,0.2806536487910794,787.1369574345539,162,70,0.57,0.018466278568383912,0.01,-0.020795419230807327,0.20525,3.0,full,0.0,0.37142857142857144
106,92,-0.02894831456267968,-15.093773584905708,0.6557685868992447,0.4056603773584906,0.1553256158121414,0.042272534031015344,-0.6848019695587757,226.03508943647745,162,162,0.985,-0.0020418849059702414,,,0.952,3.0,-gate,-0.04314891004473487,0.37142857142857144
62,60,0.021062792729287513,11.318870967741812,1.3126406602841791,0.5161290322580645,0.16490629555065417,0.05868262357953541,0.35892725042771967,481.2589569147188,162,70,0.47,0.019930015512170718,0.005,-0.023105264505465444,0.162,3.0,-breakeven,0.006862197247232322,0.37142857142857144
61,60,0.01945575978819871,10.332950819672128,1.4013019628710865,0.6885245901639344,0.14789730887363506,0.05305954056018303,0.3666778789034354,453.69126114656,162,70,0.535,0.02203361806345301,0.0,-0.023801291542692685,0.148,3.0,-xcross exit,0.00525516430614352,0.37142857142857144
58,58,0.004794272934634969,2.4168965517241348,1.0784766676163302,0.5862068965517241,0.15102646313325263,0.05556575068833674,0.08628107917637272,7791.06551959233,160,64,0.48,0.003486334018480072,0.125,-0.014181727933673054,0.3965,4.0,full,0.0,0.734375
101,92,-0.015221048444647906,-7.908811881188123,0.7917915916675534,0.48514851485148514,0.1523222509646447,0.042468878550691105,-0.3584047651854045,786.2738342167207,160,160,0.815,-0.005055663130596116,,,0.84,4.0,-gate,-0.020015321379282875,0.734375
58,58,0.012193712578953339,6.322068965517236,1.1591733636071957,0.5,0.17363870200982554,0.0638852597455817,0.19086895204799814,1592.0526114483666,160,64,0.335,0.006424094252098849,0.065,-0.014755394276405018,0.28475,4.0,-breakeven,0.00739943964431837,0.734375
58,58,0.007107033514576056,3.7272413793103385,1.1103181461448635,0.6206896551724138,0.16080483271222368,0.059163414534070334,0.12012547907429076,4019.367607546785,160,64,0.58,0.009290954707916896,0.045,-0.02023244722755598,0.3685,4.0,-xcross exit,0.002312760579941087,0.734375
62,61,-0.01775972620075507,-9.028709677419402,0.6767672338682023,0.5,0.1245206157636614,0.04431120351318764,-0.40079539242190804,385.9635116169461,153,75,0.915,0.005193073990397448,0.66,-0.011056185458688212,0.872,5.0,full,0.0,0.8
100,92,-0.01247515343836275,-6.538000000000031,0.7637812147420469,0.53,0.12554936022295438,0.03517893073447182,-0.35462002903170536,795.1947020916049,153,153,0.76,-0.0027409235707581995,,,0.8375,5.0,-gate,0.005284572762392319,0.8
62,61,-0.030787586884863535,-15.730322580645213,0.6290496616659002,0.3225806451612903,0.15133300820361817,0.05385251015382742,-0.5717019837500628,189.69343074807387,153,75,0.995,0.0033637471022136102,0.7,-0.01992056887955821,0.94075,5.0,-breakeven,-0.013027860684108467,0.8
62,61,-0.004821032532345014,-2.564193548387103,0.9107414194057094,0.5967741935483871,0.13885736754893002,0.04941299908478074,-0.09756607819074672,6513.193683168876,153,75,0.865,0.010782161930644876,0.3,-0.012139461321643884,0.614,5.0,-xcross exit,0.012938693668410054,0.8
40,40,-0.063424016763479,-32.24000000000001,0.39955088320401283,0.375,0.15684604116389833,0.06948830156138824,-0.9127294139927733,48.014885584378575,145,40,1.0,-0.014142237997812047,0.985,-0.00922193206893231,0.9955,15.0,full,0.0,0.875
92,92,-0.017821584543692058,-9.556304347826092,0.7820404987424533,0.5,0.16458063351315463,0.04807872554135478,-0.37067506143362455,669.5778691221476,145,145,0.795,-0.006878163048758644,,,0.852,15.0,-gate,0.045602432219786944,0.875
40,40,-0.06394395624097493,-32.67750000000001,0.44732600345147155,0.275,0.16604110580016113,0.07356203794376469,-0.8692521037801807,52.93811711968566,145,40,1.0,-0.018076802492875882,0.96,-0.013790799655462736,0.993,15.0,-breakeven,-0.0005199394774959287,0.875
40,40,-0.063424016763479,-32.24000000000001,0.39955088320401283,0.375,0.15684604116389833,0.06948830156138824,-0.9127294139927733,48.014885584378575,145,40,1.0,-0.016615048119309805,0.98,-0.009391694277317439,0.9955,15.0,-xcross exit,0.0,0.875
