trade,side,entry_time,exit_time,entry,exit,pts_gross,pnl,pnl_pct,signal,pct_gross,net_pts,pct,_day,seg
1,1,2025-09-24 09:31:00,2025-09-24 09:39:00,46392.8,46395.7,2.8999999999941792,6.1,0.0,Lx,0.006250969978087503,0.61,0.0013148592022900105,1758672000000000,A  before our coverage
2,-1,2025-09-25 09:38:00,2025-09-25 09:50:00,45968.6,45965.7,2.900000000001455,6.1,0.0,Sx,0.006308654168283252,0.61,0.0013269927733278804,1758758400000000,A  before our coverage
3,-1,2025-09-26 09:27:30,2025-09-26 09:34:30,46151.2,46226.0,-74.80000000000291,-770.9,-0.17,opp cross,-0.1620759590216569,-77.09,-0.16703791017351663,1758844800000000,A  before our coverage
4,-1,2025-09-30 09:27:30,2025-09-30 09:30:30,46249.5,46301.9,-52.400000000001455,-546.9,-0.12,opp cross,-0.1132985221461885,-54.69,-0.11824992702623813,1759190400000000,A  before our coverage
5,-1,2025-10-01 09:27:30,2025-10-01 09:31:00,46273.5,46338.4,-64.90000000000146,-671.9,-0.15,opp cross,-0.14025306060704607,-67.19,-0.1452018974142868,1759276800000000,A  before our coverage
6,1,2025-10-03 09:30:30,2025-10-03 09:39:30,46615.6,46715.6,100.0,977.1,0.21,Lx,0.21452046096156652,97.71000000000001,0.20960794240554664,1759449600000000,A  before our coverage
7,-1,2025-10-06 09:30:30,2025-10-06 09:43:30,46804.9,46704.9,100.0,977.1,0.21,Sx,0.21365284403983342,97.71000000000001,0.20876019391132125,1759708800000000,A  before our coverage
8,-1,2025-10-07 09:27:30,2025-10-07 09:31:30,46765.7,46806.3,-40.60000000000582,-428.9,-0.09,opp cross,-0.08681576454539507,-42.89,-0.09171251579683401,1759795200000000,A  before our coverage
9,-1,2025-10-08 09:31:00,2025-10-08 09:35:00,46679.8,46579.8,100.0,977.1,0.21,Sx,0.21422542513035617,97.71000000000001,0.209319662894871,1759881600000000,A  before our coverage
10,-1,2025-10-14 09:30:00,2025-10-14 09:36:30,45699.8,45599.8,100.0,977.1,0.21,Sx,0.21881933837784848,97.71000000000001,0.21380837552899573,1760400000000000,A  before our coverage
11,1,2025-10-15 09:36:30,2025-10-15 09:44:00,46533.9,46536.8,2.900000000001455,6.1,0.0,Lx,0.0062320157992376635,0.61,0.001310872288804506,1760486400000000,A  before our coverage
12,-1,2025-10-17 09:30:00,2025-10-17 09:32:30,45934.0,46034.1,-100.09999999999854,-1023.9,-0.22,Sx,-0.21792136543736348,-102.39,-0.22290677929202768,1760659200000000,A  before our coverage
13,1,2025-10-20 09:30:30,2025-10-20 09:34:00,46396.3,46399.2,2.8999999999941792,6.1,0.0,Lx,0.0062504984233531105,0.61,0.0013147600131907069,1760918400000000,A  before our coverage
14,1,2025-10-21 09:29:00,2025-10-21 09:48:00,46734.2,46737.1,2.900000000001455,6.1,0.0,Lx,0.00620530575039576,0.61,0.0013052539681860395,1761004800000000,A  before our coverage
15,1,2025-10-27 09:27:30,2025-10-27 09:33:30,47483.9,47435.3,-48.599999999998545,-508.9,-0.11,opp cross,-0.10235048089983877,-50.89,-0.10717316816857925,1761523200000000,A  before our coverage
16,-1,2025-10-28 09:40:00,2025-10-28 09:53:00,47761.4,47758.5,2.900000000001455,6.1,0.0,Sx,0.0060718488151550315,0.61,0.0012771819921526587,1761609600000000,A  before our coverage
17,-1,2025-11-04 09:28:00,2025-11-04 09:30:30,47055.6,47052.7,2.900000000001455,6.1,0.0,Sx,0.006162922160171064,0.61,0.0012963387992077457,1762214400000000,A  before our coverage
18,1,2025-11-04 09:47:00,2025-11-04 10:04:00,47079.6,47179.6,100.0,977.1,0.21,Lx,0.21240622265269885,97.71000000000001,0.20754212015395204,1762214400000000,A  before our coverage
19,1,2025-11-07 09:29:30,2025-11-07 09:30:00,46843.9,46743.8,-100.09999999999854,-1023.9,-0.22,Lx,-0.2136884418248663,-102.39,-0.21857701856591785,1762473600000000,A  before our coverage
20,-1,2025-11-17 09:27:30,2025-11-17 09:35:00,47039.7,47139.8,-100.10000000000582,-1023.9,-0.22,Sx,-0.21279897618395913,-102.39,-0.21766720451023286,1763337600000000,A  before our coverage
21,1,2025-11-19 09:58:00,2025-11-19 10:14:00,46156.7,46256.7,100.0,977.1,0.21,Lx,0.21665327027278813,97.71000000000001,0.2116919103835413,1763510400000000,A  before our coverage
22,1,2025-11-25 09:27:30,2025-11-25 09:30:00,46476.3,46576.3,100.0,977.1,0.21,Lx,0.21516342738126742,97.71000000000001,0.2102361848942364,1764028800000000,A  before our coverage
