Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2025-09-24 09:39:00,Lx,46395.7,10,463928,6.1,0.00,22.9,651.55,0.14,-199.45,-0.04,6.1,0.01,16
1,Entry long,2025-09-24 09:31:00,L,46392.8,10,463928,6.1,0.00,22.9,651.55,0.14,-199.45,-0.04,6.1,0.01,16
2,Exit short,2025-09-25 09:50:00,Sx,45965.7,10,459686,6.1,0.00,22.9,832.55,0.18,-91.45,-0.02,12.2,0.02,24
2,Entry short,2025-09-25 09:38:00,S,45968.6,10,459686,6.1,0.00,22.9,832.55,0.18,-91.45,-0.02,12.2,0.02,24
3,Exit short,2025-09-26 09:34:30,opp cross,46226,10,461512,-770.9,-0.17,22.9,350.55,0.08,-816.45,-0.18,-758.7,-1.52,14
3,Entry short,2025-09-26 09:27:30,S,46151.2,10,461512,-770.9,-0.17,22.9,350.55,0.08,-816.45,-0.18,-758.7,-1.52,14
4,Exit short,2025-09-30 09:30:30,opp cross,46301.9,10,462495,-546.9,-0.12,22.9,83.55,0.02,-556.45,-0.12,-1305.6,-2.61,6
4,Entry short,2025-09-30 09:27:30,S,46249.5,10,462495,-546.9,-0.12,22.9,83.55,0.02,-556.45,-0.12,-1305.6,-2.61,6
5,Exit short,2025-10-01 09:31:00,opp cross,46338.4,10,462735,-671.9,-0.15,22.9,246.55,0.05,-703.45,-0.15,-1977.5,-3.95,7
5,Entry short,2025-10-01 09:27:30,S,46273.5,10,462735,-671.9,-0.15,22.9,246.55,0.05,-703.45,-0.15,-1977.5,-3.95,7
6,Exit long,2025-10-03 09:39:30,Lx,46715.6,10,466156,977.1,0.21,22.9,988.55,0.21,-56.45,-0.01,-1000.4,-2.00,18
6,Entry long,2025-10-03 09:30:30,L,46615.6,10,466156,977.1,0.21,22.9,988.55,0.21,-56.45,-0.01,-1000.4,-2.00,18
7,Exit short,2025-10-06 09:43:30,Sx,46704.9,10,468049,977.1,0.21,22.9,988.55,0.21,-532.45,-0.11,-23.3,-0.05,26
7,Entry short,2025-10-06 09:30:30,S,46804.9,10,468049,977.1,0.21,22.9,988.55,0.21,-532.45,-0.11,-23.3,-0.05,26
8,Exit short,2025-10-07 09:31:30,opp cross,46806.3,10,467657,-428.9,-0.09,22.9,142.55,0.03,-491.45,-0.11,-452.2,-0.90,8
8,Entry short,2025-10-07 09:27:30,S,46765.7,10,467657,-428.9,-0.09,22.9,142.55,0.03,-491.45,-0.11,-452.2,-0.90,8
9,Exit short,2025-10-08 09:35:00,Sx,46579.8,10,466798,977.1,0.21,22.9,988.55,0.21,-365.45,-0.08,524.9,1.05,8
9,Entry short,2025-10-08 09:31:00,S,46679.8,10,466798,977.1,0.21,22.9,988.55,0.21,-365.45,-0.08,524.9,1.05,8
10,Exit short,2025-10-14 09:36:30,Sx,45599.8,10,456998,977.1,0.21,22.9,988.55,0.22,-412.45,-0.09,1502,3.00,13
10,Entry short,2025-10-14 09:30:00,S,45699.8,10,456998,977.1,0.21,22.9,988.55,0.22,-412.45,-0.09,1502,3.00,13
11,Exit long,2025-10-15 09:44:00,Lx,46536.8,10,465339,6.1,0.00,22.9,493.55,0.11,-289.45,-0.06,1508.1,3.02,15
11,Entry long,2025-10-15 09:36:30,L,46533.9,10,465339,6.1,0.00,22.9,493.55,0.11,-289.45,-0.06,1508.1,3.02,15
12,Exit short,2025-10-17 09:32:30,Sx,46034.1,10,459340,-1023.9,-0.22,22.9,36.55,0.01,-1012.45,-0.22,484.2,0.97,5
12,Entry short,2025-10-17 09:30:00,S,45934,10,459340,-1023.9,-0.22,22.9,36.55,0.01,-1012.45,-0.22,484.2,0.97,5
13,Exit long,2025-10-20 09:34:00,Lx,46399.2,10,463963,6.1,0.00,22.9,584.55,0.13,-218.45,-0.05,490.3,0.98,7
13,Entry long,2025-10-20 09:30:30,L,46396.3,10,463963,6.1,0.00,22.9,584.55,0.13,-218.45,-0.05,490.3,0.98,7
