mkt,tf,signals,h_gt_h1,p1.doji,p1.dragonfly,p1.gravestone,p1.long_leg_doji,p1.marubozu_bull,p1.marubozu_bear,p1.hammer,p1.inv_hammer,p1.shooting_star,p1.spinning_top,p1.belt_hold_bull,p1.closes_lower_third,p1.long_upper_wick,p2.engulf_bull,p2.engulf_bear,p2.harami_bull,p2.harami_bear,p2.piercing,p2.dark_cloud,p2.tweezer_top,p2.tweezer_bottom,p2.inside_bar,p2.outside_bar,p2.gap_up,p2.gap_dn,p2.kicker_bull,p2.prev_upper_wick,p3.morning_star,p3.evening_star,p3.three_white,p3.three_black,p3.three_inside_up,seq.up_closes_3,seq.higher_highs_3
NQ,15,9583,1.0,0.08254200146092038,0.0004174058228112282,0.005634978607951581,0.0532192424084316,0.03662736095168528,0.0008348116456224564,0.015130961076907022,0.08160283835959511,0.04633204633204633,0.14097881665449233,0.12094333715955338,0.22247730355838463,0.20463320463320464,0.08442032766357091,0.03798392987582177,0.0,0.0,0.0,0.0009391631013252635,0.0398622560784723,0.06125430449754774,0.0,0.15997078159240322,0.012209120317228424,0.002400083481164562,0.004487112595220703,0.10142961494312845,0.056454137535218614,0.013565689241364916,0.053323593864134405,0.0026087863925701765,0.02974016487530001,0.3815089220494626,0.524053010539497
NQ,30,5144,1.0,0.08534214618973561,0.0009720062208398134,0.007192846034214619,0.0552099533437014,0.038880248833592534,0.0011664074650077762,0.021384136858475893,0.0812597200622084,0.04704510108864697,0.140552099533437,0.11566874027993779,0.21734059097978228,0.19459564541213065,0.09486780715396578,0.03693623639191291,0.0,0.0,0.0,0.0007776049766718507,0.03965785381026438,0.06162519440124417,0.0,0.18195956454121306,0.012052877138413685,0.0023328149300155523,0.003499222395023328,0.10497667185069985,0.059875583203732506,0.02177293934681182,0.05287713841368585,0.0033048211508553654,0.02255054432348367,0.3812208398133748,0.5377138413685848
NQ,60,2574,1.0,0.08818958818958819,0.0011655011655011655,0.007381507381507382,0.052059052059052056,0.03807303807303807,0.0003885003885003885,0.02097902097902098,0.06954156954156954,0.035742035742035744,0.13636363636363635,0.11655011655011654,0.21406371406371405,0.18842268842268842,0.09090909090909091,0.04079254079254079,0.0,0.0,0.0,0.0,0.03263403263403263,0.061383061383061384,0.0,0.18764568764568765,0.021367521367521368,0.005827505827505828,0.004273504273504274,0.10178710178710179,0.06099456099456099,0.017094017094017096,0.05710955710955711,0.002331002331002331,0.02641802641802642,0.3951048951048951,0.5431235431235432
NQ,120,1374,1.0,0.08879184861717612,0.000727802037845706,0.008733624454148471,0.05822416302765648,0.040756914119359534,0.001455604075691412,0.019650655021834062,0.08151382823871907,0.05458515283842795,0.14264919941775836,0.10553129548762737,0.21106259097525473,0.1957787481804949,0.09315866084425037,0.04512372634643377,0.0,0.0,0.0,0.0,0.039301310043668124,0.07132459970887918,0.0,0.21542940320232898,0.013828238719068414,0.000727802037845706,0.00363901018922853,0.10698689956331878,0.06040756914119359,0.018922852983988356,0.06040756914119359,0.002183406113537118,0.03129548762736536,0.4272197962154294,0.5655021834061136
NQ,240,759,1.0,0.10013175230566534,0.0,0.005270092226613966,0.07905138339920949,0.05533596837944664,0.0,0.01844532279314888,0.06719367588932806,0.03820816864295125,0.14756258234519104,0.11067193675889328,0.1831357048748353,0.17391304347826086,0.0922266139657444,0.048748353096179184,0.0,0.0,0.0,0.0,0.043478260869565216,0.06324110671936758,0.0,0.25823451910408435,0.017127799736495388,0.0013175230566534915,0.003952569169960474,0.08959156785243742,0.057971014492753624,0.01844532279314888,0.05928853754940711,0.006587615283267457,0.023715415019762844,0.4044795783926219,0.530961791831357
US100L,15,26948,1.0,0.07815051209737271,0.0007050616001187472,0.007570135074959181,0.04720201870268666,0.0531764880510613,0.001781208252931572,0.014286774528721983,0.09165800801543714,0.05302805402998367,0.12149324625204097,0.14858245509870863,0.2169363218049577,0.2117040225619712,0.09217752708920884,0.03324922072138934,0.0,0.0,0.00018554252634703873,0.001929642274009203,0.03888971352233932,0.06501410123200238,0.0,0.14602196823511948,0.03224729107911534,0.004564346148137153,0.005937360843105239,0.11028647766067982,0.05714709811488793,0.013359061896986789,0.0574439661570432,0.0018925337687397952,0.02801692147840285,0.378321211221612,0.5159566572658454
US100L,30,14586,1.0,0.08041958041958042,0.00020567667626491157,0.007610037021801728,0.04874537227478404,0.048196901138077605,0.0015768545180309887,0.01686548745372275,0.08453311394487865,0.04908816673522556,0.12402303578774167,0.14445358563005622,0.20924173865350337,0.1973124914301385,0.09337721102426985,0.033593857123268886,0.0,0.0,0.00020567667626491157,0.0015768545180309887,0.039284245166598106,0.05909776498011792,0.0,0.16214177978883862,0.02865761689291101,0.003770739064856712,0.006375976964212258,0.10523789935554641,0.05731523378582202,0.014465926230632113,0.05656108597285068,0.002810914575620458,0.026052378993555465,0.3859180035650624,0.5205676676264912
US100L,60,7400,1.0,0.08135135135135135,0.0006756756756756757,0.005675675675675676,0.05148648648648649,0.04378378378378378,0.0009459459459459459,0.02,0.07527027027027026,0.04081081081081081,0.1308108108108108,0.1304054054054054,0.1904054054054054,0.1814864864864865,0.09351351351351352,0.03337837837837838,0.0,0.0,0.0002702702702702703,0.001081081081081081,0.037567567567567565,0.060675675675675673,0.0,0.15878378378378377,0.02810810810810811,0.0017567567567567568,0.0045945945945945945,0.09378378378378378,0.05459459459459459,0.012972972972972972,0.06554054054054054,0.0016216216216216215,0.022567567567567566,0.3995945945945946,0.5444594594594595
US100L,120,4071,1.0,0.07688528617047409,0.0004912797838368951,0.005158437730287398,0.04863669859985262,0.04814541881601572,0.0014738393515106854,0.02407270940800786,0.06705969049373618,0.03954802259887006,0.12945222304102186,0.12355686563497913,0.1864406779661017,0.17293048391058707,0.08351756325227216,0.04323262097764677,0.0,0.0,0.00024563989191844754,0.0009825595676737902,0.037828543355440926,0.06435765168263326,0.0,0.18521247850650946,0.03291574551707197,0.0029476787030213707,0.0049127978383689515,0.08695652173913043,0.054532056005895356,0.016703512650454434,0.07172684844018669,0.0014738393515106854,0.02603782854335544,0.4225006140997298,0.5369688037337264
US100L,240,2326,1.0,0.07308684436801376,0.0,0.006448839208942391,0.05073086844368014,0.052020636285468616,0.0012897678417884782,0.023645743766122097,0.05460017196904557,0.03181427343078246,0.1298366294067068,0.1233877901977644,0.1809974204643164,0.1534823731728289,0.09243336199484092,0.04729148753224419,0.0,0.0,0.0,0.0008598452278589854,0.04170249355116079,0.06706792777300086,0.0,0.22828890799656062,0.033963886500429925,0.0017196904557179708,0.006448839208942391,0.08641444539982802,0.06706792777300086,0.021496130696474634,0.06663800515907137,0.006878761822871883,0.025795356835769563,0.3993981083404987,0.5240756663800515
