mkt,tf,preset,block,n,sig,pct,pf,win,ctl_med,ctl_n,s2f,p,cost_risk
NQ,240,T1,A_research,32,120,0.3182982201557186,3.7641590650033896,0.375,-0.01234765970185095,70.0,0.45,0.009950248756218905,0.00878913412687362
NQ,240,T1,B_locked,23,89,-0.0360846593372523,1.4471256720223407,0.2608695652173913,-0.18695028811430026,46.0,0.5056179775280899,0.20398009950248755,0.006081628382869346
NQ,240,T2,A_research,36,175,0.2608014776333774,3.186700521950997,0.3888888888888889,-0.005146074683625512,88.0,0.5828571428571429,0.024875621890547265,0.00901639632419267
NQ,240,T2,B_locked,31,172,-0.15387111796584993,0.9947145772098267,0.22580645161290322,-0.10801423995531474,64.5,0.6976744186046512,0.6119402985074627,0.006942046697662068
NQ,120,T3,A_research,82,277,0.023008320718556557,1.9603087651026132,0.2926829268292683,-0.010125100799651555,152.0,0.5523465703971119,0.24378109452736318,0.013703563101583894
NQ,120,T3,B_locked,59,221,-0.29027842140044924,0.7104221576194155,0.1864406779661017,-0.06135686969733195,98.0,0.5656108597285068,0.9900497512437811,0.00955635447365391
NQ,60,T4,A_research,117,322,0.0184790922177446,2.102417887886012,0.2905982905982906,-0.03980191412349514,212.0,0.2888198757763975,0.04975124378109453,0.01851491802622061
NQ,60,T4,B_locked,73,181,-0.17177807632774633,0.8343055681998268,0.2876712328767123,-0.09077166162407968,118.0,0.35911602209944754,0.9353233830845771,0.01315897551390691
US100L,240,T1,A_research,100,291,-0.07024408191804002,1.5709443112732384,0.39,-0.14151655631164844,173.0,0.3470790378006873,0.263681592039801,0.010127946393506086
US100L,240,T1,B_locked,56,188,0.13911120797750445,1.9934474585511923,0.3392857142857143,-0.08725442534885766,109.0,0.40425531914893614,0.06467661691542288,0.005489962746739311
US100L,120,T3,A_research,260,974,-0.09338860281241046,1.5238042929387006,0.31153846153846154,-0.08825233128199686,484.0,0.582135523613963,0.5422885572139303,0.017730194536552796
US100L,120,T3,B_locked,120,502,0.14387063806884334,2.196533696144985,0.36666666666666664,-0.06289312802091429,261.0,0.5717131474103586,0.004975124378109453,0.008543550853900787
US100L,60,T4,A_research,356,966,-0.10365782169939791,1.540756691527166,0.2893258426966292,-0.06842143646804334,606.0,0.2898550724637681,0.9054726368159204,0.01822986121095764
US100L,60,T4,B_locked,181,530,-0.03043478773715187,1.578375368445587,0.281767955801105,-0.05696786839857526,341.0,0.3113207547169811,0.25870646766169153,0.011621922945833299
US30L,240,T1,A_research,102,336,-0.0936685727238502,1.2493998074726793,0.2647058823529412,-0.04315640980747497,189.0,0.4494047619047619,0.7412935323383084,0.009151805590022401
US30L,240,T1,B_locked,49,179,-0.09155494976791935,1.5663184857381773,0.2653061224489796,-0.06185104353568093,107.0,0.3743016759776536,0.6368159203980099,0.006656834129734685
US30L,120,T3,A_research,234,876,-0.03594395453304413,1.7629138291277835,0.2863247863247863,-0.04181634047463645,436.0,0.5171232876712328,0.4577114427860697,0.014314298170973181
US30L,120,T3,B_locked,121,367,0.0005430622355147955,1.7751266259235527,0.2727272727272727,-0.046756534100761936,210.0,0.5367847411444142,0.16417910447761194,0.010718553300045517
US30L,60,T4,A_research,341,999,-0.030237701715245497,1.6587068958434132,0.3020527859237537,-0.035745427078478734,613.0,0.3023023023023023,0.3880597014925373,0.018253176300789573
US30L,60,T4,B_locked,186,473,-0.10031718524806738,1.0646814110440208,0.26344086021505375,-0.04830463090217757,313.0,0.3572938689217759,0.9751243781094527,0.015204017033531091
