mkt,tf,e1,x1,block,n,sig,pct,pf,win,ctl_med,ctl_n,p
NQ,30,160,80,A_research,65,234,0.16729165828647782,2.76901692103956,0.18461538461538463,-0.0187636311048429,151.0,0.01990049751243781
NQ,30,160,80,B_locked,55,148,-0.18979353317240916,0.5123891228505821,0.05454545454545454,-0.07186088801276186,88.0,0.8855721393034826
NQ,60,80,40,A_research,49,193,0.21983375575547806,2.796679034850603,0.2653061224489796,0.023832010074454447,116.0,0.004975124378109453
NQ,60,80,40,B_locked,50,167,-0.12263148522287885,0.9165997220491383,0.1,-0.08165553675167134,84.0,0.6467661691542289
NQ,120,40,20,A_research,44,178,0.14195294665189945,2.7249123647288838,0.3409090909090909,0.021901739515320248,98.0,0.09950248756218906
NQ,120,40,20,B_locked,46,166,-0.2740932167173412,0.76922213555354,0.15217391304347827,-0.07854840812033664,72.0,0.945273631840796
US100L,30,160,80,A_research,216,875,0.027392879249671993,1.663754584006907,0.19444444444444445,-0.05555506107081376,488.0,0.03482587064676617
US100L,30,160,80,B_locked,115,406,0.06712209363907234,2.143476533860741,0.14782608695652175,-0.0420369207814983,252.0,0.05970149253731343
US100L,60,80,40,A_research,192,769,-0.08314741020042836,1.4247628054715669,0.234375,-0.07569533651259577,395.0,0.572139303482587
US100L,60,80,40,B_locked,89,362,0.054105896278070165,1.67100009552261,0.23595505617977527,-0.05685532916980114,207.0,0.0945273631840796
US100L,120,40,20,A_research,167,687,-0.14731038165830915,1.1910714440485548,0.25748502994011974,-0.101611464945809,328.0,0.7512437810945274
US100L,120,40,20,B_locked,77,352,0.20801408975817337,2.2531437265836436,0.33766233766233766,-0.060426558191537943,181.5,0.004975124378109453
US30L,30,160,80,A_research,195,612,-0.03448034029400682,1.326093157688953,0.14358974358974358,-0.0059667029914035035,378.0,0.7810945273631841
US30L,30,160,80,B_locked,95,281,0.040434886089389936,2.213493909248419,0.1368421052631579,-0.04036616691776783,197.0,0.04975124378109453
US30L,60,80,40,A_research,168,581,0.020765724505198476,1.7410263859682396,0.20833333333333334,-0.018194139682031533,325.0,0.21890547263681592
US30L,60,80,40,B_locked,99,302,-0.11164334756154747,1.181475030008051,0.16161616161616163,-0.03162965235395319,184.0,0.9402985074626866
US30L,120,40,20,A_research,144,574,0.03054798861940032,1.7175547962903457,0.2708333333333333,-0.03100541102126888,286.0,0.16417910447761194
US30L,120,40,20,B_locked,75,259,0.10559775469297569,2.0523234551811655,0.30666666666666664,-0.03918064088856578,148.0,0.03482587064676617
