mkt,tf,mode,e1,x1,nA,pctA,pfA,nB,pctB,pfB
NQ,15,carried,20,10,733,-0.05610607526337434,1.042600300981302,374,-0.02324811651383228,1.5505809852571568
NQ,15,matched,320,160,88,0.06300019201389706,2.145964366560257,58,-0.15650482415242978,0.44793386348916525
NQ,30,carried,20,10,382,-0.04053600677964043,1.436210258474636,199,0.005488500053970025,1.7479370246902095
NQ,30,matched,160,80,65,0.16729165828647782,2.76901692103956,55,-0.18979353317240916,0.5123891228505821
NQ,60,carried,20,10,177,-0.032095990244741114,1.773810421946774,108,-0.1398841732422065,0.8977779314832062
NQ,60,matched,80,40,49,0.21983375575547806,2.796679034850603,50,-0.12263148522287885,0.9165997220491383
NQ,120,carried,20,10,82,0.023008320718556557,1.9603087651026132,59,-0.29027842140044924,0.7104221576194155
NQ,120,matched,40,20,44,0.14195294665189945,2.7249123647288838,46,-0.2740932167173412,0.76922213555354
NQ,240,carried,20,10,36,0.2608014776333774,3.186700521950997,31,-0.15387111796584993,0.9947145772098267
NQ,240,matched,20,10,36,0.2608014776333774,3.186700521950997,31,-0.15387111796584993,0.9947145772098267
US100L,15,carried,20,10,2080,-0.0589697509262543,1.1642819967641844,1144,-0.048156854355063054,1.2250892898848609
US100L,15,matched,320,160,279,-0.030619447965726146,1.2303881400227519,143,0.06640077522874774,2.06778520504229
US100L,30,carried,20,10,1084,-0.07264927568464172,1.313096965594152,601,-0.01648064996894188,1.6972042619333216
US100L,30,matched,160,80,216,0.027392879249671993,1.663754584006907,115,0.06712209363907234,2.143476533860741
US100L,60,carried,20,10,513,-0.0813380360873308,1.4926887673436713,265,-0.03908670762032012,1.5079954347147329
US100L,60,matched,80,40,192,-0.08314741020042836,1.4247628054715669,89,0.054105896278070165,1.67100009552261
US100L,120,carried,20,10,260,-0.09338860281241046,1.5238042929387006,120,0.14387063806884334,2.196533696144985
US100L,120,matched,40,20,167,-0.14731038165830915,1.1910714440485548,77,0.20801408975817337,2.2531437265836436
US100L,240,carried,20,10,131,-0.093250857127722,1.4225050981936211,72,0.07464324324758756,1.656770443684324
US100L,240,matched,20,10,131,-0.093250857127722,1.4225050981936211,72,0.07464324324758756,1.656770443684324
US30L,15,carried,20,10,1925,-0.038517184220044354,1.173583363736906,1144,-0.04491808190337004,1.0497148868047328
US30L,15,matched,320,160,246,-0.009490742416423645,1.2746702122478728,126,0.019781796311875106,1.9408870556644573
US30L,30,carried,20,10,949,-0.028079070012499128,1.4568447205959991,572,-0.03823038316250947,1.3471836502171295
US30L,30,matched,160,80,195,-0.03448034029400682,1.326093157688953,95,0.040434886089389936,2.213493909248419
US30L,60,carried,20,10,464,-0.044128709159204776,1.5598143258941202,261,-0.10290964992582385,1.0626951912468539
US30L,60,matched,80,40,168,0.020765724505198476,1.7410263859682396,99,-0.11164334756154747,1.181475030008051
US30L,120,carried,20,10,234,-0.03594395453304413,1.7629138291277835,121,0.0005430622355147955,1.7751266259235527
US30L,120,matched,40,20,144,0.03054798861940032,1.7175547962903457,75,0.10559775469297569,2.0523234551811655
US30L,240,carried,20,10,131,-0.056741437687448056,1.4322435166398741,58,-0.061001493024776886,1.707587194832859
US30L,240,matched,20,10,131,-0.056741437687448056,1.4322435166398741,58,-0.061001493024776886,1.707587194832859
