mkt,tf,arm,atr_len,nA,pctA,totA,pfA,nB,pctB,totB,pfB
NQ,15,A,20,733,-0.05610607526337434,-41.12575316805339,1.042600300981302,374,-0.02324811651383228,-8.694795576173274,1.5505809852571568
NQ,15,B,20,88,0.06300019201389706,5.544016897222941,2.145964366560257,58,-0.15650482415242978,-9.077279800840927,0.44793386348916525
NQ,15,C,320,90,0.0651123163823959,5.860108474415631,2.2198945619710764,55,-0.14851832024313263,-8.168507613372295,0.5005578649627355
NQ,30,A,20,382,-0.04053600677964043,-15.484754589822645,1.436210258474636,199,0.005488500053970025,1.092211510740035,1.7479370246902095
NQ,30,B,20,65,0.16729165828647782,10.873957788621059,2.76901692103956,55,-0.18979353317240916,-10.438644324482503,0.5123891228505821
NQ,30,C,160,62,0.14733738044664732,9.134917587692135,2.703840539804003,54,-0.20404026077787754,-11.018174082005388,0.5101018229753492
NQ,60,A,20,177,-0.032095990244741114,-5.680990273319177,1.773810421946774,108,-0.1398841732422065,-15.107490710158302,0.8977779314832062
NQ,60,B,20,49,0.21983375575547806,10.771854032018425,2.796679034850603,50,-0.12263148522287885,-6.1315742611439426,0.9165997220491383
NQ,60,C,80,49,0.14987048698877392,7.343653862449923,2.398745692548299,49,-0.12549505063736238,-6.149257481230757,0.8913666858503755
NQ,120,A,20,82,0.023008320718556557,1.8866822989216376,1.9603087651026132,59,-0.29027842140044924,-17.126426862626506,0.7104221576194155
NQ,120,B,20,44,0.14195294665189945,6.245929652683576,2.7249123647288838,46,-0.2740932167173412,-12.608287968997697,0.76922213555354
NQ,120,C,40,44,0.14949297973104647,6.577691108166045,2.8159163670340694,44,-0.22995138180030758,-10.117860799213533,0.8217998388445197
US100L,15,A,20,2080,-0.0589697509262543,-122.65708192660894,1.1642819967641844,1144,-0.048156854355063054,-55.09144138219214,1.2250892898848609
US100L,15,B,20,279,-0.030619447965726146,-8.542825982437595,1.2303881400227519,143,0.06640077522874774,9.495310857710926,2.06778520504229
US100L,15,C,320,277,-0.04220631368693396,-11.691148891280708,1.190619469820989,143,0.052856655085259246,7.558501677192072,1.9990858449384408
US100L,30,A,20,1084,-0.07264927568464172,-78.75181484215162,1.313096965594152,601,-0.01648064996894188,-9.90487063133407,1.6972042619333216
US100L,30,B,20,216,0.027392879249671993,5.91686191792915,1.663754584006907,115,0.06712209363907234,7.71904076849332,2.143476533860741
US100L,30,C,160,206,0.027019040300488156,5.56592230190056,1.7385945835752312,112,0.042178344699388574,4.72397460633152,2.03250282917561
US100L,60,A,20,513,-0.0813380360873308,-41.7264125128007,1.4926887673436713,265,-0.03908670762032012,-10.357977519384832,1.5079954347147329
US100L,60,B,20,192,-0.08314741020042836,-15.964302758482246,1.4247628054715669,89,0.054105896278070165,4.815424768748245,1.67100009552261
US100L,60,C,80,189,-0.0902884279349187,-17.064512879699635,1.418313265953585,87,0.06568034355432686,5.714189889226437,1.718531969439388
US100L,120,A,20,260,-0.09338860281241046,-24.28103673122672,1.5238042929387006,120,0.14387063806884334,17.264476568261202,2.196533696144985
US100L,120,B,20,167,-0.14731038165830915,-24.600833736937627,1.1910714440485548,77,0.20801408975817337,16.01708491137935,2.2531437265836436
US100L,120,C,40,170,-0.16529384002176822,-28.0999528037006,1.1458338764159322,77,0.2056900979273597,15.838137540406697,2.237419012772939
US30L,15,A,20,1925,-0.038517184220044354,-74.14557962358538,1.173583363736906,1144,-0.04491808190337004,-51.38628569745532,1.0497148868047328
US30L,15,B,20,246,-0.009490742416423645,-2.334722634440217,1.2746702122478728,126,0.019781796311875106,2.4925063352962633,1.9408870556644573
US30L,15,C,320,236,0.01000972438388489,2.362294954596834,1.4078196794728324,119,0.03940336526778282,4.689000466866156,2.136537445246129
US30L,30,A,20,949,-0.028079070012499128,-26.647037441861674,1.4568447205959991,572,-0.03823038316250947,-21.86777916895542,1.3471836502171295
US30L,30,B,20,195,-0.03448034029400682,-6.723666357331329,1.326093157688953,95,0.040434886089389936,3.841314178492044,2.213493909248419
US30L,30,C,160,184,-0.030527043672674142,-5.616976035772042,1.3465242033628713,95,0.038814398266989854,3.687367835364036,2.1623651442077154
US30L,60,A,20,464,-0.044128709159204776,-20.475721049871016,1.5598143258941202,261,-0.10290964992582385,-26.859418630640025,1.0626951912468539
US30L,60,B,20,168,0.020765724505198476,3.488641716873344,1.7410263859682396,99,-0.11164334756154747,-11.0526914085932,1.181475030008051
US30L,60,C,80,171,-0.020637770197568534,-3.5290587037842194,1.4869477429377735,98,-0.09924637364289313,-9.726144617003527,1.2914996048268743
US30L,120,A,20,234,-0.03594395453304413,-8.410885360732326,1.7629138291277835,121,0.0005430622355147955,0.06571053049729025,1.7751266259235527
US30L,120,B,20,144,0.03054798861940032,4.398910361193646,1.7175547962903457,75,0.10559775469297569,7.9198316019731765,2.0523234551811655
US30L,120,C,40,146,0.01427741400071036,2.0845024441037125,1.6632975883891643,73,0.135857645738947,9.917608138943132,2.158391505205063
