mkt,tf,mode,block,n,pct,tot,boot_lo,boot_hi,p_le0,dd,dd_pctile,dd_p99,dd_ratio,exec_p_le0,exec_sign,jit_p_le0,jit_sign,jit_n_lo,jit_n_hi
US100L,30,carried,A,1084,-0.07264927568464172,-78.75181484215162,-0.10998219432896081,-0.032233261973722296,1.0,80.6183183267367,0.261,95.05953154832018,1.1791306680828408,1.0,1.0,1.0,1.0,1075.95,1092.05
US100L,30,carried,B,601,-0.01648064996894188,-9.90487063133407,-0.07198074327252922,0.04600476366240475,0.72725,26.10874882487514,0.6685,38.296758285913384,1.4668170636130256,1.0,1.0,1.0,1.0,596.0,605.05
US100L,30,matched,A,216,0.027392879249671993,5.91686191792915,-0.09623669725645248,0.16409363811678515,0.341,17.759483545284173,0.91675,22.090445558781607,1.2438675653182196,0.0,1.0,0.04,0.96,211.0,225.0
US100L,30,matched,B,115,0.06712209363907234,7.71904076849332,-0.11669022506258202,0.28350888942366953,0.261,6.018469746966861,0.125,15.335057070363154,2.547999361148503,0.0,1.0,0.0,1.0,115.0,118.0
US30L,30,carried,A,949,-0.028079070012499128,-26.647037441861674,-0.06519866450441984,0.010353686633768448,0.925,28.83133985616665,0.0825,50.131443601369455,1.7387829997310025,1.0,1.0,1.0,1.0,948.95,970.0
US30L,30,carried,B,572,-0.03823038316250947,-21.86777916895542,-0.07599265052240259,0.005842135379523036,0.95975,26.470303849559745,0.523,35.88345393737651,1.3556117127070049,1.0,1.0,1.0,1.0,563.0,574.05
US30L,30,matched,A,195,-0.03448034029400682,-6.723666357331329,-0.12214383711096864,0.05975982386276813,0.772,9.670379677954585,0.10225,20.605276948967077,2.1307619385349064,1.0,1.0,0.96,0.96,180.95,199.0
US30L,30,matched,B,95,0.040434886089389936,3.841314178492044,-0.12073354781413496,0.24188910095873264,0.349,5.932387567149714,0.3495,12.071732415016282,2.0348860013568344,0.0,1.0,0.0,1.0,93.0,99.0
NQ,60,carried,A,177,-0.032095990244741114,-5.680990273319177,-0.1385367383823611,0.08687322506293783,0.73825,11.038835928146812,0.2545,21.484847910936793,1.9462965162979506,1.0,1.0,1.0,1.0,176.0,179.05
NQ,60,carried,B,108,-0.1398841732422065,-15.107490710158302,-0.2601146756026584,-0.00599888137428557,0.97825,18.097856559608996,0.71025,22.23506680907314,1.2286022234642757,1.0,1.0,1.0,1.0,105.0,109.0
NQ,60,matched,A,49,0.21983375575547806,10.771854032018425,-0.11226837230456754,0.6269995702427248,0.117,3.4188336953121254,0.188,8.368730879008297,2.4478321044054954,0.0,1.0,0.0,1.0,48.0,50.0
NQ,60,matched,B,50,-0.12263148522287885,-6.1315742611439426,-0.3270765348282675,0.14581524715960184,0.85025,7.862392418289941,0.25975,14.055832878734245,1.7877297558993333,1.0,1.0,1.0,1.0,48.0,50.0
US100L,60,carried,A,513,-0.0813380360873308,-41.7264125128007,-0.1661832301809925,0.006914512680090416,0.96425,52.30891920853327,0.7,64.7209811432885,1.2372838537396205,1.0,1.0,1.0,1.0,511.0,521.0
US100L,60,carried,B,265,-0.03908670762032012,-10.357977519384832,-0.13901960800414706,0.06949769764325887,0.76625,11.578796118123169,0.005,30.70857288803416,2.652138665777956,1.0,1.0,1.0,1.0,262.0,266.0
US100L,60,matched,A,192,-0.08314741020042836,-15.964302758482246,-0.23353817789879325,0.07360174296375759,0.86475,25.638552253393286,0.67025,35.371547143409465,1.3796234199896373,1.0,1.0,1.0,1.0,190.0,196.0
US100L,60,matched,B,89,0.054105896278070165,4.815424768748245,-0.17557615156324963,0.33025799626292784,0.35075,6.482574816637328,0.1155,16.104788427549277,2.4843197160203743,0.0,1.0,0.0,1.0,89.0,90.0
US30L,120,carried,A,234,-0.03594395453304413,-8.410885360732326,-0.18154617906521392,0.11722247217415328,0.67325,18.869040732320503,0.3065,34.85457481844408,1.8471831882127525,1.0,1.0,1.0,1.0,234.95,240.0
US30L,120,carried,B,121,0.0005430622355147955,0.06571053049729025,-0.17962468292295386,0.20219428453867555,0.509,10.89470704348588,0.4445,20.193563047882705,1.8535205184756904,0.6333333333333333,0.6333333333333333,0.44,0.56,120.0,123.0
US30L,120,matched,A,144,0.03054798861940032,4.398910361193646,-0.15125198392651026,0.21861301683219123,0.3875,17.893539217533476,0.916,22.366205677791015,1.2499598545532498,0.0,1.0,0.0,1.0,144.0,146.05
US30L,120,matched,B,75,0.10559775469297569,7.9198316019731765,-0.18459429765734758,0.42474990896328846,0.259,10.412681575692321,0.7815,15.30852125220699,1.4701804852982026,0.0,1.0,0.0,1.0,73.0,76.05
