n,pts,sd,t,mde,pf,win,be,total,R,dd,ret_dd,sharpe,amb,med_min,sh_stop,sh_target,sh_chan,sh_flat,sh_eod,outside_mde,ctl_pts,ctl_pf,pf_ratio,edge,p_pts,p_pf,excess_total,feed,block,arm,cell
400,6.260000000000002,73.23935080450717,1.7094635414531172,10.260833047711454,1.2362618543724953,0.4275,0.26145,2504.0000000000005,0.12520000000000003,1116.7900000000002,2.2421404203117863,0.7019104852384058,0.005,60.0,0.45,0.135,0.0,0.415,0.0,False,-1.6633134873001376,0.9421994053264714,1.3121021382348796,7.923313487300139,0.0125,0.0125,3169.3253949200557,US30L,A_research,+adx<=20,D0 50/150 flat
399,5.336566416040101,91.7375730414077,1.1619866008886306,12.86852971136586,1.1874462452913737,0.39097744360902253,,2129.2900000000004,0.106731328320802,1328.7899999999993,1.6024277726352558,0.47481920449819376,0.0,60.0,0.48872180451127817,0.0,0.0,0.5112781954887218,0.0,False,-1.92164988302309,0.9340915548832449,1.2712311112156414,7.258216299063191,0.055,0.0575,2896.028303326213,US30L,A_research,+adx<=20,D1 50/none flat
377,8.240503978779842,129.02541704084695,1.2400784974027612,18.619702056685064,1.2220615533951429,0.47745358090185674,,3106.67,0.0824050397877984,2003.6299999999987,1.550520804739399,0.4930826740622435,0.0,90.0,0.29973474801061006,0.0,0.0,0.7002652519893899,0.0,False,-1.4714553727947535,0.9613090121983442,1.2712473698758984,9.711959351574595,0.04,0.05,3661.4086755436224,US30L,A_research,+adx<=20,D2 100/none flat
436,6.2415271024340155,54.28074761162767,2.4009785752886192,7.2840129108264975,1.421781202846248,0.39908256880733944,0.40916,2721.305816661231,0.06241527102434016,470.1823259301167,5.78776714177406,0.9772932355809164,0.013761467889908258,15.0,0.8325688073394495,0.07339449541284404,0.0,0.09403669724770643,0.0,False,0.6123496123109993,1.0399589849283495,1.3671512275498106,5.629177490123016,0.01,0.02,2454.321385693635,US30L,A_research,+adx<=20,D3 100/150 trail1
436,8.413169368113744,60.2955242421445,2.913518640678486,8.091144583844152,1.6065626819121814,0.4013761467889908,,3668.1418444975925,0.05608779578742496,438.1427107934978,8.372025265134296,1.1695983879084804,0.0,15.0,0.8944954128440367,0.0,0.0,0.10550458715596331,0.0,True,2.6373701242759697,1.1810253538903837,1.3603117635197641,5.775799243837774,0.0225,0.02,2518.2484703132695,US30L,A_research,+adx<=20,D4 150/none trail1
668,2.7938323353293435,67.35899599098383,1.0719955079252637,7.30256623812139,1.1056426564745667,0.4116766467065868,0.26145,1866.2800000000013,0.055876646706586826,1225.85,1.5224374923522466,0.42816141182176926,0.005988023952095809,60.0,0.468562874251497,0.10029940119760479,0.0,0.4311377245508982,0.0,False,-1.8835303346434384,0.9335884388650446,1.184293432145204,4.677362669972782,0.03,0.03,3124.4782635418183,US30L,A_research,+ema align,D0 50/150 flat
642,4.674174454828662,82.34113599584671,1.4383201917339234,9.105786665374678,1.1723851295263863,0.40031152647975077,,3000.8200000000006,0.09348348909657321,1117.7299999999987,2.6847449741887615,0.5745984701237719,0.0,60.0,0.48130841121495327,0.0,0.0,0.5186915887850467,0.0,False,-1.789039108966446,0.9394077828516683,1.2480044884953918,6.463213563795108,0.025,0.0225,4149.38310795646,US30L,A_research,+ema align,D1 50/none flat
602,4.866146179401992,104.31576696917848,1.1445464987104055,11.91296431385468,1.143249532879832,0.48006644518272423,,2929.419999999999,0.0486614617940199,1352.539999999999,2.1658657045262997,0.45390264627740673,0.0,75.0,0.26245847176079734,0.0,0.0,0.7375415282392026,0.0,False,-1.1555240797902377,0.9700941078826228,1.1784934302664172,6.021670259192229,0.075,0.0575,3625.045496033722,US30L,A_research,+ema align,D2 100/none flat
831,3.791165805965726,46.369938129805334,2.356876217515886,4.507172039570366,1.28308460556182,0.39951865222623345,0.40916,3150.4587847575185,0.037911658059657266,655.5824885327011,4.8055871532028736,0.8699381463800315,0.007220216606498195,15.0,0.8170878459687124,0.04332129963898917,0.0,0.13959085439229843,0.0,False,0.5656717070620023,1.0366248745673605,1.2377520905017065,3.2254940989037237,0.03,0.0225,2680.3855961889944,US30L,A_research,+ema align,D3 100/150 trail1
818,5.2225964260340305,49.242443010865934,3.033357014238658,4.824264047079295,1.4155607961909962,0.40097799511002447,,4272.083876495837,0.03481730950689353,675.0066376256245,6.328950914502327,1.1897205948624128,0.0,15.0,0.8533007334963325,0.0,0.0,0.1466992665036675,0.0,True,2.721733577508354,1.1815323987651718,1.198071925636918,2.5008628485256765,0.12,0.075,2045.7058100940035,US30L,A_research,+ema align,D4 150/none trail1
