block,ch,arm,base,armv,delta,n,mde
A research,10,+adx<=20,-1.0175449101796392,3.379275929549906,4.396820839729545,511,8.885387394745194
A research,10,+ema align,-1.0175449101796392,1.8882841823056316,2.9058290924852708,746,6.898450848862661
A research,15,+adx<=20,0.9077547495682227,4.904630872483223,3.996876122915,447,9.653348692942906
A research,15,+ema align,0.9077547495682227,2.722949640287772,1.8151948907195492,695,7.204841027432868
A research,20,+adx<=20,0.9557305502846313,6.260000000000002,5.30426944971537,400,10.260833047711454
A research,20,+ema align,0.9557305502846313,2.7938323353293435,1.8381017850447123,668,7.30256623812139
A research,30,+adx<=20,0.8446982758620704,3.0601483679525234,2.215450092090453,337,11.100754820326687
A research,30,+ema align,0.8446982758620704,1.4408294209702666,0.5961311451081962,639,7.407568339028826
A research,40,+adx<=20,1.4645248868778291,2.3574358974358987,0.8929110105580695,312,11.318227594263362
A research,40,+ema align,1.4645248868778291,1.8671428571428585,0.40261797026502943,630,7.479189596410641
A research,55,+adx<=20,1.5466834170854284,3.2454330708661425,1.698749653780714,254,12.426926256527521
A research,55,+ema align,1.5466834170854284,2.6320563847429543,1.0853729676575259,603,7.5994772928131535
B holdout,10,+adx<=20,-3.043215434083588,2.7944221105527793,5.837637544636367,199,15.763631733911723
B holdout,10,+ema align,-3.043215434083588,0.25531722054383066,3.2985326546274187,331,12.055930985574761
B holdout,15,+adx<=20,-0.44326086956519833,4.35719101123594,4.8004518808011385,178,16.791931773132386
B holdout,15,+ema align,-0.44326086956519833,2.1706918238993986,2.613952693464597,318,12.440939338758053
B holdout,20,+adx<=20,-1.6010236220472271,4.59598726114649,6.197010883193718,157,17.958481636703482
B holdout,20,+ema align,-1.6010236220472271,1.1261290322580915,2.7271526543053186,310,12.482074957347173
B holdout,30,+adx<=20,-5.048064516129,2.7338095238095232,7.781874039938524,147,18.427568458647148
B holdout,30,+ema align,-5.048064516129,0.8646052631579192,5.91266977928692,304,12.545352512694997
B holdout,40,+adx<=20,-4.8895584988962115,3.5625179856115134,8.452076484507725,139,19.10625524765587
B holdout,40,+ema align,-4.8895584988962115,0.35119601328906275,5.2407545121852745,301,12.595577972407536
B holdout,55,+adx<=20,-4.9202325581394835,6.454094488188979,11.374327046328462,127,20.260343993678017
B holdout,55,+ema align,-4.9202325581394835,1.1756462585034335,6.095878816642917,294,12.775021263354263
C forward ISO,10,+adx<=20,0.5906962025316091,3.6578723404255182,3.067176137893909,94,25.175903784185675
C forward ISO,10,+ema align,0.5906962025316091,3.137127659574368,2.546431457042759,188,17.479434461352913
C forward ISO,15,+adx<=20,2.731951219512158,3.84373493975902,1.1117837202468621,83,26.709876949689605
C forward ISO,15,+ema align,2.731951219512158,5.127415730336974,2.3954645108248163,178,18.128767493367413
C forward ISO,20,+adx<=20,4.612554744525507,5.620389610389592,1.0078348658640843,77,27.937214675561588
C forward ISO,20,+ema align,4.612554744525507,6.11171428571418,1.4991595411886731,175,18.369975149646784
C forward ISO,30,+adx<=20,4.586264591439622,-2.8742857142857305,-7.460550305725352,70,27.61214771053613
C forward ISO,30,+ema align,4.586264591439622,5.673583815028758,1.0873192235891365,173,18.364318632681606
C forward ISO,40,+adx<=20,3.9972950819671804,0.44999999999998064,-3.5472950819672,65,29.407409470383868
C forward ISO,40,+ema align,3.9972950819671804,6.2082142857141385,2.210919203746958,168,18.661813172643367
C forward ISO,55,+adx<=20,3.0365217391303987,-1.968688524590186,-5.005210263720585,61,29.52127684813754
C forward ISO,55,+ema align,3.0365217391303987,6.9130120481926225,3.876490309062224,166,18.834701726275593
